feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.10648201674222946,0.025409556925296783,0.18156778812408447,NA,NA,NA
Abyssomedon__lat_range_z_trans,0.054948428274743055,0.0005500433360825825,0.019039937321218784,0.7384985977914766,0.0246925987303257,3.9911792632192373
Abyssomedon__Temperate_N,0.09975708566323943,0.0006822122054216426,0.029556045380005263,NA,NA,NA
Abyssomedon__Tropical,-0.15184055286687986,-0.009339441058708153,-0.005495577226041563,NA,NA,NA
Abyssomedon__Temperate_S,0.08554073011375679,0.0011451005906630478,0.02609085997020902,NA,NA,NA
Abyssomedon__Antarctic,0.011894870581391461,-5.5845740809083746e-05,0.0037310663730312312,NA,NA,NA
Abyssomedon__mean_pt_1myr_z_trans,0.044258152572039314,-0.004504129244375288,0.04335085622682069,NA,NA,NA
Abyssomedon__Mod_R_deltaTMyr_pt_1myr_z_trans,0.008980326566171573,-0.0013018182572491401,0.013561081141517882,NA,NA,NA
Abyssomedon__208-217,0.01861212587751073,0.0002393176267073682,0.005143700564056442,NA,NA,NA
Abyssomedon__217-227,0.027736048552539395,0.0003030492029835748,0.006711379417515318,NA,NA,NA
Abyssomedon__227-237,0.022336844069028288,0.00019109445925709036,0.00870089058036386,NA,NA,NA
Abyssomedon__237-242,0.010978487264807591,-0.00027848996574596506,0.004005601647661994,NA,NA,NA
Abyssomedon__242-246.7,0.01783918163727031,-0.00015108895500625302,0.005144523869544081,NA,NA,NA
Abyssomedon__246.7-252,-0.04832579291062663,-0.003244862645261854,0.0012474197850641014,NA,NA,NA
Abyssomedon__252-259.5,0.013385863229494744,1.7003248654691702e-05,0.004395472591949376,NA,NA,NA
Abyssomedon__259.5-264.3,0.015121320607619804,0.0001919262546097322,0.004687394629182012,NA,NA,NA
Abyssomedon__264.3-274.4,0.017435085647894553,0.00015204442169856737,0.0043551895553143,NA,NA,NA
Abyssomedon__274.4-283.5,0.01376924022755605,5.4406459424212256e-05,0.0046924571285140056,NA,NA,NA
Abyssomedon__283.5-290.1,-0.15594542836532715,-0.010060078863643556,0.0026494891681576728,NA,NA,NA
Acadiella__lat_range_z_trans,0.03178153464313249,0.0009931177702367107,0.018523975192695642,1.3910093532135943,0.022906094789505005,4.252643245272338
Acadiella__Temperate_N,0.0609875708880153,0.0017020730360297355,0.03460326025126157,NA,NA,NA
Acadiella__Tropical,-0.08090412559941311,-0.01105294528234734,-0.004932417052221793,NA,NA,NA
Acadiella__Temperate_S,0.047884088389735666,0.0014153855329027442,0.024706543235863455,NA,NA,NA
Acadiella__Antarctic,0.0054165410718184405,-2.234375087197838e-05,0.0038203886797034247,NA,NA,NA
Acadiella__mean_pt_1myr_z_trans,0.015059251209674948,-0.0022642067950217337,0.021367428365798774,NA,NA,NA
Acadiella__Mod_R_deltaTMyr_pt_1myr_z_trans,0.009931364929257515,-0.0027040768905295,0.02966795564417165,NA,NA,NA
Acadiella__208-217,0.009562130966379511,0.0003015510101923518,0.005888368586429812,NA,NA,NA
Acadiella__217-227,0.01304139343014398,0.0004153499784297783,0.006461186252266129,NA,NA,NA
Acadiella__227-237,-0.0287814854418468,-0.009798265593882277,0.011449575752898998,NA,NA,NA
Acadiella__237-242,0.005603170344761776,-0.00031735264757001104,0.003870234845197431,NA,NA,NA
Acadiella__242-246.7,0.010863161639784638,-3.0709795046744355e-05,0.007373404941128794,NA,NA,NA
Acadiella__246.7-252,-0.029150414145161684,-0.004186795060580638,-0.0018211177305765638,NA,NA,NA
Acadiella__252-259.5,0.006463754860826684,8.376685948938203e-05,0.004094927152050222,NA,NA,NA
Acadiella__259.5-264.3,0.007182355943664319,9.845142045696396e-05,0.004368306831462591,NA,NA,NA
Acadiella__264.3-274.4,0.008426788458206467,2.517864164756883e-05,0.004730039169174464,NA,NA,NA
Acadiella__274.4-283.5,0.0061888136251033515,-5.086859890899433e-05,0.0035168941323866464,NA,NA,NA
Acadiella__283.5-290.1,0.0069261215281459535,-1.686675992280349e-05,0.003878833874393223,NA,NA,NA
Acaenasuchus__lat_range_z_trans,0.04256041921080003,0.0008421465591653061,0.01809467539993965,1.0809256994500174,0.1338050365447998,1.9823324047029018
Acaenasuchus__Temperate_N,0.07692558979342362,0.0014810611210466116,0.03367690744776646,NA,NA,NA
Acaenasuchus__Tropical,-0.1461464393478188,-0.011862431294091334,-0.012884814114384396,NA,NA,NA
Acaenasuchus__Temperate_S,0.06405404648928002,0.0015787434960765083,0.030901388773977065,NA,NA,NA
Acaenasuchus__Antarctic,0.00864989346721757,0.00014959278404007544,0.003897418170795287,NA,NA,NA
Acaenasuchus__mean_pt_1myr_z_trans,0.0005781966322723434,-0.0027596844078864925,0.02409087974752752,NA,NA,NA
Acaenasuchus__Mod_R_deltaTMyr_pt_1myr_z_trans,0.004510341983960807,-0.0018817345937590646,0.017592598776181776,NA,NA,NA
Acaenasuchus__208-217,0.013843607668077325,0.0002465411457743994,0.006216702700292421,NA,NA,NA
Acaenasuchus__217-227,0.005570057467328314,-0.005486579281496177,0.010249516384922506,NA,NA,NA
Acaenasuchus__227-237,0.002755878019433076,-0.004084468067501212,0.011174239807711315,NA,NA,NA
Acaenasuchus__237-242,0.00810181497982213,-0.00033566422961912244,0.005128944248964752,NA,NA,NA
Acaenasuchus__242-246.7,0.012804230329619025,-0.00018737643174070572,0.00898054688806495,NA,NA,NA
Acaenasuchus__246.7-252,-0.04160551992126555,-0.003778569680912828,-0.0014770005652210388,NA,NA,NA
Acaenasuchus__252-259.5,0.00885458678716884,-1.8187001708202494e-06,0.005000857428098445,NA,NA,NA
Acaenasuchus__259.5-264.3,0.011121699003827373,0.00014331332883322427,0.00514488766859068,NA,NA,NA
Acaenasuchus__264.3-274.4,0.012885880357182775,0.00021672434209980243,0.0057664166407816716,NA,NA,NA
Acaenasuchus__274.4-283.5,0.009865867345232242,7.242617310630082e-05,0.0046002915305413325,NA,NA,NA
Acaenasuchus__283.5-290.1,0.011151866476668318,0.00023822081173874597,0.005413331189534092,NA,NA,NA
Acallosuchus__lat_range_z_trans,0.06914309613113438,0.0006278143367846608,0.015810075076807224,0.6477911286358722,0.009746032301336527,1.8513613305985928
Acallosuchus__Temperate_N,0.12869590025550023,0.0010400753549374636,0.03572388964165408,NA,NA,NA
Acallosuchus__Tropical,-0.21547228667823587,-0.00967223884536843,-0.00698448871876232,NA,NA,NA
Acallosuchus__Temperate_S,0.10939438008746814,0.0011252155630799231,0.02732441160006701,NA,NA,NA
