feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.20937311040237547,0.02541414089500904,0.3768554925918579,NA,NA,NA
Feralisaurus__lat_range_z_trans,0.044609780744690866,0.00030502435699922487,0.022669979625007327,0.634135639054075,0.16252881847321987,1.263320680707693
Feralisaurus__Temperate_N,0.1752764731687255,0.00026386484347151864,0.08779384452898825,NA,NA,NA
Feralisaurus__Tropical,-0.36851956908496575,-0.016079582192062482,-0.010065923532376966,NA,NA,NA
Feralisaurus__Temperate_S,0.2016053015466917,0.0007369626025535804,0.08342476015012636,NA,NA,NA
Feralisaurus__Antarctic,0.013366834977582592,6.085421391344601e-05,0.0059135387955046945,NA,NA,NA
Feralisaurus__mean_pt_1myr_z_trans,0.030590899061281675,-0.003108475305661609,0.06231949796073977,NA,NA,NA
Feralisaurus__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.034591795111784784,-0.00826218583606013,0.059750869203197145,NA,NA,NA
Guchengosuchus__lat_range_z_trans,0.02608134349718825,0.00025519680211011104,0.023075657552818284,1.1017809161049081,0.34571292251348495,1.914509910158813
Guchengosuchus__Temperate_N,-0.1455238655935714,-0.015852018076826895,0.005510808518363839,NA,NA,NA
Guchengosuchus__Tropical,0.14460044429827756,0.001369080294105419,0.10307708982810897,NA,NA,NA
Guchengosuchus__Temperate_S,0.10870175416511686,0.0008960343130320807,0.07836487775557166,NA,NA,NA
Guchengosuchus__Antarctic,0.006339030692290713,-1.4073681109403145e-05,0.00602413908700612,NA,NA,NA
Guchengosuchus__mean_pt_1myr_z_trans,0.018410382095248215,-0.004365184822788204,0.0582996404976134,NA,NA,NA
Guchengosuchus__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.01896531726672131,-0.007548365132501069,0.036237744766921126,NA,NA,NA
