feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.6629682756960392,0.2342706322669983,1.0823551416397095,NA,NA,NA
Baisesaurus__lat_range_z_trans,0.38671230487758523,0.013140368726102759,0.15629261831996388,1.6419560147298033,0.22630951553583145,4.1180745754390955
Baisesaurus__Temperate_N,0.5730647011586927,0.012366636621178336,0.27753916986658206,NA,NA,NA
Baisesaurus__Tropical,-1.0178525780526435,-0.13272278471638058,-0.048803534592897026,NA,NA,NA
Baisesaurus__Temperate_S,0.34889135922683717,0.003606869201228835,0.15763829677430582,NA,NA,NA
Baisesaurus__Antarctic,0.04896383076325113,-0.0003598233165513914,0.026575070760511212,NA,NA,NA
Baisesaurus__mean_pt_1myr_z_trans,-0.042068716781880684,-0.03465437306813018,0.06610273070477053,NA,NA,NA
Baisesaurus__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.2752275402905728,-0.09782011485072667,0.07750694703074511,NA,NA,NA
Baisesaurus__246.7-252,0.1042780607766962,-0.012178840190941925,0.11739361101936911,NA,NA,NA
Blomosaurus__lat_range_z_trans,0.14570726200214762,0.030563334520090725,0.14632800455314435,3.6841535457003918,1.7356830947101116,6.711880825459957
Blomosaurus__Temperate_N,-0.09108620994061659,-0.09719827133690362,0.0037103438524003435,NA,NA,NA
Blomosaurus__Tropical,0.06148197667195399,0.011080625322976566,0.06400516336727478,NA,NA,NA
Blomosaurus__Temperate_S,0.15379050579195172,0.020751646192051953,0.16846509249171385,NA,NA,NA
Blomosaurus__Antarctic,0.009178321549722196,-0.00275319959973792,0.015212450341763856,NA,NA,NA
Blomosaurus__mean_pt_1myr_z_trans,0.04275166148416542,-0.010000202686895675,0.08880103561746501,NA,NA,NA
Blomosaurus__Mod_R_deltaTMyr_pt_1myr_z_trans,0.2987834468077261,-0.026481464124525116,0.36901136577400656,NA,NA,NA
Blomosaurus__246.7-252,-0.04059114950917193,-0.15867901552537575,0.11479312183616326,NA,NA,NA
Boreopricea__lat_range_z_trans,0.3017270852982518,0.022350551696453128,0.16554021404418162,2.0222302903799574,0.6231591310352087,3.5261089727282524
Boreopricea__Temperate_N,-0.3314449429500757,-0.11388609661077241,0.022673973742584418,NA,NA,NA
Boreopricea__Tropical,0.1498965087520701,0.005645520988440789,0.08663305911420914,NA,NA,NA
Boreopricea__Temperate_S,0.2697633306830974,0.014606521667850269,0.17729749025505065,NA,NA,NA
Boreopricea__Antarctic,0.031166083288558858,-0.0036874616354623043,0.02557976569256253,NA,NA,NA
Boreopricea__mean_pt_1myr_z_trans,-0.0280361909440296,-0.06222494718086863,0.11651165678347407,NA,NA,NA
