feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.2624774252437055,0.075276680290699,0.44115522503852844,NA,NA,NA
Acerosodontosaurus__lat_range_z_trans,0.13560474656094645,0.004011403705994095,0.07474894692786457,1.2149158576701302,0.13856062293052673,2.687979862210341
Acerosodontosaurus__Temperate_N,0.18394237433740643,0.006630948013986441,0.0981054566326466,NA,NA,NA
Acerosodontosaurus__Tropical,0.04173995010124862,0.00043493293580449224,0.024938940458121218,NA,NA,NA
Acerosodontosaurus__Temperate_S,-0.24939360578256686,-0.04445795707615227,-0.015328736307553608,NA,NA,NA
Acerosodontosaurus__Antarctic,0.0108576202417031,-0.00020250134985579522,0.006126989932684895,NA,NA,NA
Acerosodontosaurus__mean_pt_1myr_z_trans,0.013229759876121018,-0.01773231095747601,0.06379740312914982,NA,NA,NA
Acerosodontosaurus__Mod_R_deltaTMyr_pt_1myr_z_trans,0.007062758072985961,-0.0217336805931541,0.12136934229785107,NA,NA,NA
Acrodenta__lat_range_z_trans,0.08781070514462103,0.0066715238723889115,0.06553329936889968,2.0796424923458834,0.2870335578918457,4.372629724442959
Acrodenta__Temperate_N,0.11678577880723863,0.00336831053162149,0.08581270932474021,NA,NA,NA
Acrodenta__Tropical,-0.13183784590545014,-0.048567278770953425,0.0359566120308284,NA,NA,NA
Acrodenta__Temperate_S,0.14956742788807909,0.01120766963460341,0.12005455963563946,NA,NA,NA
Acrodenta__Antarctic,0.004477430150501791,-0.0003708491124981873,0.006332675962008099,NA,NA,NA
Acrodenta__mean_pt_1myr_z_trans,-0.010063193086420804,-0.0231819211649645,0.03229315951874102,NA,NA,NA
Acrodenta__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.0035146080661459115,-0.02032479765101205,0.025512768372502423,NA,NA,NA
Adelosaurus__lat_range_z_trans,0.11368085374002515,0.0053180761374597525,0.07759487956998593,1.5715786254577688,0.2836928963661194,3.314457525499165
Adelosaurus__Temperate_N,-0.15513021079745387,-0.04498769066767763,0.008250313454477834,NA,NA,NA
Adelosaurus__Tropical,0.03376751902104492,0.00188632449874719,0.023148437054315945,NA,NA,NA
Adelosaurus__Temperate_S,0.18592779213191815,0.011942100587448351,0.1275448928508265,NA,NA,NA
Adelosaurus__Antarctic,0.008192171659068733,0.00015310728233521606,0.006850999563399146,NA,NA,NA
Adelosaurus__mean_pt_1myr_z_trans,-0.02466406049391351,-0.028920186458422707,0.04659069955383312,NA,NA,NA
Adelosaurus__Mod_R_deltaTMyr_pt_1myr_z_trans,0.01058946785822784,-0.022352588436209832,0.07581399897646234,NA,NA,NA
Aenigmastropheus__lat_range_z_trans,0.1410500621427571,0.005310981130951343,0.09038763843534424,1.173244461432332,0.22303999215364456,2.6014961134642363
Aenigmastropheus__Temperate_N,0.19411031219056607,0.008761171091881187,0.11724851606294275,NA,NA,NA
Aenigmastropheus__Tropical,0.04474688655830285,0.0010083254333262811,0.029217964130590777,NA,NA,NA
Aenigmastropheus__Temperate_S,-0.24989007640217137,-0.054054387193760316,-0.00760895272435863,NA,NA,NA
Aenigmastropheus__Antarctic,0.011400133475848038,4.417451965468744e-05,0.00787978835910496,NA,NA,NA
Aenigmastropheus__mean_pt_1myr_z_trans,0.03346854319897431,-0.01355111502353942,0.06504351873084298,NA,NA,NA
Aenigmastropheus__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.03780989847775731,-0.023281738740858426,0.05230907753841169,NA,NA,NA
Arganaceras__lat_range_z_trans,0.08726776669971842,0.005976471168447143,0.06759709233651251,2.127134042897378,0.4041295051574707,4.332379870116711
Arganaceras__Temperate_N,0.11341302585003873,0.008851025856820266,0.08402189466454058,NA,NA,NA
Arganaceras__Tropical,-0.1473366205016347,-0.06526173674394777,0.01193071023456033,NA,NA,NA
Arganaceras__Temperate_S,0.1479151491000735,0.010458112809559574,0.12246126899198279,NA,NA,NA
Arganaceras__Antarctic,0.004684636390971662,-0.0002516559472106656,0.005924567085632186,NA,NA,NA
Arganaceras__mean_pt_1myr_z_trans,0.01341356638864876,-0.018485387676529175,0.04084969640820422,NA,NA,NA
Arganaceras__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.008411097998199862,-0.013795301865829633,0.04319975833195597,NA,NA,NA
Captorhinus__lat_range_z_trans,-0.31454953850246964,-0.02308114444824622,0.010143214754117356,0.2800638808554504,0.0026841051876544952,0.7124185580178164
Captorhinus__Temperate_N,0.3815668478421867,0.005073897564847973,0.134304993169486,NA,NA,NA
Captorhinus__Tropical,-0.2544645115174353,-0.020604246047520085,0.015451499091759314,NA,NA,NA
Captorhinus__Temperate_S,-0.22160383263602854,-0.015560487225559616,-0.0035956571504431076,NA,NA,NA
Captorhinus__Antarctic,0.03589579473773483,-0.00013499459856237698,0.015557009999973531,NA,NA,NA
Captorhinus__mean_pt_1myr_z_trans,0.015555342538282274,-0.010183952773618197,0.05787070454669667,NA,NA,NA
Captorhinus__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.055563180812168864,-0.009300812660096863,0.04029637242460232,NA,NA,NA
Glaurung__lat_range_z_trans,0.1204953597021397,0.00753414939753758,0.08311454944647338,1.4816013936771197,0.3982837125658989,3.1554518658667803
Glaurung__Temperate_N,-0.17372617170542776,-0.05518287667276375,-0.018109530748943097,NA,NA,NA
Glaurung__Tropical,0.03697324037440114,0.001956375816901173,0.023386396771434805,NA,NA,NA
Glaurung__Temperate_S,0.1999799429756566,0.013308211216112677,0.125052364110058,NA,NA,NA
Glaurung__Antarctic,0.00960679630571265,0.00045017117011472073,0.00817794672151474,NA,NA,NA
Glaurung__mean_pt_1myr_z_trans,-0.021206449324696307,-0.026702775762986394,0.07002974401919465,NA,NA,NA
Glaurung__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.015320052511354086,-0.021591820744376548,0.059546353600468976,NA,NA,NA
Indosauriscus__lat_range_z_trans,0.15676626807577382,0.0052840913344530515,0.08853313057255711,1.0455026341413032,0.07955866423435509,2.409834697842598
Indosauriscus__Temperate_N,0.21619955701076424,0.006676662532902316,0.11959710129397354,NA,NA,NA
Indosauriscus__Tropical,0.04825378919325635,0.001004094872070136,0.029213831713881862,NA,NA,NA
Indosauriscus__Temperate_S,-0.26146245497938103,-0.040387063294147985,-0.0010300065223267636,NA,NA,NA
Indosauriscus__Antarctic,0.01244630127100891,-1.3414830319767446e-05,0.008137613298087045,NA,NA,NA
Indosauriscus__mean_pt_1myr_z_trans,-0.003518940420860327,-0.02131974943724919,0.052173798418099784,NA,NA,NA
Indosauriscus__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.04311640763710943,-0.026373732265674195,0.05501601611757953,NA,NA,NA
Millerinoides__lat_range_z_trans,0.15730197098623586,0.007270025772111526,0.09292267246267835,1.047812088028877,0.05043410509824753,2.020259350538254
Millerinoides__Temperate_N,0.21797268678692167,0.008564925343159785,0.12311309428396082,NA,NA,NA
Millerinoides__Tropical,0.04986752359593642,0.0007395571351069805,0.029791817867686386,NA,NA,NA
Millerinoides__Temperate_S,-0.2932394301187601,-0.054726462982199485,-0.013970978662599179,NA,NA,NA
Millerinoides__Antarctic,0.013574768229481837,0.00027177793944955944,0.008926324364037964,NA,NA,NA
Millerinoides__mean_pt_1myr_z_trans,0.039895466562035374,-0.01373160189103608,0.08865953771716883,NA,NA,NA
Millerinoides__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.07221800682010919,-0.02665446183701751,0.013523188079958991,NA,NA,NA
Obirkovia__lat_range_z_trans,-0.009832736044747523,-0.008551702664773168,0.0373907282631699,0.9623223145908559,0.09672588855028152,2.005174607038498
Obirkovia__Temperate_N,-0.3911714093446762,-0.041754646399545674,-0.025024851947868347,NA,NA,NA
Obirkovia__Tropical,0.06417480094102837,-5.061416755517396e-05,0.028376264906646746,NA,NA,NA
Obirkovia__Temperate_S,0.32738413196929744,0.005222337897043286,0.1568868562579073,NA,NA,NA
Obirkovia__Antarctic,0.02366316913360523,0.0005989978517684153,0.011921561714109003,NA,NA,NA
Obirkovia__mean_pt_1myr_z_trans,0.03573406279557693,-0.017634211914899688,0.0651351736107663,NA,NA,NA
Obirkovia__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.04776945276640848,-0.019695819555862606,0.03533229925292972,NA,NA,NA
Parasaurus__lat_range_z_trans,-0.37242302503337577,-0.025648841962162956,-0.015575858411966924,0.7830928865255555,0.049137040274217725,2.032608773559332
Parasaurus__Temperate_N,-0.5764340893135805,-0.04284183740053677,-0.02999967126172657,NA,NA,NA
Parasaurus__Tropical,0.0892937738038156,0.0008908095699124879,0.0318051188946688,NA,NA,NA
Parasaurus__Temperate_S,0.4427106050155599,0.004858211054512486,0.1479052130612629,NA,NA,NA
Parasaurus__Antarctic,0.039452401841724494,0.00045724420096416115,0.011332849256290162,NA,NA,NA
Parasaurus__mean_pt_1myr_z_trans,0.12608641701108092,-0.0049216293614773865,0.05923572358823258,NA,NA,NA
Parasaurus__Mod_R_deltaTMyr_pt_1myr_z_trans,0.07981493746337996,-0.013100322945531682,0.11179051673321597,NA,NA,NA
Pumiliopareia__lat_range_z_trans,0.1704490071710024,0.006207228077138716,0.09586171446343386,0.9737338859355077,0.13891590759158134,2.0481309816241264
Pumiliopareia__Temperate_N,0.23634382478283733,0.007731431368478493,0.12317854236264632,NA,NA,NA
Pumiliopareia__Tropical,0.052736897680337035,0.0006062256735824728,0.028942491594559742,NA,NA,NA
Pumiliopareia__Temperate_S,-0.28802311862654334,-0.046521092071672626,-0.013701056302277703,NA,NA,NA
Pumiliopareia__Antarctic,0.014350827805370028,-3.7592080613289185e-05,0.00857664633774214,NA,NA,NA
Pumiliopareia__mean_pt_1myr_z_trans,-0.028775238702061317,-0.020640353042643743,0.048476732828407414,NA,NA,NA
Pumiliopareia__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.0524638776293666,-0.02220901589376737,0.055477031390965624,NA,NA,NA
Saurorictus__lat_range_z_trans,0.1409247254676603,0.004869663294881858,0.08382681246681813,1.160975428126112,0.22303999215364456,2.5178651371970773
Saurorictus__Temperate_N,0.19355870975964679,0.0096041895434186,0.12230569684629464,NA,NA,NA
Saurorictus__Tropical,0.04371578734634549,0.0010179787115831465,0.026869383098346158,NA,NA,NA
Saurorictus__Temperate_S,-0.22456437922066283,-0.04601776609478468,-0.00097710211658522,NA,NA,NA
Saurorictus__Antarctic,0.010470561317878765,-1.3600320114043487e-05,0.007746903697521461,NA,NA,NA
Saurorictus__mean_pt_1myr_z_trans,0.009734958896089633,-0.019809458549867428,0.05993928490197381,NA,NA,NA
Saurorictus__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.02653910734286255,-0.024778077201425667,0.056228281371148575,NA,NA,NA
Saurosternon__lat_range_z_trans,0.12422330250715964,0.005244927478506372,0.07409207542501267,1.3236783116060542,0.11677058413624763,2.794408922549337
Saurosternon__Temperate_N,0.16387849550184214,0.007451005801465347,0.10065687036742452,NA,NA,NA
Saurosternon__Tropical,0.037417872082273027,0.0009965139739725995,0.027107908334644774,NA,NA,NA
Saurosternon__Temperate_S,-0.19526387291878627,-0.053988246853253985,-0.005409722348618416,NA,NA,NA
Saurosternon__Antarctic,0.008628676556183787,-8.403743205215184e-05,0.005950029985408378,NA,NA,NA
Saurosternon__mean_pt_1myr_z_trans,0.009049650060834072,-0.013073937178479308,0.06578281778468026,NA,NA,NA
Saurosternon__Mod_R_deltaTMyr_pt_1myr_z_trans,0.019627858521875846,-0.020898505197635992,0.10752491355923784,NA,NA,NA
Scutosaurus__lat_range_z_trans,-0.6577031932771206,-0.0312805173654392,-0.04949737340355614,0.14229451054541642,0.0007320474833250046,0.5748447903897613
Scutosaurus__Temperate_N,-0.4832736011967063,-0.023914066309401013,-0.027353207893712244,NA,NA,NA
Scutosaurus__Tropical,0.09737306711263954,0.000198376078759842,0.036426278883475334,NA,NA,NA
Scutosaurus__Temperate_S,0.5355107164382935,0.0038629594912453595,0.17894922789254708,NA,NA,NA
Scutosaurus__Antarctic,0.04258565476746298,-8.496792135818513e-05,0.017224633427279055,NA,NA,NA
Scutosaurus__mean_pt_1myr_z_trans,-0.07501263389538508,-0.010763466619582353,0.0470800247403551,NA,NA,NA
Scutosaurus__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.09069077072656001,-0.012360349888777739,0.048854684376741,NA,NA,NA
Thadeosaurus__lat_range_z_trans,0.1631477571174629,0.005074460695797709,0.06304001011791395,1.0125822893506848,0.1360837258398533,2.339943727478385
Thadeosaurus__Temperate_N,0.22149374792755225,0.008531496343283616,0.09706537697868359,NA,NA,NA
Thadeosaurus__Tropical,0.05166587096042694,0.000485316863971668,0.021909603915299503,NA,NA,NA
Thadeosaurus__Temperate_S,-0.27444020330241115,-0.04983146822057444,-0.0027858560844547793,NA,NA,NA
Thadeosaurus__Antarctic,0.014049220991840273,2.0912135020719525e-05,0.008632043330150807,NA,NA,NA
Thadeosaurus__mean_pt_1myr_z_trans,-0.034707961096336205,-0.019544138942811547,0.06675206821858819,NA,NA,NA
Thadeosaurus__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.033272440730201185,-0.020243290362352097,0.0915894919874574,NA,NA,NA
Zhongjiania__lat_range_z_trans,0.09977613313220529,0.006633388919563349,0.08467387514558224,1.8458098332599184,0.37668415531516075,3.324230559170246
Zhongjiania__Temperate_N,-0.14616354238743776,-0.06458258724145659,-0.002830041777722246,NA,NA,NA
Zhongjiania__Tropical,0.03069000905171704,0.0023604507425090144,0.027445189186330723,NA,NA,NA
Zhongjiania__Temperate_S,0.16706635251108717,0.019016383550255613,0.14176661805784058,NA,NA,NA
Zhongjiania__Antarctic,0.007554869584344618,0.0004660287016103836,0.006842973568700922,NA,NA,NA
Zhongjiania__mean_pt_1myr_z_trans,0.032506036252251125,-0.019045398708964704,0.07168383135300638,NA,NA,NA
Zhongjiania__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.012055998487086847,-0.025251257689010254,0.03630007776445109,NA,NA,NA
