feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-40.0,-40.0,-14.189421752519518,0.3844864085316658,0.262474924325943,0.5060058236122131,-7.958078640513123e-15,-2.2737367544323206e-13,2.2737367544323206e-13,4.0
Temperate_N,none,0_1,none,1.0,-6.752067305964706,-25.054427443496206,-1.0597994819028287,0.43847965747117995,0.18663276731967926,0.7229216694831848,-650.2401738649788,-1018.6754663668089,-312.6579438965032,2.0
Tropical,none,0_1,none,0.99,-6.100979643331167,-26.172661175476524,-1.08006139345703,0.4322722366452217,0.22793205082416534,0.68708735704422,-856.7457675399046,-1382.5308879960112,-393.1867449650256,3.0
Temperate_S,none,0_1,none,1.0,-11.257257129029695,-40.0,-3.8954763735633198,0.4656705762445927,0.1664889007806778,0.7108651995658875,-956.7079913771488,-1516.7005370427541,-380.2821927576465,1.0
Antarctic,none,0_1,none,0.58,-1.6330353546663074,-16.14260392801587,6.327698408161865,0.0508422352001071,0.03254115208983421,0.06938058137893677,-25.774354929293473,-78.58503740613355,2.634173737860692,17.0
mean_pt_1myr_z_trans,none,none,none,0.88,-4.923868244259296,-40.0,1.8073572572973122,0.26778370529413226,0.14736756682395935,0.43632152676582336,-990.4412894978907,-1661.4345438208854,-491.0786811924993,5.0
Mod_R_deltaTMyr_pt_1myr_z_trans,none,none,none,0.8,-2.1319255519797506,-14.708226047321746,6.292366508513303,0.23361262887716294,0.13790224492549896,0.37020599842071533,-591.6014350586034,-887.280131053752,-291.97602262482155,6.0
208-217,none,0_1,none,1.0,-6.295831160893856,-36.527436095542015,-1.6412391298438371,0.13715419679880142,0.05136211961507797,0.23483213782310486,-161.07664726396067,-293.6465938273129,-41.67169521985488,8.0
217-227,none,0_1,none,1.0,-32.67317300464881,-40.0,-8.051721839057963,0.1188357475399971,0.0653887614607811,0.18427035212516785,-479.4178714819787,-787.3575190898534,-225.56019784384944,7.0
227-237,none,0_1,none,1.0,-7.513940106330743,-26.463804596471007,-1.5235816207884094,0.11854071892797947,0.0511230006814003,0.20709232985973358,-176.80246034138855,-328.12539052710895,-49.40350704364232,9.0
237-242,none,0_1,none,0.75,-2.018450457042415,-12.615926925187969,5.250466278263142,0.07770981341600418,0.041287247091531754,0.1197025403380394,-74.95633204760678,-139.81104667796922,-22.29667500294636,15.0
242-246.7,none,0_1,none,0.74,-2.185789506770206,-21.779103991693763,3.0054742606777,0.09956231597810984,0.05077088624238968,0.15959323942661285,-125.1151423253813,-244.11278632756398,-40.03276677568613,11.0
246.7-252,none,0_1,none,0.72,2.123523877130957,-9.654730893845082,17.694728126894567,0.12796523477882146,0.040182821452617645,0.22618445754051208,-162.998488141028,-325.3775181970159,-35.50063547321179,10.0
252-259.5,none,0_1,none,0.92,-3.122454697035626,-10.734602806103558,1.9283301866712395,0.06506026953458786,0.03858201205730438,0.0918835997581482,-84.2139016646872,-152.05876366621123,-21.381635214984954,14.0
259.5-264.3,none,0_1,none,1.0,-12.975028595768269,-40.0,-2.4754796387789058,0.06217019475996494,0.04339931905269623,0.08844481408596039,-85.23906173854267,-162.7035673709529,-16.879336234498624,13.0
264.3-274.4,none,0_1,none,1.0,-12.449527308283319,-40.0,-4.970607589190962,0.07019254490733147,0.04200589656829834,0.10723182559013367,-161.7250655463816,-277.88043920647965,-66.96655379006347,10.0
274.4-283.5,none,0_1,none,0.99,-7.612174514900673,-35.17065320258548,1.1115557731322379,0.05648587122559547,0.03558916598558426,0.07931802421808243,-72.78051147945094,-145.2230338396264,-21.4497063927937,16.0
283.5-290.1,none,0_1,none,1.0,-13.005942367860126,-40.0,-2.9668117833736907,0.06832876861095429,0.039544474333524704,0.09721631556749344,-90.5174948988984,-166.50118614506232,-23.19593606332751,12.0
