feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-28.29795534884949,-40.0,-10.846242619151282,0.45251351565122605,0.2773075997829437,0.6469218730926514,-829.0732505999388,-1120.9102542313994,-577.0077537393587,2.0
Temperate_N,none,0_1,none,0.97,-5.11184498511227,-20.889069692346247,2.097743645943507,0.47198451101779937,0.18096670508384705,0.7361531853675842,-554.383618868088,-906.7250504115713,-234.90334699548873,3.0
Tropical,none,0_1,none,1.0,-13.66843254323107,-40.0,-2.7057454452401104,0.28823947444558146,0.14959867298603058,0.48997676372528076,-473.19040828890587,-835.8112256952676,-212.35714774509506,4.0
Temperate_S,none,0_1,none,0.95,-6.450612554942381,-31.824321238097102,3.61083799624556,0.7573740249872207,0.3833547532558441,1.2133162021636963,-1059.0801730452854,-1779.6507323758149,-505.54724518636317,1.0
Antarctic,none,0_1,none,0.69,-2.197915148583247,-24.88850933129126,2.950250974955238,0.05464556984603405,0.030164986848831177,0.07683368772268295,-35.341588489858914,-94.81819576078681,1.262046189177454,17.0
mean_pt_1myr_z_trans,none,none,none,0.63,-1.4306832390059832,-7.064929051377052,5.886721994964164,0.2763357149064541,0.15641407668590546,0.46747294068336487,-536.8577198953121,-871.0543610469008,-242.11291866182967,5.0
Mod_R_deltaTMyr_pt_1myr_z_trans,none,none,none,0.71,-1.795567624137709,-11.787535842021557,5.766665055137861,0.2473430372774601,0.14433978497982025,0.3720647096633911,-384.6491990818616,-573.6256934482084,-179.44737899276174,6.0
208-217,none,0_1,none,0.99,-6.028665651876164,-40.0,-1.439548319542179,0.061526499204337594,0.03775693103671074,0.0863453820347786,-57.72952955271744,-113.78889014164088,-10.906067600070742,12.0
217-227,none,0_1,none,0.99,-11.778195532568205,-40.0,-1.9893718743254172,0.05858839821070433,0.03702724725008011,0.0846375823020935,-76.99856903577292,-167.5245809738709,-10.758857112894702,12.0
227-237,none,0_1,none,0.94,-4.03567925357701,-40.0,1.2106089707806003,0.07116735473275185,0.04407068341970444,0.11249828338623047,-82.3157361666517,-168.39406273620898,-17.38433098092571,11.0
237-242,none,0_1,none,0.85,-3.323302790103239,-32.69411163506958,2.479665392482629,0.057869739979505536,0.04025774449110031,0.0845579206943512,-36.98999479428906,-82.01719427893136,-4.587406448619504,16.0
242-246.7,none,0_1,none,0.74,-2.081840264597929,-20.695795591931486,3.925717787334504,0.07963474318385125,0.04002396762371063,0.12816870212554932,-67.6246582152361,-133.02011099265928,-8.616212506346756,14.0
246.7-252,none,0_1,none,0.7,1.6914963708729691,-4.402694509834628,9.690138972006507,0.09901956148445606,0.032772939652204514,0.18753361701965332,-95.19652181012903,-218.37572150094547,-10.666848502881862,10.0
252-259.5,none,0_1,none,0.6,1.170023948918931,-6.093231028117983,5.370869664936261,0.2821124067902565,0.11802753061056137,0.5122392177581787,-203.22225434630158,-368.3087966315685,-67.10116777697544,7.0
259.5-264.3,none,0_1,none,0.86,-3.3153903525867103,-23.631915041707394,2.4095098147971563,0.15429717637598514,0.06837056577205658,0.2560199201107025,-176.7615318762332,-342.31928062721795,-52.11881049019337,9.0
264.3-274.4,none,0_1,none,1.0,-6.974766085337372,-40.0,-1.4956054021241472,0.12684390388429165,0.050241269171237946,0.23017966747283936,-190.38286724232827,-385.53869136252194,-37.9272335092661,8.0
274.4-283.5,none,0_1,none,0.93,-6.340104778871305,-40.0,1.245430262508705,0.05644317612051964,0.0355026014149189,0.07901724427938461,-70.91271293236358,-157.76510061322517,-13.80322932607669,13.0
283.5-290.1,none,0_1,none,0.91,-3.5507985318573736,-26.844080652158343,2.373214107257637,0.05769611906260252,0.03621407970786095,0.08663057535886765,-44.01836802123076,-100.14570612131058,-4.75352585488929,15.0
