feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,0.99,-29.04123185862875,-40.0,-8.467843797242265,0.3892363220453262,0.23306195437908173,0.5234109163284302,-880.6014647218799,-1324.9900704472643,-561.9107977995488,2.0
Temperate_N,none,0_1,none,0.92,-6.6047850566920445,-40.0,1.5652951608541636,0.7163256952166557,0.4089701473712921,1.1483209133148193,-777.3909346233206,-1279.332910007572,-367.3566265724684,3.0
Tropical,none,0_1,none,0.98,-17.71518547410712,-40.0,-1.9815859380313423,0.3782747389376164,0.1867079883813858,0.5696473121643066,-583.9970344043492,-964.0031963062788,-274.76294076968145,4.0
Temperate_S,none,0_1,none,0.95,-8.17218563531989,-40.0,-1.205061826629065,0.8372694709897042,0.4027342200279236,1.2683480978012085,-1248.7104606749992,-2094.442036565688,-542.6539927324554,1.0
Antarctic,none,0_1,none,0.54,-1.1706843587936766,-18.411978128030626,6.913895664493861,0.06346068650484085,0.0358310304582119,0.09245889633893967,-49.291455342053936,-143.81593673140583,-0.4496454148530802,17.0
mean_pt_1myr_z_trans,none,none,none,0.91,-3.6462697401308652,-35.19262585289123,5.745923791493896,0.2915572980046272,0.15105406939983368,0.40818265080451965,-532.8969965080009,-928.4018217756552,-208.06021494611525,5.0
Mod_R_deltaTMyr_pt_1myr_z_trans,none,none,none,0.86,-2.5373032743255948,-15.822591857720727,2.9556297724986322,0.23940326720476152,0.14226725697517395,0.3869773745536804,-357.9422646743129,-559.8518578566491,-152.0561172357917,6.0
208-217,none,0_1,none,0.93,-4.852713093524002,-40.0,1.030292564287826,0.06326791994273663,0.04250871390104294,0.08933451771736145,-68.01818386699081,-137.5533339221896,-6.837547502074472,16.0
217-227,none,0_1,none,1.0,-12.114129219335876,-40.0,-3.111184181840181,0.06656492572277785,0.04109377786517143,0.09654751420021057,-88.28448633783772,-175.4891345966837,-13.135963661957248,11.0
227-237,none,0_1,none,0.94,-4.8869463923647105,-40.0,1.005160840458587,0.07388455279171467,0.040209706872701645,0.11148405820131302,-86.46686728242936,-164.26466626724937,-16.88909061544655,12.0
237-242,none,0_1,none,0.89,-3.4258248155757562,-23.849184863629933,3.818586171752937,0.06086087670177221,0.039702530950307846,0.08980188518762589,-33.49695576107203,-70.6684721020564,-2.3629829603579537,18.0
242-246.7,none,0_1,none,0.65,-1.6752133703638041,-12.170911983354296,5.482816735047434,0.09194075152277946,0.05090893432497978,0.1486944556236267,-78.24030683950073,-151.69238557297763,-16.83125297018853,13.0
246.7-252,none,0_1,none,0.94,4.433598098350876,-1.4518324276946488,35.56303511711335,0.2201441942155361,0.06762296706438065,0.380154013633728,-177.02384856153853,-334.4069105738813,-39.366227728007175,7.0
252-259.5,none,0_1,none,0.83,-1.92602398570884,-12.431184821391756,2.3529521420099497,0.17418544702231883,0.06948025524616241,0.33995017409324646,-158.41034966032447,-302.637563398413,-46.86513802618401,9.0
259.5-264.3,none,0_1,none,0.62,1.4364542191474352,-9.014857158917088,12.126245867939224,0.20978392034769058,0.09653843939304352,0.44893816113471985,-216.5737795971128,-407.1202163646859,-61.3539616206059,8.0
264.3-274.4,none,0_1,none,0.65,-1.673989006884299,-8.201774737624815,3.8707649282801757,0.15373002290725707,0.07208193838596344,0.2562426030635834,-185.7195773307567,-372.42713608958456,-41.738587694651756,10.0
274.4-283.5,none,0_1,none,0.98,-6.233871776912295,-40.0,-1.5163399773959445,0.0688506405428052,0.045636147260665894,0.10029172897338867,-74.27117104004074,-144.74710829105288,-18.981442202356106,14.0
283.5-290.1,none,0_1,none,0.95,-4.665883125735171,-26.906644602107338,7.604615442986845,0.06782874744385481,0.04083047807216644,0.0917581170797348,-49.78259144925383,-112.10492646822547,-6.325815854006578,15.0
