feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.1871684142947197,0.06150513142347336,0.2710984945297241,NA,NA,NA
Abajudon__lat_range_z_trans,0.05055462726538123,0.004465802624795074,0.027104888121529037,1.6762882055997033,0.22582782432436943,2.8565781658980995
Abajudon__Temperate_N,0.057485931732585385,0.002757886440896341,0.04235420951129121,NA,NA,NA
Abajudon__Tropical,0.024865936546881063,0.0016755656924363287,0.016348779075927706,NA,NA,NA
Abajudon__Temperate_S,-0.07187933131315885,-0.026046636185993628,0.0014231331092840456,NA,NA,NA
Abajudon__Antarctic,0.0006812502442299021,-0.0012086588969291746,0.0032090136232993585,NA,NA,NA
Abajudon__mean_pt_1myr_z_trans,0.0273301450717651,-0.0030402859600887505,0.030666832861758437,NA,NA,NA
Abajudon__Mod_R_deltaTMyr_pt_1myr_z_trans,0.054795669415133086,-0.0015747226575210398,0.04681160303157772,NA,NA,NA
Abajudon__208-217,0.002335888466792597,-0.0008671715525440385,0.0038076982769758593,NA,NA,NA
Abajudon__217-227,0.002407683660142518,-0.0006505803063426031,0.0034207478586402683,NA,NA,NA
Abajudon__227-237,0.003607940447849884,-0.001251072063978889,0.004652494262935145,NA,NA,NA
Abajudon__237-242,0.0008803329792949316,-0.0012908466429999274,0.0034608795004580427,NA,NA,NA
Abajudon__242-246.7,-0.0007009191423588765,-0.0027425703669174623,0.004628684860782114,NA,NA,NA
Abajudon__246.7-252,-0.006713461326520779,-0.003852792903288275,0.0027203960032916113,NA,NA,NA
Abajudon__252-259.5,-0.011236606423167293,-0.016066700361180568,0.01802000711922171,NA,NA,NA
Abajudon__259.5-264.3,0.042128692160865365,-0.008629178747100744,0.04807743418768114,NA,NA,NA
Abajudon__264.3-274.4,0.007596147412445467,-0.0011613842558215032,0.007687204372748131,NA,NA,NA
Abajudon__274.4-283.5,0.0014168238156437832,-0.0008673977660904281,0.0031591345984101687,NA,NA,NA
Abajudon__283.5-290.1,0.0016116632809152001,-0.0011543875148040692,0.003545354153912412,NA,NA,NA
Abdalodon__lat_range_z_trans,0.08430048408747975,0.004756208241112732,0.03283521989577533,1.0427078817648363,0.21188578568398952,2.1080849394202232
Abdalodon__Temperate_N,0.08890420454013047,0.0026994556585102575,0.045518834288843714,NA,NA,NA
Abdalodon__Tropical,0.0465144626520188,0.0012303678348117627,0.0188897880219037,NA,NA,NA
Abdalodon__Temperate_S,-0.18123502969676838,-0.03197412451615308,-0.014821029930636023,NA,NA,NA
Abdalodon__Antarctic,0.008020646571671185,-0.0003269328811590504,0.005457914363821509,NA,NA,NA
Abdalodon__mean_pt_1myr_z_trans,-0.0016667203316218914,-0.01133910771058904,0.03311311373583008,NA,NA,NA
Abdalodon__Mod_R_deltaTMyr_pt_1myr_z_trans,-0.03360766222627,-0.012315035851316259,0.016166252729100855,NA,NA,NA
Abdalodon__208-217,0.009722258436235805,-0.00023005855156771113,0.0056965283243671444,NA,NA,NA
Abdalodon__217-227,0.011633814443812352,0.00037298828407837735,0.005223833472473441,NA,NA,NA
Abdalodon__227-237,0.010538304270400542,-0.00046109276487706297,0.006297249181827719,NA,NA,NA
Abdalodon__237-242,0.0070227266812713665,-0.0006470982456243387,0.004422990517113035,NA,NA,NA
Abdalodon__242-246.7,-0.00010570814333409001,-0.002867352686265936,0.005505943071264669,NA,NA,NA
Abdalodon__246.7-252,-0.009348446004774967,-0.003943335939255827,0.003975690144136999,NA,NA,NA
Abdalodon__252-259.5,0.10680208849413846,-0.0008714644889683983,0.06685836600923556,NA,NA,NA
Abdalodon__259.5-264.3,0.006009473138543152,-0.00397357024256194,0.014531474492862153,NA,NA,NA
Abdalodon__264.3-274.4,0.015885623371297283,-0.0010741942768302034,0.01097836343182804,NA,NA,NA
Abdalodon__274.4-283.5,0.00927168974590606,3.9149379772524674e-05,0.005140469790853015,NA,NA,NA
Abdalodon__283.5-290.1,0.008506204264583785,-0.0005799326665901629,0.005307492989123197,NA,NA,NA
Acratophorus__lat_range_z_trans,0.11689793877730931,0.002347989120175213,0.025017166812335758,0.6563417370690149,0.07819926366209984,1.4846971221268177
Acratophorus__Temperate_N,0.14713954018392278,-0.0006640929110197176,0.03663497191415178,NA,NA,NA
Acratophorus__Tropical,0.08067525224412093,0.0009712738861154388,0.021276994840243382,NA,NA,NA
Acratophorus__Temperate_S,-0.30723593933901355,-0.02356749822328111,-0.0038347583445012047,NA,NA,NA
Acratophorus__Antarctic,0.015275519068199484,-0.0002532346123199425,0.004706307879714176,NA,NA,NA
Acratophorus__mean_pt_1myr_z_trans,-0.005063662909948687,-0.008948407217637688,0.030004952759860218,NA,NA,NA
Acratophorus__Mod_R_deltaTMyr_pt_1myr_z_trans,0.02301288453652942,-0.005125720754000241,0.028508981127690132,NA,NA,NA
Acratophorus__208-217,0.019591266602861725,-6.176553899112691e-06,0.005943178997745334,NA,NA,NA
Acratophorus__217-227,0.012404334482779913,-3.190110694388731e-05,0.006023612295204965,NA,NA,NA
Acratophorus__227-237,0.022733241953103615,-0.012463524141824169,0.05359705747375755,NA,NA,NA
Acratophorus__237-242,0.015321931920073093,-0.0001899532007036712,0.005125574589327563,NA,NA,NA
Acratophorus__242-246.7,0.004709631953665086,-0.0013931817293714114,0.006828155714108322,NA,NA,NA
Acratophorus__246.7-252,-0.012547805659399933,-0.002464100948165141,0.0038653740511393397,NA,NA,NA
Acratophorus__252-259.5,-0.0343844586799064,-0.006744105534168546,0.012871618377165266,NA,NA,NA
Acratophorus__259.5-264.3,0.021122916482979256,-0.002853585092199976,0.013296487818803378,NA,NA,NA
Acratophorus__264.3-274.4,0.03320373154419941,-2.3452617553694744e-05,0.009539118745849142,NA,NA,NA
Acratophorus__274.4-283.5,0.017153163166028804,6.851376728401543e-05,0.00612237093459109,NA,NA,NA
Acratophorus__283.5-290.1,0.017158927967215423,-0.00016397355395971963,0.005571328542537947,NA,NA,NA
Adelobasileus__lat_range_z_trans,0.08637407624279078,0.0014616608026772008,0.023190885809762054,0.9336837821021617,0.027144604362547398,3.377997368108481
Adelobasileus__Temperate_N,0.11673327934681721,0.0013346149243671647,0.03414556562131819,NA,NA,NA
Adelobasileus__Tropical,-0.28263166748246815,-0.02749894213071754,-0.001489137720171863,NA,NA,NA
