feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-40.0,-40.0,-26.530820944981183,0.4139774084091187,0.25167933106422424,0.5091070532798767,-1107.2660490054934,-1449.9470457583925,-775.2961801479535,4.0
Temperate_N,none,0_1,none,0.97,-5.90891033195982,-40.0,-1.6224979699288535,0.3997742096334696,0.13238851726055145,0.6535841226577759,-488.0407963853891,-780.406389914263,-180.01791150193253,8.0
Tropical,none,0_1,none,0.95,-4.135970982899529,-16.370193013440073,1.2859789689671595,0.37670829467475414,0.19948889315128326,0.6480039954185486,-816.3768733251251,-1408.285681889758,-212.51480367126192,10.0
Temperate_S,none,0_1,none,0.98,-5.60402798462981,-19.58321876754369,2.006066096326079,0.45798334263265134,0.1681128740310669,0.7315622568130493,-999.9406534374457,-1726.0824679021464,-445.113449465621,3.0
Antarctic,none,0_1,none,0.58,-1.4619669038005423,-20.970447617461595,4.1163740659278485,0.06477411136031151,0.04208475723862648,0.08166242390871048,-17.667415883091167,-58.363770702381316,4.5091816603404595,24.0
mat_z_trans,none,none,none,0.69,-2.7012897191759846,-26.354155115725433,14.804540722799924,0.5015724214911461,0.18534806370735168,0.9692174792289734,-1226.7500664270235,-2378.5480067542867,-366.0648127756474,2.0
map_z_trans,none,none,none,0.47,1.0695063461753467,-7.292441050696463,15.949596632857483,0.35018026739358904,0.09835881739854813,0.7571814060211182,-1180.9379560739346,-2424.54159364506,-191.16544654463405,11.0
wmm_z_trans,none,none,none,0.65,-3.3415919371955134,-40.0,7.38763774915758,0.3999997708201408,0.15687179565429688,0.7108654975891113,-1125.8770188029116,-2022.680363312395,-316.9243226105866,7.0
cmm_z_trans,none,none,none,0.7,-5.187716050435521,-40.0,10.744501254242877,0.46556060887873174,0.17768779397010803,0.8784552216529846,-1642.5052280370585,-3320.6453829090697,-419.112015111819,1.0
wmmcmm_z_trans,none,none,none,0.68,-4.452205196549945,-40.0,9.08109118652046,0.41401350185275076,0.15004903078079224,0.7421154379844666,-1469.1150265989168,-2602.525132349052,-234.84368321969464,5.0
wetmon_z_trans,none,none,none,0.39,1.831032622953489,-40.0,34.23814102715379,0.3889838277548552,0.13317762315273285,0.7373276948928833,-1210.5540407439755,-2262.636363177881,-371.8939378932515,9.0
drymon_z_trans,none,none,none,0.53,-1.208144952283324,-40.0,31.077034605166656,0.24462435059249402,0.0803738534450531,0.43881043791770935,-957.7330840476902,-1948.6499358630285,-244.5437658689425,12.0
wetdry_z_trans,none,none,none,0.73,-4.423683266877342,-40.0,33.07884913681749,0.42028636574745176,0.1733618527650833,0.8891949653625488,-1336.7443367482067,-2863.780941040848,-311.4394334690321,2.0
208-217,none,0_1,none,0.64,1.4449293039710747,-4.618454830883954,10.940107075822409,0.14473333951085807,0.05414649844169617,0.29935115575790405,-137.76848931926946,-306.1407826653526,-15.344580651773754,16.0
217-227,none,0_1,none,0.93,-3.8395419466884455,-20.817137635406375,2.7963966476907727,0.07128110814839601,0.04296962544322014,0.09648001194000244,-59.07811041155751,-115.16570157115586,-10.822837440436274,21.0
227-237,none,0_1,none,0.9,-2.7866567668418853,-14.880038301255386,1.9473123614624563,0.09527214035391808,0.04228409752249718,0.15702608227729797,-115.5180163309589,-247.6251718376144,-8.106184304716976,19.0
237-242,none,0_1,none,0.91,-5.61120189102278,-40.0,1.1505439013027015,0.12249002523720265,0.046399738639593124,0.19685804843902588,-125.62951700031695,-298.9889003154865,-9.609463948911639,17.0
242-246.7,none,0_1,none,0.76,-2.2493240701685533,-15.451250164016535,2.5876585483142986,0.12355006717145443,0.05563041567802429,0.2503869831562042,-139.96327309965613,-323.8861168417278,-12.684679174542907,15.0
246.7-252,none,0_1,none,0.68,1.5482228347407312,-5.09223864348889,6.165379801284638,0.22625316247344018,0.08435335010290146,0.4174072742462158,-170.10396449519794,-335.7457333454811,-29.734519621229424,13.0
252-259.5,none,0_1,none,0.63,-1.7989208040479152,-21.864858241554742,5.752221231867438,0.10300865534693003,0.05202696472406387,0.17527128756046295,-132.4144257050505,-317.36463937850135,-8.05999301410202,18.0
259.5-264.3,none,0_1,none,0.91,-7.3608663021665475,-40.0,1.3212640216761258,0.07791657499969006,0.04520997032523155,0.11622299253940582,-105.56288932692746,-238.6564280215274,-8.451870501247527,20.0
264.3-274.4,none,0_1,none,0.98,-8.103753254719551,-40.0,-1.8487011059733918,0.08251022253185511,0.04626678675413132,0.12266238033771515,-148.03599403040832,-322.9694522708576,-30.782381581741447,14.0
274.4-283.5,none,0_1,none,0.85,-3.796503626791194,-40.0,2.2876134262193424,0.06775981228798628,0.04253438487648964,0.09011740982532501,-105.99922970453484,-254.86708201501574,-12.801584839157385,22.0
283.5-290.1,none,0_1,none,0.82,-5.4123231388679125,-35.81250728939822,5.3170385835272445,0.06853432208299637,0.04438979923725128,0.09279687702655792,-70.75397493719326,-179.43135793013175,-5.661857444977613,23.0
