feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-40.0,-40.0,-26.840921748861078,0.4365544018149376,0.312847763299942,0.5511192679405212,-1089.4154848683004,-1454.822020571962,-781.6684424741791,6.0
Temperate_N,none,0_1,none,0.73,-1.920856323386908,-11.529074811810318,3.321379663845156,0.44689407795667646,0.2357977032661438,0.7413580417633057,-581.5713787833214,-943.2682977447943,-276.3762299959692,7.0
Tropical,none,0_1,none,0.85,-3.3146404521713992,-13.979256219045325,4.216010422218778,0.3712461307644844,0.1862548291683197,0.6367354989051819,-759.8204199793315,-1357.0332555099667,-206.52585742269775,10.0
Temperate_S,none,0_1,none,0.99,-7.912712470984713,-40.0,-2.6875113342497836,0.5601683665812015,0.31722742319107056,0.9099447727203369,-890.8047759386355,-1578.3405597873846,-288.3548163870523,1.0
Antarctic,none,0_1,none,0.76,-2.717086584913111,-30.720369436302196,2.7599998368539,0.06906773954629898,0.04526171833276749,0.09087839722633362,-17.256890446067498,-56.75613839800258,4.450756319665061,24.0
mat_z_trans,none,none,none,0.57,-1.5863470154520458,-40.0,8.34601017201933,0.5069472615420818,0.14552752673625946,0.9496787786483765,-1217.9186476913387,-2280.860829493302,-214.35611842131095,3.0
map_z_trans,none,none,none,0.3,1.683449684996567,-8.835705322356825,12.213833024420309,0.3255978275835514,0.12696097791194916,0.6554220914840698,-1013.8209386797696,-2059.026528446761,-263.1468049880258,11.0
wmm_z_trans,none,none,none,0.78,-6.903173924396576,-40.0,13.319092542990987,0.4902802473306656,0.13113047182559967,0.9036231637001038,-1205.4687916802184,-2617.340284306969,-322.48180125543456,4.0
cmm_z_trans,none,none,none,0.69,-3.57814389040601,-40.0,40.0,0.53203573808074,0.13748402893543243,1.085360050201416,-1420.9334415227163,-3375.7503718263506,-166.75435734664052,2.0
wmmcmm_z_trans,none,none,none,0.31,1.7239892213723187,-40.0,19.731326485367177,0.37766522869467734,0.1320526897907257,0.7519834041595459,-924.1003742099913,-2087.081997554021,-195.04758533189,9.0
wetmon_z_trans,none,none,none,0.45,1.073152204118633,-23.086841628585137,17.587860124458352,0.40438648223876955,0.10964491218328476,0.8330380916595459,-1194.3472901767948,-2553.7002609473493,-279.22065031836314,8.0
drymon_z_trans,none,none,none,0.89,-8.190981024387256,-40.0,4.146444949133577,0.26935013078153136,0.12223417311906815,0.5591160655021667,-949.5350297723277,-1915.964254972611,-321.57094029740597,12.0
wetdry_z_trans,none,none,none,0.57,-1.8497606495200587,-40.0,24.011807708367645,0.4718566919863224,0.1418481022119522,0.9936887621879578,-1191.1812420288236,-2447.1291357493064,-356.80103886005486,5.0
208-217,none,0_1,none,0.97,-5.607557194041559,-32.22004434510289,1.7619241864388817,0.08151878263801336,0.04862618446350098,0.10990779846906662,-81.03588062187514,-158.3794227154807,-22.347263094316986,22.0
217-227,none,0_1,none,0.95,-5.111030067323668,-27.784222554892178,2.9404673237717485,0.08668851096183061,0.050197962671518326,0.12067094445228577,-73.27654850891498,-140.4834359131147,-15.846974439208907,20.0
227-237,none,0_1,none,0.59,-1.304426414429694,-16.66280469919823,10.139892875082106,0.1582007011771202,0.06623151898384094,0.2794358432292938,-178.0727953392235,-325.54659952615566,-41.74430498641709,14.0
237-242,none,0_1,none,0.85,-3.694810427190486,-27.353979344482937,3.5751469657802204,0.10156645104289055,0.057617269456386566,0.1878882497549057,-113.81020044176401,-236.37604855584868,-13.859274819177813,19.0
242-246.7,none,0_1,none,0.93,-4.429183446748861,-40.0,1.0710939025606965,0.1494762010127306,0.055744294077157974,0.27994269132614136,-155.89404908865905,-313.62339664187834,-11.427834752339663,15.0
246.7-252,none,0_1,none,0.69,1.755193517219868,-5.084570597080919,7.111306205044942,0.29147979788482187,0.09849818795919418,0.5509164333343506,-177.55946740977097,-362.27613464698754,-47.576380973432265,13.0
252-259.5,none,0_1,none,0.68,-1.7687135622074934,-40.0,4.552974594763045,0.10207496047019958,0.06365092843770981,0.190476655960083,-135.39157036786648,-329.7146801287921,-14.176374266855191,17.0
259.5-264.3,none,0_1,none,1.0,-13.47892791569534,-40.0,-2.4491663787929037,0.10203861244022847,0.052562255412340164,0.18563534319400787,-135.43612676720343,-330.25465967611456,-14.57611531453631,16.0
264.3-274.4,none,0_1,none,0.96,-7.318068687998112,-40.0,-1.1090632743289566,0.0978050447627902,0.05861758068203926,0.151641845703125,-127.85828988703553,-273.6602324035757,-20.626141992156818,18.0
274.4-283.5,none,0_1,none,0.91,-6.216276918252622,-40.0,1.71246649444661,0.0716068371385336,0.04896754398941994,0.09395712614059448,-96.03852830664425,-207.62788717920625,-14.036754976544898,23.0
283.5-290.1,none,0_1,none,0.94,-10.55955576578911,-40.0,1.014244356063467,0.08448060393333436,0.05389335751533508,0.12194722145795822,-101.75978078349166,-200.6786449255792,-14.773239966927122,21.0
