feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.17089444745332003,0.0626971572637558,0.2711106240749359,NA,NA,NA
Abajudon__lat_range_z_trans,0.0418537677884789,0.00019496408318962717,0.01001868994852034,1.3960095606805407,0.23673206940293312,2.638092767447233
Abajudon__Temperate_N,0.07435066690747921,0.00041446130936469193,0.015105363734158885,NA,NA,NA
Abajudon__Tropical,0.03415920109302832,0.00010915497558670282,0.0063708501979918165,NA,NA,NA
Abajudon__Temperate_S,-0.10752832111683212,-0.004684332084926646,-0.0013396951650187221,NA,NA,NA
Abajudon__Antarctic,0.009196542150991409,-0.00017654821866737303,0.0029239216224751074,NA,NA,NA
Abajudon__mat_z_trans,0.014644119649352385,-0.0023969205976049333,0.007913341567663,NA,NA,NA
Abajudon__map_z_trans,0.0207294254047899,-0.0061556170769664865,0.029930060110339846,NA,NA,NA
Abajudon__wmm_z_trans,0.04921803466541554,-0.0065949826162196344,0.03906531106992348,NA,NA,NA
Abajudon__cmm_z_trans,0.02554701307841302,-0.0038546020785785347,0.018228879571518315,NA,NA,NA
Abajudon__wmmcmm_z_trans,-0.01109916807660732,-0.007597951649237658,0.02493383668020287,NA,NA,NA
Abajudon__wetmon_z_trans,0.010156567784488067,-0.005768780022743505,0.0171664495365772,NA,NA,NA
Abajudon__drymon_z_trans,0.040355872685109435,-0.007624962352972067,0.03603517464719179,NA,NA,NA
Abajudon__wetdry_z_trans,0.025180070060411106,-0.0030548480863890086,0.013440519341629374,NA,NA,NA
Abajudon__208-217,0.009560020365743162,-0.00017530561628959128,0.003131716377688872,NA,NA,NA
Abajudon__217-227,0.010552545075271697,-0.00015371341316856938,0.002958677622537131,NA,NA,NA
Abajudon__227-237,0.013682325959237775,-0.00013287138044350456,0.003818891172557539,NA,NA,NA
Abajudon__237-242,0.01034289153026666,-0.0001273487408178075,0.0031178868400728857,NA,NA,NA
Abajudon__242-246.7,0.016451054592601235,-6.50019806275163e-05,0.004598768455810747,NA,NA,NA
Abajudon__246.7-252,0.0002982037775236125,-0.0007948827573174237,0.002547797470265466,NA,NA,NA
Abajudon__252-259.5,0.009881141898225169,-0.0012091922584036084,0.006736349593551818,NA,NA,NA
Abajudon__259.5-264.3,0.013737621913767121,-0.0027596682561181144,0.010431683401903332,NA,NA,NA
Abajudon__264.3-274.4,-0.1606934465352961,-0.009795493763949703,0.007630961627550985,NA,NA,NA
Abajudon__274.4-283.5,0.009625873720640098,-0.00017295954091599305,0.0029767017242746273,NA,NA,NA
Abajudon__283.5-290.1,0.0106924230808217,-0.00011975513953914038,0.0033684869255492145,NA,NA,NA
Abdalodon__lat_range_z_trans,0.08071058970451049,0.0008137358915317617,0.013854541136988446,1.0849809768425258,0.4601748799905181,3.53159673162736
Abdalodon__Temperate_N,0.1007904355866997,0.000938157852665336,0.01600732075112102,NA,NA,NA
Abdalodon__Tropical,0.04537699827595268,0.000284585214811176,0.008332201871521235,NA,NA,NA
Abdalodon__Temperate_S,-0.15581228499504965,-0.006620993904041528,-0.0004778896079791433,NA,NA,NA
Abdalodon__Antarctic,0.012295114949606141,-0.00046896124664028865,0.003649470528404455,NA,NA,NA
Abdalodon__mat_z_trans,0.026979933617407515,-0.003264823268794398,0.020763349265382768,NA,NA,NA
Abdalodon__map_z_trans,-0.009205957651757175,-0.0030615316520503444,0.009723600113191285,NA,NA,NA
Abdalodon__wmm_z_trans,-0.07734466655339269,-0.009332456776599005,0.027126879887112418,NA,NA,NA
Abdalodon__cmm_z_trans,-0.041436630468345836,-0.009659935478943766,0.031847649582384584,NA,NA,NA
Abdalodon__wmmcmm_z_trans,0.03291345196266629,-0.01120257585986658,0.034106862985895534,NA,NA,NA
Abdalodon__wetmon_z_trans,-0.006599126231828456,-0.003689120734790117,0.012617310075564986,NA,NA,NA
