feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-40.0,-40.0,-34.480698828118214,0.44965852320194244,0.3062594532966614,0.6109597682952881,-6.8212102632969615e-15,-1.1368683772161603e-13,2.2737367544323206e-13,6.0
Temperate_N,none,0_1,none,0.99,-6.485916397545077,-28.862938070015428,-1.0048238216910381,0.4549956586956978,0.12738624215126038,0.725827693939209,-500.21391728230566,-862.0633453514378,-181.9250156625924,4.0
Tropical,none,0_1,none,0.85,-4.0004532046791645,-16.07608990519157,7.829186811092544,0.3685439030826092,0.13763952255249023,0.5866873264312744,-755.839510384339,-1327.3327336222028,-257.47129638072215,9.0
Temperate_S,none,0_1,none,0.94,-5.049926489272956,-25.967659295042267,2.151404242854462,0.46341580092906953,0.16742759943008423,0.7507964968681335,-996.1637231935773,-1752.5185300018038,-367.81245056191506,2.0
Antarctic,none,0_1,none,0.6,-1.5730884269697991,-11.506802524304684,5.921554973554912,0.06688734758645296,0.04420985281467438,0.09114052355289459,-22.062973081008035,-80.62009967347694,4.215020712586352,24.0
mat_z_trans,none,none,none,0.57,-1.531697717489227,-40.0,8.730485977422964,0.4508440847694874,0.1436692625284195,0.9246276021003723,-1158.847640107304,-2295.4153435069506,-276.25644557530575,5.0
map_z_trans,none,none,none,0.7,-4.02736366067509,-40.0,31.310968845415093,0.3515770048648119,0.08506309241056442,0.7898773550987244,-1100.595221220999,-2491.1929938159337,-163.1155415376778,11.0
wmm_z_trans,none,none,none,0.78,-6.2706095299252835,-40.0,6.0810236812257354,0.3610571298003197,0.14338886737823486,0.6715893149375916,-954.9510313042307,-1903.4859118592599,-289.7944723963104,10.0
cmm_z_trans,none,none,none,0.66,-2.7060643672315177,-40.0,28.71974830655785,0.47599257856607435,0.14331097900867462,0.9212774634361267,-1646.4603627162762,-3523.6700237701534,-404.67166454160315,1.0
wmmcmm_z_trans,none,none,none,0.78,-7.119984677477532,-40.0,27.046362038121757,0.4373707203567028,0.12920720875263214,0.8123198747634888,-1514.013059269341,-3049.4890979283628,-151.94934118859203,7.0
wetmon_z_trans,none,none,none,0.45,1.5306334104698176,-40.0,39.99999999999999,0.4237296356260776,0.1268807053565979,0.8597927689552307,-1269.5964331995822,-2755.4421044398496,-222.85368323827538,8.0
drymon_z_trans,none,none,none,0.88,-4.532819929512556,-38.06917246528801,1.9255406790182796,0.22659707598388196,0.08358826488256454,0.4753064811229706,-846.8038426864414,-1789.7199708456546,-222.97949775629297,12.0
wetdry_z_trans,none,none,none,0.55,-1.1914993395512914,-20.990720956195347,10.12270577820505,0.4607806214690208,0.14188960194587708,0.9522011280059814,-1244.8240235829037,-2443.93956975492,-348.3381802778166,3.0
208-217,none,0_1,none,0.82,1.9635195799189193,-4.7467380850070615,13.426330474312005,0.1565096129104495,0.06620541960000992,0.3311965763568878,-166.75826381013516,-317.59255908437535,-15.85224143709786,14.0
217-227,none,0_1,none,0.88,-3.4140191762925696,-37.83989425172614,2.4513106521510744,0.07430154442787171,0.04687703028321266,0.10782329738140106,-66.49130092717472,-148.88365518024784,-6.544917176576632,21.0
227-237,none,0_1,none,0.83,-3.1744345540576147,-15.07333789758441,3.823561174330118,0.10112196527421474,0.054468292742967606,0.16620485484600067,-111.82738778639369,-251.89475365134854,-11.897109937459163,20.0
237-242,none,0_1,none,0.91,-7.879699541273687,-40.0,1.3189366066583315,0.12407799653708934,0.05411515757441521,0.23856575787067413,-131.751421300047,-325.66951898684783,-9.4308861121674,16.0
242-246.7,none,0_1,none,0.85,-4.250876639967521,-40.0,1.5660138832200163,0.13699045132845641,0.051667820662260056,0.2566474974155426,-149.1964607510561,-407.557451574389,0.5350097194939281,15.0
246.7-252,none,0_1,none,0.84,3.1338197609530587,-5.800769027870047,26.977405731043632,0.2520123234391212,0.09150037914514542,0.5057309865951538,-217.82924634030675,-429.4675661118139,-44.51185435347827,13.0
252-259.5,none,0_1,none,0.75,-3.4450474296598257,-30.642294246854057,5.448364653888014,0.11541149873286485,0.05271827057003975,0.23369599878787994,-141.94774559591124,-341.33815831223524,-11.96862121908157,17.0
259.5-264.3,none,0_1,none,0.97,-12.627966133759116,-40.0,-1.53829096997246,0.08596100147813558,0.05208134278655052,0.12324482947587967,-129.98427313524203,-295.0382674079069,-8.557879223546138,19.0
264.3-274.4,none,0_1,none,1.0,-9.324005079534418,-40.0,-2.736496518782022,0.0864548410475254,0.05275089666247368,0.12977814674377441,-130.1328756541939,-269.31979060381343,-34.66141977918596,18.0
274.4-283.5,none,0_1,none,0.68,-1.8464583119520306,-34.570248938952254,6.453205369633314,0.06823973130434752,0.04581361636519432,0.09550587087869644,-135.13215345741995,-340.7103000692065,-6.496785590229251,23.0
283.5-290.1,none,0_1,none,0.87,-6.717720937724357,-40.0,2.3903993429181485,0.0691632105782628,0.04558079317212105,0.09700699895620346,-71.94723184743438,-164.36612583671274,-3.58696777431544,22.0
