"age","L_mean","L_hpd_m95","L_hpd_M95","M_mean","M_hpd_m95","M_hpd_M95","R_mean","R_hpd_m95","R_hpd_M95"
-175,NA,NA,NA,NA,NA,NA,NA,NA,NA
-175,NA,NA,NA,NA,NA,NA,NA,NA,NA
-175.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA
-175.12405943083,NA,NA,NA,NA,NA,NA,NA,NA,NA
-175.12406943083,NA,NA,NA,NA,NA,NA,NA,NA,NA
-175.24811886166,NA,NA,NA,NA,NA,NA,NA,NA,NA
-175.24812886166,NA,NA,NA,NA,NA,NA,NA,NA,NA
-175.372178292489,NA,NA,NA,NA,NA,NA,NA,NA,NA
-175.372188292489,NA,NA,NA,NA,NA,NA,NA,NA,NA
-175.496237723319,NA,NA,NA,NA,NA,NA,NA,NA,NA
-175.496247723319,NA,NA,NA,NA,NA,NA,NA,NA,NA
-175.620297154149,NA,NA,NA,NA,NA,NA,NA,NA,NA
-175.620307154149,NA,NA,NA,NA,NA,NA,NA,NA,NA
-175.744356584979,NA,NA,NA,NA,NA,NA,NA,NA,NA
-175.744366584979,NA,NA,NA,NA,NA,NA,NA,NA,NA
-175.868416015808,NA,NA,NA,NA,NA,NA,NA,NA,NA
-175.868426015808,NA,NA,NA,NA,NA,NA,NA,NA,NA
-175.992475446638,NA,NA,NA,NA,NA,NA,NA,NA,NA
-175.992485446638,NA,NA,NA,NA,NA,NA,NA,NA,NA
-176.116534877468,NA,NA,NA,NA,NA,NA,NA,NA,NA
-176.116544877468,NA,NA,NA,NA,NA,NA,NA,NA,NA
-176.240594308298,NA,NA,NA,NA,NA,NA,NA,NA,NA
-176.240604308298,NA,NA,NA,NA,NA,NA,NA,NA,NA
-176.364653739127,NA,NA,NA,NA,NA,NA,NA,NA,NA
-176.364663739127,NA,NA,NA,NA,NA,NA,NA,NA,NA
-176.488713169957,NA,NA,NA,NA,NA,NA,NA,NA,NA
-176.488723169957,NA,NA,NA,NA,NA,NA,NA,NA,NA
-176.612772600787,NA,NA,NA,NA,NA,NA,NA,NA,NA
-176.612782600787,NA,NA,NA,NA,NA,NA,NA,NA,NA
-176.736832031617,NA,NA,NA,NA,NA,NA,NA,NA,NA
-176.736842031617,NA,NA,NA,NA,NA,NA,NA,NA,NA
-176.860891462446,NA,NA,NA,NA,NA,NA,NA,NA,NA
-176.860901462446,NA,NA,NA,NA,NA,NA,NA,NA,NA
-176.984950893276,NA,NA,NA,NA,NA,NA,NA,NA,NA
-176.984960893276,NA,NA,NA,NA,NA,NA,NA,NA,NA
-177.109010324106,NA,NA,NA,NA,NA,NA,NA,NA,NA
-177.109020324106,NA,NA,NA,NA,NA,NA,NA,NA,NA
-177.233069754936,NA,NA,NA,NA,NA,NA,NA,NA,NA
-177.233079754936,NA,NA,NA,NA,NA,NA,NA,NA,NA
-177.357129185765,NA,NA,NA,NA,NA,NA,NA,NA,NA
-177.357139185765,NA,NA,NA,NA,NA,NA,NA,NA,NA
-177.481188616595,NA,NA,NA,NA,NA,NA,NA,NA,NA
-177.481198616595,NA,NA,NA,NA,NA,NA,NA,NA,NA
-177.605248047425,NA,NA,NA,NA,NA,NA,NA,NA,NA
