feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-40.0,-40.0,-25.227167622169503,0.4247473227977753,0.26315149664878845,0.5539550185203552,-1239.2280661755276,-1702.6842545374218,-861.419017420375,3.0
Temperate_N,none,0_1,none,0.83,-1.9520618345359735,-20.104320206432487,2.1123503367707426,0.32409240953624247,0.08753451704978943,0.6693770289421082,-358.4898883121705,-695.4405937709928,-73.98364982688304,11.0
Tropical,none,0_1,none,0.51,-1.0517909706590518,-8.390948710781702,5.16082692953705,0.2569074954092503,0.07050850987434387,0.4913715124130249,-550.7219036254294,-1131.448411984107,-100.31225608717932,13.0
Temperate_S,none,0_1,none,0.76,-2.0872184850995437,-8.275627808634137,6.050992998168406,0.3435629471391439,0.06474388390779495,0.7001822590827942,-690.8405085635783,-1500.1431951288348,-156.15229058675618,10.0
Antarctic,none,0_1,none,0.63,-1.5312472710298934,-23.91566042530552,5.567167296993941,0.06053324799984693,0.04170374199748039,0.08125931024551392,-18.072485247909402,-66.45623816016769,5.12376556154868,24.0
mat_z_trans,none,none,none,0.67,-2.195274624329607,-40.0,5.052130027479793,0.43216387256979943,0.09553033113479614,0.8552194833755493,-1056.553278212826,-2248.8871238709626,-155.16974993774363,6.0
map_z_trans,none,none,none,0.4,1.9150663818281335,-25.910152657481152,40.0,0.3523730106651783,0.130700945854187,0.6893033981323242,-1077.1849797687828,-2272.628970778573,-251.93380766463713,8.0
wmm_z_trans,none,none,none,0.64,-1.8096794153850784,-40.0,10.929594478575357,0.2885136702656746,0.11549720913171768,0.5530313849449158,-775.5399844858482,-1647.532193188503,-163.33334340045258,12.0
cmm_z_trans,none,none,none,0.42,1.5689527694779404,-40.0,26.332132947034182,0.44338871248066425,0.10474014282226562,0.9781520366668701,-1159.430725090532,-2732.451725780712,-138.79688257622433,4.0
wmmcmm_z_trans,none,none,none,0.47,1.1482637918781475,-40.0,39.99999999999999,0.36042112298309803,0.10296883434057236,0.7780280709266663,-877.7342392328951,-1845.684280282534,-172.3824647290253,7.0
wetmon_z_trans,none,none,none,0.78,-7.826054774385596,-40.0,10.050664587985992,0.4421747249364853,0.0760270431637764,0.9295945763587952,-1438.2858444008696,-3053.3000092774214,-207.44294909024438,2.0
drymon_z_trans,none,none,none,0.79,-6.550225959059851,-40.0,11.691605571713286,0.19625697515904902,0.0645715668797493,0.35437536239624023,-759.9004177736375,-1559.4416554749469,-181.0667757600886,17.0
wetdry_z_trans,none,none,none,0.76,-9.433092065954249,-40.0,18.703122075985075,0.4845896504074335,0.11335562914609909,0.9570676684379578,-1487.1513262772053,-3044.3685436644328,-309.82005850137193,1.0
208-217,none,0_1,none,1.0,-12.91297782617434,-40.0,-6.160064014020973,0.27824845910072327,0.10839911550283432,0.45600631833076477,-831.6392094351827,-1448.3918297158018,-333.36600364036235,9.0
217-227,none,0_1,none,1.0,-24.993407129404744,-40.0,-6.87012117839282,0.2131578930467367,0.11055963486433029,0.3760606646537781,-1059.263223215215,-1714.3791211811542,-455.85217806938726,5.0
227-237,none,0_1,none,1.0,-10.767706087660436,-40.0,-2.758979270239844,0.24999660424888134,0.07873249799013138,0.4113505482673645,-316.9450649338367,-603.790738135443,-36.27798854290643,15.0
237-242,none,0_1,none,0.97,-7.189337748792537,-40.0,-1.1940146841851953,0.22760612301528454,0.06905970722436905,0.45144331455230713,-214.99016018178483,-521.4909545514797,-16.841166323866787,16.0
242-246.7,none,0_1,none,0.92,-5.8915965330966085,-30.16362229859254,1.6188380354831486,0.2550189844146371,0.07768139243125916,0.39674103260040283,-380.38258810990743,-682.9458436537832,-45.19155199657109,14.0
246.7-252,none,0_1,none,0.74,-1.896432140454491,-17.552451555856376,4.837682797607202,0.10056638114154338,0.04929734021425247,0.17955198884010315,-65.73298274474968,-142.1688682808956,-6.627689759551345,23.0
252-259.5,none,0_1,none,0.85,-4.125005882044599,-30.86185189216314,3.400723067276734,0.12569932956248522,0.05174615606665611,0.23402190208435059,-144.63522087635727,-296.5551454188462,-9.312557493811369,19.0
259.5-264.3,none,0_1,none,0.93,-9.332264786890295,-40.0,1.347101042903625,0.0710816452652216,0.05005989968776703,0.10239453613758087,-78.82026649260864,-187.66888674045094,-4.891189392238289,21.0
264.3-274.4,none,0_1,none,0.98,-11.581719016635915,-40.0,-1.6878523347525447,0.09674043886363506,0.05108434706926346,0.1486707478761673,-184.75075840036456,-377.0632987976071,-26.454644163066177,18.0
274.4-283.5,none,0_1,none,0.91,-6.019261745898071,-40.0,1.2050058398456445,0.06914549928158521,0.043748751282691956,0.10026312619447708,-90.60803790111913,-212.8005749972874,-5.30111040205702,22.0
283.5-290.1,none,0_1,none,0.97,-7.1420668291235705,-40.0,-1.240736839296156,0.07833733014762402,0.04542561247944832,0.1160702258348465,-106.57493108676174,-231.85738748468225,-10.70533896289976,20.0
