feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.12997344870120286,0.03445248678326607,0.22241587936878204,NA,NA,NA
Abyssomedon__lat_range_z_trans,0.1497246831368085,0.0003159541494239674,0.006941425404717723,0.41482700773194664,0.08180849440395832,0.586899871006608
Abyssomedon__Temperate_N,0.18432824376768367,4.5781095619107515e-05,0.008849047160002848,NA,NA,NA
Abyssomedon__Tropical,-0.40515984164779517,-0.0031887288589514066,-0.0003000268414287702,NA,NA,NA
Abyssomedon__Temperate_S,0.21940104181310888,0.00040945807886401734,0.011013838038817596,NA,NA,NA
Abyssomedon__Antarctic,0.04729702693553894,2.1704661517761126e-05,0.0028969716023484263,NA,NA,NA
Abyssomedon__mat_z_trans,-0.07818570360604593,-0.0037497384325693556,0.016110738563086247,NA,NA,NA
Abyssomedon__map_z_trans,-0.023932086572441,-0.0050394882861205,0.03272574518820782,NA,NA,NA
Abyssomedon__wmm_z_trans,0.01127037621583726,-0.0018344849552098003,0.00961641215671414,NA,NA,NA
Abyssomedon__cmm_z_trans,-0.01377400583410504,-0.00298847243324245,0.017703753518491516,NA,NA,NA
Abyssomedon__wmmcmm_z_trans,-0.035563163047880236,-0.0022081324959433313,0.008993885976010205,NA,NA,NA
Abyssomedon__wetmon_z_trans,0.021894060295236134,-0.004000302822216722,0.02420839799872263,NA,NA,NA
Abyssomedon__drymon_z_trans,-0.15045185710856915,-0.00480326572365669,0.016519836442134686,NA,NA,NA
Abyssomedon__wetdry_z_trans,0.1043121063400246,-0.0024246308337384733,0.019858905427265556,NA,NA,NA
Abyssomedon__208-217,0.06073481838798426,8.837996883236804e-05,0.0037470210757534848,NA,NA,NA
Abyssomedon__217-227,0.06302075087116041,4.7520782589151264e-05,0.003987565705928356,NA,NA,NA
Abyssomedon__227-237,0.01512851769945281,-0.0005271416702242652,0.00300261767909575,NA,NA,NA
Abyssomedon__237-242,0.07401979317872354,7.577749063940283e-05,0.004546248954080359,NA,NA,NA
Abyssomedon__242-246.7,0.09528803631026467,6.494293671028039e-05,0.004956935792590981,NA,NA,NA
Abyssomedon__246.7-252,0.0020206489803051464,-0.0003867747480353533,0.003287492564564507,NA,NA,NA
Abyssomedon__252-259.5,0.06303221710623441,-2.4533967558618943e-05,0.004006913788188185,NA,NA,NA
Abyssomedon__259.5-264.3,0.05564114751580254,4.7310431293553544e-05,0.0033757134909318666,NA,NA,NA
