feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.1256089958921075,0.04680858179926872,0.2052757441997528,NA,NA,NA
Abyssomedon__lat_range_z_trans,0.2874267363548279,0.00042718560337637524,0.006311891287985376,0.2087452086424173,0.07893684599548578,0.386689510778524
Abyssomedon__Temperate_N,0.3334547623619437,-0.00019581775204442794,0.009412649053152304,NA,NA,NA
Abyssomedon__Tropical,-0.6589943330734969,-0.004176675975423474,0.001127329952781323,NA,NA,NA
Abyssomedon__Temperate_S,0.39677271962165833,0.000239760641672854,0.010389584243647637,NA,NA,NA
Abyssomedon__Antarctic,0.0935825931490399,-2.6633099237598354e-05,0.0030241915751841207,NA,NA,NA
Abyssomedon__mat_z_trans,0.014811608484014869,-0.003971090336083628,0.015260816129952481,NA,NA,NA
Abyssomedon__map_z_trans,-0.0383324601687491,-0.005767296653277154,0.029500972897900806,NA,NA,NA
Abyssomedon__wmm_z_trans,-0.026333768287440763,-0.0018585848439358296,0.006782519428089211,NA,NA,NA
Abyssomedon__cmm_z_trans,-0.46146766053512694,-0.004858623410434508,0.012563456353363258,NA,NA,NA
Abyssomedon__wmmcmm_z_trans,-0.16194085816387088,-0.0027226818702538137,0.01042526913173262,NA,NA,NA
Abyssomedon__wetmon_z_trans,-0.17726994082331657,-0.005787795920113535,0.022529023477535735,NA,NA,NA
Abyssomedon__drymon_z_trans,-0.17612827627919614,-0.0067601293218282526,0.0186345448858935,NA,NA,NA
Abyssomedon__wetdry_z_trans,-0.04554828310851008,-0.004814024255656156,0.016071793149347438,NA,NA,NA
Abyssomedon__208-217,0.03986798737567824,-0.0002442816602078177,0.0029932069437344482,NA,NA,NA
Abyssomedon__217-227,0.0890506117977202,2.860521399391087e-05,0.002949653352941994,NA,NA,NA
Abyssomedon__227-237,0.08864336542901582,-0.00017458418292079394,0.003165439880585572,NA,NA,NA
Abyssomedon__237-242,0.11976075118174777,7.89772887748089e-06,0.0037933457896034135,NA,NA,NA
