feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.13081442901864648,0.05859954282641411,0.20411869883537292,NA,NA,NA
Abyssomedon__lat_range_z_trans,0.16586877362304253,0.0005307161404419488,0.006799325125259142,0.4462501694652747,0.08269617706537247,2.776374774053693
Abyssomedon__Temperate_N,0.19042675026398478,0.00023904218857846338,0.008350639110832786,NA,NA,NA
Abyssomedon__Tropical,-0.4451536019450895,-0.006580338197060133,-0.00011717480524678996,NA,NA,NA
Abyssomedon__Temperate_S,0.24138770504280474,0.0007929224685872527,0.00942662465483187,NA,NA,NA
Abyssomedon__Antarctic,0.04627499306980651,-0.0003018082383376532,0.0024868951779406026,NA,NA,NA
Abyssomedon__mat_z_trans,0.0820591577744417,-0.005151891484495848,0.020859478849391357,NA,NA,NA
Abyssomedon__map_z_trans,0.08956358250817115,-0.007333687022704121,0.030859644468317005,NA,NA,NA
Abyssomedon__wmm_z_trans,-0.15128274633800817,-0.004581826827551658,0.00665713547394843,NA,NA,NA
Abyssomedon__cmm_z_trans,-0.15265359593856342,-0.005485464805154259,0.013897001802479315,NA,NA,NA
Abyssomedon__wmmcmm_z_trans,-0.02764093753970084,-0.0032208793835421692,0.009369902621525636,NA,NA,NA
Abyssomedon__wetmon_z_trans,-0.15031578022383513,-0.006476901420388218,0.023997984252752565,NA,NA,NA
Abyssomedon__drymon_z_trans,0.2334818752518431,-0.0032458730266755388,0.02408875789673325,NA,NA,NA
Abyssomedon__wetdry_z_trans,-0.019200661469151552,-0.005492267827232274,0.013047677625137526,NA,NA,NA
Abyssomedon__208-217,0.05046421134260116,-0.00017461737674286874,0.0029750238519553403,NA,NA,NA
Abyssomedon__217-227,0.053968045082848685,-9.04963054076113e-05,0.0026679092527613895,NA,NA,NA
Abyssomedon__227-237,0.05705377636454898,-0.00038887313573505745,0.0036184369724789364,NA,NA,NA
Abyssomedon__237-242,0.05503428687635894,-9.573192292442165e-06,0.0032168183803032583,NA,NA,NA
Abyssomedon__242-246.7,0.06743542858846774,-0.00028816839149708014,0.0033255741845013703,NA,NA,NA
Abyssomedon__246.7-252,-0.0781696000159167,-0.0016985171804759227,0.0013054034686880425,NA,NA,NA
Abyssomedon__252-259.5,0.03139959926521431,-0.00034473879975104054,0.0024505885646712564,NA,NA,NA
Abyssomedon__259.5-264.3,0.05621107516587007,-0.00020228193773089175,0.003019792910383832,NA,NA,NA
Abyssomedon__264.3-274.4,0.05835732575174776,-0.0001652918398678968,0.0029514987687288417,NA,NA,NA
Abyssomedon__274.4-283.5,0.04774302261017084,-0.00020955746682741068,0.002849271854549111,NA,NA,NA
Abyssomedon__283.5-290.1,-0.37149825609301124,-0.008719169764551676,0.006014488372448863,NA,NA,NA
Acadiella__lat_range_z_trans,0.03834580793812262,0.0008369756568046136,0.008959155195570053,1.3501437019128935,0.17562451865524054,4.480095422361046
Acadiella__Temperate_N,0.04817023179974886,1.3603739603611738e-05,0.013578699858649637,NA,NA,NA
Acadiella__Tropical,-0.08055289999920841,-0.009133200446499134,0.010215632090751103,NA,NA,NA
Acadiella__Temperate_S,0.05925568742876091,0.0009569869353582651,0.0166301268951016,NA,NA,NA
Acadiella__Antarctic,0.006785097569734615,-0.00040421205620575293,0.0028841304554130262,NA,NA,NA
Acadiella__mat_z_trans,0.00850722252233823,-0.005082589118165897,0.017701161004671704,NA,NA,NA
Acadiella__map_z_trans,-0.0068971837386986165,-0.0049206866699241705,0.011523953686689554,NA,NA,NA
Acadiella__wmm_z_trans,-0.013188990967778442,-0.004061959420812543,0.00747184063973471,NA,NA,NA
Acadiella__cmm_z_trans,-0.011630301794219361,-0.0074038649830568916,0.019603522480782353,NA,NA,NA
Acadiella__wmmcmm_z_trans,-0.0026218228409712065,-0.00470822155498934,0.011602409193798601,NA,NA,NA
Acadiella__wetmon_z_trans,0.01759877614950013,-0.004894889438547323,0.01557360527473374,NA,NA,NA
Acadiella__drymon_z_trans,0.017575328569448646,-0.0024147857112564444,0.011850599097428336,NA,NA,NA
Acadiella__wetdry_z_trans,0.013826201060541849,-0.006223050278646536,0.016651727328368005,NA,NA,NA
Acadiella__208-217,0.008960775288801558,-3.1042291762438535e-05,0.002795912500238563,NA,NA,NA
Acadiella__217-227,0.009083393207222906,-0.00022678929417640475,0.0031552272824291712,NA,NA,NA
Acadiella__227-237,-0.01735074632397747,-0.005029571442523463,0.008606876240207841,NA,NA,NA
Acadiella__237-242,0.006645495994378421,-0.0006232282856364193,0.0032498309972522573,NA,NA,NA
Acadiella__242-246.7,0.01136693511575711,-0.0006822077870891153,0.004743311657654753,NA,NA,NA
Acadiella__246.7-252,-0.022002849143855082,-0.0030140180817353444,0.0022929066855851116,NA,NA,NA
Acadiella__252-259.5,0.0031082573344517863,-0.0006286104334421571,0.0025345725282186296,NA,NA,NA
Acadiella__259.5-264.3,0.00982324112899648,-0.00018628742956297995,0.003268039742507187,NA,NA,NA
Acadiella__264.3-274.4,0.010370954677128692,-0.0002360230160227572,0.0035785041498079596,NA,NA,NA
Acadiella__274.4-283.5,0.006920711581388827,-0.00033265138277198414,0.0026938300891982806,NA,NA,NA
Acadiella__283.5-290.1,0.008715106461033439,-0.00016922003535349938,0.0029531237605807522,NA,NA,NA
Acaenasuchus__lat_range_z_trans,0.10490338692859477,0.0008700704257767912,0.009272308731625593,0.6053499791254581,0.07338002324104309,1.5679950378835201
Acaenasuchus__Temperate_N,0.11845666664799183,-8.355811293974862e-06,0.013392658870992868,NA,NA,NA
Acaenasuchus__Tropical,-0.21463408279128246,-0.0077577509918876604,0.0031899407882202088,NA,NA,NA
Acaenasuchus__Temperate_S,0.15835715396928457,0.0007006103348389484,0.016128203832208192,NA,NA,NA
Acaenasuchus__Antarctic,0.02553242654249217,5.828505532391568e-05,0.0029256149217460497,NA,NA,NA
Acaenasuchus__mat_z_trans,-0.0010854698895524468,-0.007225165127516424,0.018366121228929572,NA,NA,NA
Acaenasuchus__map_z_trans,-0.04353237530088738,-0.005163476327740689,0.011506683922094878,NA,NA,NA
Acaenasuchus__wmm_z_trans,-0.07766050044232077,-0.005719127093120969,0.0075046405461192825,NA,NA,NA
Acaenasuchus__cmm_z_trans,-0.16220238094827502,-0.009150722779705236,0.015052510391870598,NA,NA,NA
Acaenasuchus__wmmcmm_z_trans,-0.036303870521330064,-0.004228941561402505,0.0093164802629964,NA,NA,NA
Acaenasuchus__wetmon_z_trans,0.03750046998612716,-0.004618232297710857,0.02069106524560101,NA,NA,NA
Acaenasuchus__drymon_z_trans,0.0312839830354502,-0.002190264434031203,0.009396897852561429,NA,NA,NA
Acaenasuchus__wetdry_z_trans,0.006407364886649175,-0.005611129823630581,0.01964937625392646,NA,NA,NA
Acaenasuchus__208-217,0.02959653059979496,8.451627753057899e-05,0.003399480389120245,NA,NA,NA
Acaenasuchus__217-227,0.007118188094125833,-0.002478479171302939,0.004246206945954238,NA,NA,NA
Acaenasuchus__227-237,0.0109734237658002,-0.0033431834398819494,0.009044775003318453,NA,NA,NA
Acaenasuchus__237-242,0.029087104598759517,-1.1123733286746497e-05,0.004219943607530534,NA,NA,NA
Acaenasuchus__242-246.7,0.03484668873361329,-0.00026692888210309737,0.005694899214673339,NA,NA,NA
Acaenasuchus__246.7-252,-0.06346530041325371,-0.002737914924619928,0.002844879496571855,NA,NA,NA
Acaenasuchus__252-259.5,0.013435277497847505,-0.0003256649402513757,0.0034893425415183183,NA,NA,NA
Acaenasuchus__259.5-264.3,0.03277868426442997,0.00016200599128893492,0.0039385161740512304,NA,NA,NA
Acaenasuchus__264.3-274.4,0.03390688134317862,0.00012907714508976335,0.003953663189189464,NA,NA,NA
Acaenasuchus__274.4-283.5,0.025253838557441233,3.4631868149253604e-05,0.0032481882013004693,NA,NA,NA
Acaenasuchus__283.5-290.1,0.030260339873967364,0.0001977214150738412,0.003646301223252218,NA,NA,NA
Acallosuchus__lat_range_z_trans,0.2790096801519394,0.0008582304481233069,0.009302166036537506,0.31629597179740815,0.08208982832729816,1.188911817735061
Acallosuchus__Temperate_N,0.31367014683783057,-0.00018049616553301502,0.012141649935622487,NA,NA,NA
Acallosuchus__Tropical,-0.5112215614665183,-0.006321645555297098,-0.001082938397825523,NA,NA,NA
Acallosuchus__Temperate_S,0.4241202895483002,0.0008880442412830385,0.014872063394850433,NA,NA,NA
Acallosuchus__Antarctic,0.06974631968419999,3.5226932045598806e-05,0.002961751680226954,NA,NA,NA
Acallosuchus__mat_z_trans,-0.00798435996286571,-0.008278831393154924,0.02362295553191997,NA,NA,NA
Acallosuchus__map_z_trans,-0.12195108310319483,-0.005426477633290667,0.010739587725419983,NA,NA,NA
Acallosuchus__wmm_z_trans,-0.3294437522697262,-0.006259244790094622,0.010546348641739818,NA,NA,NA
Acallosuchus__cmm_z_trans,-0.5370341718941927,-0.010695536429431671,0.019638646981962604,NA,NA,NA
Acallosuchus__wmmcmm_z_trans,-0.10236346486490219,-0.00332744575049815,0.010451035064081467,NA,NA,NA
Acallosuchus__wetmon_z_trans,0.06822097159922123,-0.004283176089531961,0.020026054776498096,NA,NA,NA
Acallosuchus__drymon_z_trans,0.09047877316712402,-0.0015733924932945034,0.00965150647055438,NA,NA,NA
Acallosuchus__wetdry_z_trans,0.01791301085439045,-0.005991862332136367,0.017156400363287274,NA,NA,NA
Acallosuchus__208-217,0.030916975112631917,-0.0020752785064342893,0.005708254792634689,NA,NA,NA
Acallosuchus__217-227,-0.024489953955635427,-0.002832531826116821,0.004559385765090729,NA,NA,NA
Acallosuchus__227-237,0.0937965824152343,-0.00033072145836813064,0.00586611632847397,NA,NA,NA
Acallosuchus__237-242,0.07973970947088674,-3.7382663155887336e-05,0.00377289438269844,NA,NA,NA
Acallosuchus__242-246.7,0.09243439509067684,-0.0003068269889505536,0.005444585235094647,NA,NA,NA
Acallosuchus__246.7-252,-0.17943089630804024,-0.0025103490766966827,0.002020787820046663,NA,NA,NA
Acallosuchus__252-259.5,0.0364436324275448,-0.00039323485746063755,0.0027212094025044135,NA,NA,NA
Acallosuchus__259.5-264.3,0.08856469118967653,0.00010864083005646974,0.0032987156736313233,NA,NA,NA
Acallosuchus__264.3-274.4,0.09064899863024038,0.00012027556433081852,0.003762509288233269,NA,NA,NA
Acallosuchus__274.4-283.5,0.06826346615489456,7.621921577671351e-05,0.003634445044885836,NA,NA,NA
Acallosuchus__283.5-290.1,0.08254998997086659,0.0001382539514159269,0.003302566897203498,NA,NA,NA
Acerosodontosaurus__lat_range_z_trans,0.050263067997696566,0.0006607030462041727,0.005992727184600146,1.0696108185452613,0.046669771894812584,2.2382798744365573
Acerosodontosaurus__Temperate_N,0.06434156715209169,0.0003909214207135429,0.00874459001233488,NA,NA,NA
Acerosodontosaurus__Tropical,0.04744536924903067,0.0003692117089762032,0.007840178948110005,NA,NA,NA
Acerosodontosaurus__Temperate_S,-0.10676883716922943,-0.005124116660888,0.002390035220781565,NA,NA,NA
Acerosodontosaurus__Antarctic,0.007027166225692768,-0.0002982882718475765,0.002083501397944674,NA,NA,NA
Acerosodontosaurus__mat_z_trans,-0.00795945763143156,-0.004900816109196125,0.011894404279738998,NA,NA,NA
Acerosodontosaurus__map_z_trans,0.02229397753248838,-0.0022833505670494443,0.02113588330030734,NA,NA,NA
Acerosodontosaurus__wmm_z_trans,-0.07432830230285244,-0.007739365721102569,0.008487781079648486,NA,NA,NA
Acerosodontosaurus__cmm_z_trans,0.07030033312345071,-0.005984943985460825,0.02633104518947723,NA,NA,NA
Acerosodontosaurus__wmmcmm_z_trans,0.016813571182399626,-0.007624098108050622,0.030793742113688703,NA,NA,NA
Acerosodontosaurus__wetmon_z_trans,-0.018645797055374683,-0.004557243822081867,0.011752552528541162,NA,NA,NA
Acerosodontosaurus__drymon_z_trans,-0.04604106089200021,-0.005656617101645938,0.00987671318353813,NA,NA,NA
Acerosodontosaurus__wetdry_z_trans,-0.009206039929089742,-0.006781500808748044,0.015546846944235627,NA,NA,NA
Acerosodontosaurus__208-217,0.009009022704003045,-0.0002030068370845194,0.0024688011350065702,NA,NA,NA
Acerosodontosaurus__217-227,0.00887385717899894,-0.00019588894183301757,0.0022721187350741652,NA,NA,NA
Acerosodontosaurus__227-237,0.011977498684262003,-0.0005083002921641006,0.0031954872682574934,NA,NA,NA
Acerosodontosaurus__237-242,0.009923958987325735,-0.00021529889142976358,0.002281624643313033,NA,NA,NA
Acerosodontosaurus__242-246.7,0.012450788081481727,-0.00034681242447152444,0.003422147323591703,NA,NA,NA
Acerosodontosaurus__246.7-252,-0.02441035682713353,-0.0017995371019595891,0.0013451374550906582,NA,NA,NA
Acerosodontosaurus__252-259.5,0.04845950716048735,-0.004974571623026766,0.017223693665326063,NA,NA,NA
Acerosodontosaurus__259.5-264.3,0.010858818897874635,-0.00020591756350000508,0.0023567529090317003,NA,NA,NA
Acerosodontosaurus__264.3-274.4,0.011344723774043964,-0.0001419142431505357,0.0025093409308698145,NA,NA,NA
Acerosodontosaurus__274.4-283.5,0.007338827739734765,-0.00027173341348837757,0.0021081484523498575,NA,NA,NA
