feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-40.0,-40.0,-25.249414094285697,0.4628632029891014,0.346083402633667,0.6163973212242126,-1127.9684279913968,-1627.2295009459508,-719.5725659118705,5.0
Temperate_N,none,0_1,none,0.73,-1.9962859531852075,-14.706461666545565,3.452850350288189,0.4749757218360901,0.22658628225326538,0.7579609155654907,-620.087967824705,-944.72043627104,-314.0159463553547,6.0
Tropical,none,0_1,none,0.8,-3.22802791114899,-14.474505293121416,4.715641027743616,0.4013035905361175,0.1909591555595398,0.6544711589813232,-822.2480032843002,-1432.795108558431,-302.86425446771557,11.0
Temperate_S,none,0_1,none,1.0,-10.00061982305988,-40.0,-2.1838913303112037,0.5923094575107097,0.28784608840942383,0.9160903692245483,-928.5080179095756,-1619.7644576694934,-397.0178878106159,1.0
Antarctic,none,0_1,none,0.71,-2.1262968071389894,-40.0,2.5741115473180587,0.07158168580383062,0.04627609625458717,0.09637241810560226,-18.097441342029157,-59.12571812915178,4.016346069394103,24.0
mat_z_trans,none,none,none,0.52,-1.15608557594396,-40.0,14.997291645171458,0.5317494464665651,0.16966013610363007,0.9875599145889282,-1185.0940405368585,-2226.203575741611,-325.34702423430906,3.0
map_z_trans,none,none,none,0.43,1.2957026675234373,-8.138199597701636,14.905966334570511,0.40260430969297883,0.12987342476844788,0.724303126335144,-1175.5107299525018,-2506.769851958658,-328.5782230364865,7.0
wmm_z_trans,none,none,none,0.76,-9.036580654265764,-40.0,7.993600976323742,0.48124602407217026,0.13582153618335724,0.9310213923454285,-1175.9120454783108,-2572.021024194103,-269.60024189753676,4.0
cmm_z_trans,none,none,none,0.64,-4.657962195305057,-40.0,37.822742694139926,0.5660903677344322,0.14083346724510193,1.0951917171478271,-1443.2464479625467,-3340.988104843329,-237.32689372030745,2.0
wmmcmm_z_trans,none,none,none,0.49,1.0304625059921981,-9.2820514059494,12.662350336952974,0.3906695231795311,0.12611573934555054,0.7263833284378052,-908.04894922616,-2136.156970853077,-172.99889513814264,12.0
wetmon_z_trans,none,none,none,0.51,-1.0531783144551548,-40.0,39.99999999999999,0.3967643190920353,0.12256352603435516,0.7761756777763367,-1128.8948615617437,-2598.6048318054227,-251.06284533602275,8.0
drymon_z_trans,none,none,none,0.86,-15.788709215434272,-40.0,5.656732933546747,0.30329562433063983,0.09594759345054626,0.5965393781661987,-972.6492579931607,-2234.482036323394,-343.03820033521606,10.0
wetdry_z_trans,none,none,none,0.49,1.042655486286589,-40.0,12.384878162794468,0.43217687800526616,0.14769475162029266,0.9167478680610657,-1069.2439435644503,-2567.979634752218,-302.08559251098245,9.0
208-217,none,0_1,none,0.99,-7.167329172167689,-40.0,-2.071236977387418,0.08359021496027708,0.0544062964618206,0.11171261221170425,-81.0194386406611,-147.83603034674593,-14.149987094737412,21.0
217-227,none,0_1,none,0.94,-5.830313480050318,-40.0,1.0472294519484078,0.08589824501425028,0.05438978597521782,0.11960940062999725,-73.9945115801226,-145.30661498451252,-13.052542110774425,22.0
227-237,none,0_1,none,0.64,-1.4240202784119504,-23.865450992804824,8.128405586997177,0.15106963314116,0.06707420945167542,0.2846280038356781,-176.6424573512932,-370.19294368763576,-47.43033214982211,15.0
237-242,none,0_1,none,0.86,-4.012047545693951,-40.0,1.3542329477688233,0.10499493449926377,0.05252863094210625,0.2013895958662033,-118.09451036624166,-260.5978811124073,-20.434373492951067,18.0
242-246.7,none,0_1,none,0.94,-5.622447161022055,-40.0,1.1348947011297326,0.16647144094109534,0.06996728479862213,0.3556522727012634,-177.56792098879023,-426.38590758979103,-17.468601016400612,14.0
246.7-252,none,0_1,none,0.74,2.3067146349787464,-5.080937442664301,13.523239741790926,0.362250145599246,0.10476379841566086,0.6904546022415161,-196.9569258516869,-384.82140095249395,-35.43608929008053,13.0
252-259.5,none,0_1,none,0.63,-1.4999516043367294,-27.409370905831477,6.665741111057018,0.09975169990211726,0.052937474101781845,0.17173215746879578,-143.32619768377637,-349.51238786290423,-20.090843884176707,19.0
259.5-264.3,none,0_1,none,0.98,-24.15740230553394,-40.0,-1.7192685823453917,0.09903765670955181,0.053132105618715286,0.15084385871887207,-129.38896269418325,-290.7210493147927,-14.937240357274277,16.0
264.3-274.4,none,0_1,none,0.96,-8.945621156676378,-40.0,-1.1704874588330507,0.10397841531783342,0.05682971701025963,0.18628911674022675,-124.02783905835645,-250.56653100900814,-21.953676930790493,17.0
274.4-283.5,none,0_1,none,0.88,-7.543068788791911,-40.0,1.5403667247083321,0.07597211707383394,0.05031938850879669,0.10069210827350616,-120.74116697283934,-299.426671299242,-14.36540606741778,23.0
283.5-290.1,none,0_1,none,0.94,-9.085689884572488,-40.0,1.193117834216298,0.0872281101718545,0.049789849668741226,0.11945748329162598,-105.38015931768753,-223.07659876122693,-14.383214756796747,20.0
