feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.17724425930529833,0.0509982667863369,0.260656476020813,NA,NA,NA
Abajudon__lat_range_z_trans,0.035371052960835016,0.0002667922811879932,0.00839428376606629,1.5446574431978388,0.30743892677128315,4.217407325282693
Abajudon__Temperate_N,0.047308101224397714,-1.1093933175658171e-05,0.01115975131543307,NA,NA,NA
Abajudon__Tropical,0.017667110079242303,-3.243401265029442e-05,0.004694056312506787,NA,NA,NA
Abajudon__Temperate_S,-0.05820742590493493,-0.004146517092540419,0.00279519905169099,NA,NA,NA
Abajudon__Antarctic,-0.00046491972447064797,-0.00046747950670707406,0.0016131780931058915,NA,NA,NA
Abajudon__mat_z_trans,0.026604215181601002,-0.0018139140096527805,0.016435696727856206,NA,NA,NA
Abajudon__map_z_trans,-0.02677921576315706,-0.006442392452569505,0.02338440583133396,NA,NA,NA
Abajudon__wmm_z_trans,0.01473175555287322,-0.005649907456328729,0.02284452770410062,NA,NA,NA
Abajudon__cmm_z_trans,0.011715693095324362,-0.003993481123284238,0.016963387329705978,NA,NA,NA
Abajudon__wmmcmm_z_trans,0.01899828512960742,-0.0052100394523598974,0.025050166817941647,NA,NA,NA
Abajudon__wetmon_z_trans,0.029810469088939067,-0.0029584464074607136,0.02633686756866125,NA,NA,NA
Abajudon__drymon_z_trans,0.04704173487876457,-0.00599534246358204,0.04183720193382036,NA,NA,NA
Abajudon__wetdry_z_trans,0.022416513555027592,-0.002758550922910015,0.016883642139187877,NA,NA,NA
Abajudon__208-217,0.00024137411504716636,-0.00034593866486740083,0.001897043098887833,NA,NA,NA
Abajudon__217-227,0.0007484866008160146,-0.00037137042012162216,0.0016374530989833143,NA,NA,NA
Abajudon__227-237,0.002386894073193978,-0.0003215978340324885,0.002032701342343975,NA,NA,NA
Abajudon__237-242,4.8750034550263494e-05,-0.0003888013542754391,0.0015521587008350704,NA,NA,NA
Abajudon__242-246.7,0.008202896697998967,-0.00034967465084388726,0.0032868905687382572,NA,NA,NA
Abajudon__246.7-252,-0.01591264354440087,-0.001185677909683221,0.0013948278226754746,NA,NA,NA
Abajudon__252-259.5,0.003603752319761734,-0.0008938070738659761,0.003932830727567086,NA,NA,NA
Abajudon__259.5-264.3,0.012383811099329118,-0.0018190330083375113,0.010465565001100878,NA,NA,NA
Abajudon__264.3-274.4,-0.02021704471084257,-0.005317218623291449,0.01273156905601402,NA,NA,NA
Abajudon__274.4-283.5,-0.00034443980821001816,-0.0004100709193973344,0.0016456757162266243,NA,NA,NA
Abajudon__283.5-290.1,-0.00011094692599508189,-0.0003822697755871983,0.0016873962960295271,NA,NA,NA
Abdalodon__lat_range_z_trans,0.08761486696966987,0.0008296005849208239,0.011853230783842627,1.061803449496656,0.350753216072917,3.0030916078248993
Abdalodon__Temperate_N,0.09822248325304045,0.00048497786941909937,0.015071704929359267,NA,NA,NA
Abdalodon__Tropical,0.043412707923857444,0.00012019277423409519,0.007344506232501435,NA,NA,NA
Abdalodon__Temperate_S,-0.16794778691436849,-0.005946494661640663,-0.0036933688836811836,NA,NA,NA
Abdalodon__Antarctic,0.013074954273435968,-0.00017946966754982369,0.003290860935189039,NA,NA,NA
Abdalodon__mat_z_trans,0.030112118039335882,-0.0021877010802561045,0.01884225535849665,NA,NA,NA
Abdalodon__map_z_trans,0.02107637385022426,-0.001184685546334757,0.012934161074968399,NA,NA,NA
Abdalodon__wmm_z_trans,-0.03049528142783292,-0.00789264105246542,0.02846997324155719,NA,NA,NA
Abdalodon__cmm_z_trans,-0.013063411960230812,-0.00766192475786834,0.03053537282683278,NA,NA,NA
Abdalodon__wmmcmm_z_trans,-0.04031915102187077,-0.009293543189391176,0.03531625145998491,NA,NA,NA
Abdalodon__wetmon_z_trans,-0.014834407321589782,-0.0040514886065787644,0.01200153894484557,NA,NA,NA
Abdalodon__drymon_z_trans,-0.018243131308605876,-0.002359702770485491,0.006639123998858307,NA,NA,NA
Abdalodon__wetdry_z_trans,0.00979392550117285,-0.0024662483580846495,0.013216120449458019,NA,NA,NA
Abdalodon__208-217,0.014741828647337434,-0.00015888323601606213,0.0034389893822406796,NA,NA,NA
Abdalodon__217-227,0.01553526424730769,-0.00024251251113023114,0.003166776535833206,NA,NA,NA
Abdalodon__227-237,0.01739266162130537,-0.00011036893136749926,0.0039042035081668074,NA,NA,NA
Abdalodon__237-242,0.01212833191434087,-0.0001428698405291757,0.0028790526342550925,NA,NA,NA
Abdalodon__242-246.7,0.028177035620887893,-0.00018556179570434442,0.00724750982475707,NA,NA,NA
Abdalodon__246.7-252,-0.02059198065689964,-0.0012563506643706,0.0031345321840687943,NA,NA,NA
Abdalodon__252-259.5,-0.010764977303792765,-0.0049232958166592015,0.016733238140099044,NA,NA,NA
Abdalodon__259.5-264.3,0.05229790653719072,-0.0009878126114519126,0.014973118457346803,NA,NA,NA
Abdalodon__264.3-274.4,0.023635306058681808,-0.0007228277288377753,0.0075439165841277005,NA,NA,NA
