feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-22.293494813690135,-40.0,-9.545712236386803,0.46549102187156677,0.3107527792453766,0.7379289269447327,-829.7735679323798,-1201.5326433142066,-526.0463585920129,2.0
Temperate_N,none,0_1,none,0.98,-5.390991604688615,-17.344310175615114,1.3028941372714953,0.4856951269507408,0.28647252917289734,0.8030793070793152,-568.3692132514462,-900.0340522683894,-255.9668638424955,3.0
Tropical,none,0_1,none,0.97,-5.409170811646929,-23.505354406019745,2.3965616628284714,0.2082140662521124,0.05215148627758026,0.3493220806121826,-357.3569175832213,-701.6060220744412,-61.57157839947308,12.0
Temperate_S,none,0_1,none,0.99,-5.002122419916688,-20.72895557399512,1.546539629489055,0.7174545282125473,0.31167659163475037,1.122902274131775,-1060.71313366481,-1778.9298596790416,-461.1598799570519,1.0
Antarctic,none,0_1,none,0.65,-1.5967045436599205,-11.380706736578226,5.211675323511284,0.058204192277044056,0.03365698829293251,0.09294701367616653,-29.867526361116983,-92.85037219049502,4.197550203215428,24.0
mat_z_trans,none,none,none,0.6,-2.184896670080856,-40.0,6.102657052917345,0.45236143298447135,0.1478935331106186,0.9690924286842346,-1058.7840551718984,-2459.7594272920173,-247.59303521897027,5.0
map_z_trans,none,none,none,0.62,-2.4054525545692624,-40.0,13.103458333771089,0.3938997713476419,0.0865294486284256,0.7563140988349915,-1049.097621142328,-1995.0957887105974,-182.46977036094142,6.0
wmm_z_trans,none,none,none,0.55,-1.5195976067652304,-26.15039003444873,20.95343671828555,0.443834690451622,0.10796134918928146,0.8032518029212952,-790.6826597871112,-1735.2756459051452,-203.95195503298646,8.0
cmm_z_trans,none,none,none,0.49,1.051010373879337,-23.767901295667116,7.936537997564842,0.4578494032472372,0.11932956427335739,0.9380869269371033,-1006.130178206412,-2141.384359405777,-86.6254250716097,7.0
wmmcmm_z_trans,none,none,none,0.4,1.1212919642045005,-8.586433969612928,6.019668681424885,0.41354734390974046,0.10715463012456894,0.7471778392791748,-858.8526390057742,-1790.4033031986048,-78.012414940187,11.0
wetmon_z_trans,none,none,none,0.64,-1.8122649563464188,-27.710359791221897,11.96276533910597,0.4455823890119791,0.07736921310424805,0.9904876351356506,-1129.0561862391028,-2547.021409361055,-234.40652622141613,4.0
drymon_z_trans,none,none,none,0.55,-1.589343965292894,-40.0,18.098704988447214,0.3215533784031868,0.059757061302661896,0.592896580696106,-938.5509350108202,-1944.762230026316,-116.22767526816313,10.0
wetdry_z_trans,none,none,none,0.43,1.1780010112044936,-10.701415067406286,8.512408177525822,0.37102207243442537,0.08614694327116013,0.7316890954971313,-972.1103493323582,-1974.0453492355205,-238.83982158909384,9.0
208-217,none,0_1,none,0.93,-5.723835654892309,-32.354858128493404,2.7913810034446604,0.07566521923989057,0.04435773566365242,0.12350114434957504,-161.05953955495744,-330.0057982874266,-19.88152668688815,15.0
217-227,none,0_1,none,0.99,-6.091454673077626,-40.0,-1.9038892157114975,0.07689180839806795,0.03900618478655815,0.12389650195837021,-213.1367169610364,-411.60547213536984,-4.7072584814868605,14.0
227-237,none,0_1,none,0.61,-1.3665446306953573,-12.36455041251054,4.310017658773443,0.0844015397503972,0.043028417974710464,0.1602022796869278,-120.85404053094818,-347.59547265658057,-13.483990391802877,19.0
237-242,none,0_1,none,0.83,-2.9606940432727096,-14.40136688509875,2.2603786438062903,0.08199314663186669,0.04147431254386902,0.16111651062965393,-67.1072210900534,-190.87970219558565,-3.715441744816758,21.0
242-246.7,none,0_1,none,0.99,-4.678768610754119,-29.686892294324313,-1.104152052928406,0.17704923130571842,0.05594504997134209,0.3289293944835663,-138.49017959507404,-317.07544614141955,-10.46699004804691,17.0
246.7-252,none,0_1,none,0.88,-3.1733618960136596,-15.646953344485768,2.5800837811856767,0.08417398009449244,0.03596881031990051,0.14250576496124268,-47.270933367581534,-110.65404969450526,-2.1358784429178286,20.0
252-259.5,none,0_1,none,0.84,-2.079196059031238,-13.860710258154299,2.024787157443036,0.22167554788291455,0.0635872334241867,0.5062573552131653,-147.0365919178349,-461.7894262770536,-10.535141504380135,16.0
259.5-264.3,none,0_1,none,0.8,-2.2598498024693336,-16.383214467769893,4.962072717888516,0.2048501755669713,0.04836144670844078,0.45165953040122986,-223.13850134060084,-704.3985059429525,-3.76265124839324,13.0
264.3-274.4,none,0_1,none,0.77,-3.013569890937095,-16.84374539549282,4.52888979817149,0.12590922426432372,0.0421174131333828,0.2426702231168747,-148.80811810630956,-362.2517325555539,-8.541289421588772,18.0
274.4-283.5,none,0_1,none,0.59,-1.2041888795670057,-7.878779322500688,5.1318091210984615,0.06012953031808138,0.03804554045200348,0.10515548288822174,-68.4168656104946,-190.39684708757,-1.6602867264074348,23.0
283.5-290.1,none,0_1,none,0.52,-1.0243217717713762,-6.228863445721696,4.936100616613196,0.06548671655356884,0.042530618607997894,0.1132759228348732,-84.27895678020028,-231.45284809765565,-2.2416894235987,22.0
