feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-40.0,-40.0,-13.611668596397495,0.4530880737304688,0.2990272045135498,0.6456172466278076,-936.6031986384695,-1332.6006917150548,-552.7510506085911,9.0
Temperate_N,none,0_1,none,0.9,-3.7578931476721666,-26.739711532103474,8.202900272428304,0.5362309460341931,0.2122551053762436,0.8776888847351074,-661.6206929498247,-1242.0568835369963,-159.74751343308503,4.0
Tropical,none,0_1,none,0.99,-12.691971909985527,-40.0,-2.821492926127221,0.2901082269847393,0.13062633574008942,0.47631943225860596,-464.9677175764933,-853.4867145935095,-102.36592751113437,12.0
Temperate_S,none,0_1,none,0.98,-9.563018709815038,-40.0,-1.7757842205667806,0.7769674882292747,0.33717724680900574,1.2387356758117676,-1178.711741354729,-2142.851102824684,-415.68427346304884,2.0
Antarctic,none,0_1,none,0.64,-1.3063575196074804,-24.644338726311616,4.603003997201804,0.0831320047751069,0.055171843618154526,0.12962749600410461,-47.780057863713914,-135.75019851710397,0.19679618126031073,23.0
mat_z_trans,none,none,none,0.71,-5.635754346295299,-40.0,11.98191542065666,0.6158656053245067,0.13222458958625793,1.213346242904663,-1281.7901654372458,-2908.707672084156,-280.08797106298664,1.0
map_z_trans,none,none,none,0.43,1.150656643606014,-10.122445485217154,17.968193085680518,0.4628157112002373,0.15094640851020813,0.8029372096061707,-1221.6176055536896,-2268.3331500950712,-284.96582298485487,9.0
wmm_z_trans,none,none,none,0.73,-5.157481572498419,-40.0,10.890131589580134,0.5878777575492858,0.1929277628660202,1.3174530267715454,-970.8788079195289,-2198.1132473961266,-186.96926934687144,3.0
cmm_z_trans,none,none,none,0.48,1.0543310944623743,-40.0,13.941036928972082,0.5695637239515782,0.19764111936092377,1.119696855545044,-1274.9216723507193,-3241.7513559895647,-247.0224711061005,5.0
wmmcmm_z_trans,none,none,none,0.57,-1.5334015195862252,-40.0,13.904074953079773,0.5336704128980636,0.18235410749912262,1.1197068691253662,-1061.4743120208414,-2325.106283725288,-196.5384666014645,6.0
wetmon_z_trans,none,none,none,0.4,1.5842120118473542,-6.671504311255087,40.0,0.5153514130413532,0.13148845732212067,1.0859383344650269,-1436.0449809934796,-2897.573090234092,-367.5430699227162,7.0
drymon_z_trans,none,none,none,0.51,-1.083033552293468,-40.0,28.615227542688945,0.48638952523469925,0.1450739949941635,0.9530377984046936,-1070.772906514923,-2342.517430147749,-297.4060446753649,8.0
wetdry_z_trans,none,none,none,0.83,-7.020129848406082,-40.0,10.186389357489224,0.3942448853701353,0.10401282459497452,0.8651005029678345,-1105.130996223499,-2357.5381416888845,-280.643417774043,11.0
208-217,none,0_1,none,0.75,-1.9282204785885826,-15.81225255679862,6.180250389376087,0.08360798195004464,0.047505516558885574,0.120159812271595,-83.01607267161712,-198.8088919511838,-2.49765306314373,20.0
217-227,none,0_1,none,0.88,-3.3826414069195594,-17.908823159394938,7.0344929409283665,0.07970167081803084,0.056748341768980026,0.1157246083021164,-73.56696239874958,-152.6172841157529,-10.860119452168306,22.0
227-237,none,0_1,none,0.78,-2.715289883957605,-40.0,2.5389222273005916,0.10583405919373036,0.05561088025569916,0.21027420461177826,-143.9641789968177,-350.54766084394214,-9.08438469138946,16.0
237-242,none,0_1,none,0.85,-4.204236939186217,-33.57870405256774,2.55068504100655,0.09400995150208473,0.05237242951989174,0.15392223000526428,-62.56722316921429,-144.70553472763618,-3.642892299845471,17.0
242-246.7,none,0_1,none,0.99,-9.492423352179756,-40.0,-1.6443928192141728,0.22829392287880182,0.06098764389753342,0.41208693385124207,-191.82064266045143,-389.9833454286463,-26.89908189935545,13.0
246.7-252,none,0_1,none,0.81,-2.5925199474020215,-40.0,1.663730705715241,0.11230873931199312,0.0558047853410244,0.20106101036071777,-60.676834468560585,-148.37828740170494,-4.728410790509088,18.0
252-259.5,none,0_1,none,0.99,-7.202151306191538,-40.0,-1.702257868204355,0.2621954049915075,0.07629673928022385,0.5714764595031738,-225.83614938322785,-587.4557050837396,-24.699633363365024,14.0
259.5-264.3,none,0_1,none,0.93,-10.097616953705355,-40.0,1.2350799343571857,0.4542960873991251,0.0995960384607315,0.9572837948799133,-566.8756352588769,-1434.4982322136393,-21.450316604887234,10.0
264.3-274.4,none,0_1,none,0.85,-4.5810239983696714,-40.0,2.1241403847459144,0.19931295312941075,0.07268786430358887,0.46633774042129517,-190.16281779787062,-512.0882925692915,-9.949792952731627,15.0
274.4-283.5,none,0_1,none,0.8,-2.9705116520977923,-22.1515011554287,4.4449204862904335,0.08494736094027758,0.043245844542980194,0.12431495636701584,-88.98351830474574,-237.06966959362046,-9.003173588638333,19.0
283.5-290.1,none,0_1,none,0.71,-2.757908152707247,-40.0,3.477232239449854,0.08385830450803042,0.05385569483041763,0.11976508796215057,-78.5460311179786,-205.88257567931487,-2.536365228481486,21.0
