feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.17053183931857346,0.04317484423518181,0.25548315048217773,NA,NA,NA
Abajudon__lat_range_z_trans,0.028404501395981743,0.00015483120689799862,0.00863657052931496,2.0639964259293264,0.3010961525142193,5.212671083165333
Abajudon__Temperate_N,0.04588696640680019,0.00028601145002731427,0.013024212147251118,NA,NA,NA
Abajudon__Tropical,0.018916942439728707,0.0001056487202297249,0.004789957218656659,NA,NA,NA
Abajudon__Temperate_S,-0.055227717561211614,-0.0027652017676127265,0.0011192429174543056,NA,NA,NA
Abajudon__Antarctic,0.0019117497112765796,-0.00031123962479009037,0.002386582656675485,NA,NA,NA
Abajudon__mat_z_trans,0.0015698070757525474,-0.004218189706506818,0.023736921025765894,NA,NA,NA
Abajudon__map_z_trans,0.007071148579316388,-0.0034045194749187197,0.01873223880721271,NA,NA,NA
Abajudon__wmm_z_trans,0.03427248640126641,-0.0028430445772458183,0.026347066888191304,NA,NA,NA
Abajudon__cmm_z_trans,-0.008290378806749595,-0.004437003629005319,0.019825245744258427,NA,NA,NA
Abajudon__wmmcmm_z_trans,0.008871187826919046,-0.003646045287168896,0.021561579228907578,NA,NA,NA
Abajudon__wetmon_z_trans,0.0040794494871239624,-0.003897761487909963,0.01277395130910301,NA,NA,NA
Abajudon__drymon_z_trans,0.017148521916928297,-0.004531354543942233,0.03197728676885418,NA,NA,NA
Abajudon__wetdry_z_trans,0.024210279897242636,-0.0014298144044577353,0.015355206692179666,NA,NA,NA
Abajudon__208-217,0.002025473033045838,-0.0002760081305071866,0.002387690543071564,NA,NA,NA
Abajudon__217-227,0.0031752819516225853,-0.0003225098953564097,0.0023872224248189583,NA,NA,NA
Abajudon__227-237,0.003677079016149864,-0.0003927232550241285,0.002778190321795258,NA,NA,NA
Abajudon__237-242,0.003841994700271734,-0.0002962003597121124,0.0025810216178714014,NA,NA,NA
Abajudon__242-246.7,0.013659336325342337,-2.7148089022683077e-05,0.004330162026284491,NA,NA,NA
Abajudon__246.7-252,0.0031354790551156907,-0.00041726674256584926,0.002477114845634714,NA,NA,NA
Abajudon__252-259.5,0.01608130883912492,-0.00016410182622098653,0.005833776272705901,NA,NA,NA
Abajudon__259.5-264.3,0.014875331097001858,-0.0035971767896117147,0.010857740495666535,NA,NA,NA
Abajudon__264.3-274.4,-0.024108913566522838,-0.00618487424708675,0.016541404627966782,NA,NA,NA
Abajudon__274.4-283.5,0.002421294319418699,-0.0002974107624992264,0.0026356932837968907,NA,NA,NA
Abajudon__283.5-290.1,0.0029232297776274575,-0.00026174101117148107,0.002407072088739929,NA,NA,NA
Abdalodon__lat_range_z_trans,0.09582263253208892,0.0005911352654448494,0.010079584163215891,0.7997566340093908,0.4450723007321358,1.0991952577605844
Abdalodon__Temperate_N,0.12327417495950158,0.0005136851220244704,0.015145498327358311,NA,NA,NA
Abdalodon__Tropical,0.05312689608547579,0.0002826631648989712,0.006829993444404384,NA,NA,NA
Abdalodon__Temperate_S,-0.19960016211428735,-0.005205319791095496,-0.001521441854144695,NA,NA,NA
Abdalodon__Antarctic,0.015105518413311049,-0.00018175388770500599,0.0025024363407192556,NA,NA,NA
Abdalodon__mat_z_trans,0.046343480426465286,-0.0017853078412711737,0.013850264328112497,NA,NA,NA
Abdalodon__map_z_trans,0.004476309666003288,-0.0015883293498187704,0.01029772044067254,NA,NA,NA
Abdalodon__wmm_z_trans,-0.13705437102304782,-0.008317289548965002,0.021969862720865325,NA,NA,NA
Abdalodon__cmm_z_trans,0.018564686616117484,-0.005840565186048269,0.03362771271188529,NA,NA,NA
Abdalodon__wmmcmm_z_trans,0.015659735375616015,-0.007570239520280668,0.05232212508461899,NA,NA,NA
Abdalodon__wetmon_z_trans,0.0021716018599615096,-0.002309142240470016,0.010168608293523838,NA,NA,NA
Abdalodon__drymon_z_trans,-0.017014613191747855,-0.002425078752033892,0.009082556923272032,NA,NA,NA
Abdalodon__wetdry_z_trans,-0.001764526626307926,-0.0011818374850832108,0.006899285086846378,NA,NA,NA
Abdalodon__208-217,0.015535385530814558,-8.401163636319409e-05,0.002937536984975427,NA,NA,NA
Abdalodon__217-227,0.019209341499043256,-5.9666913457955476e-05,0.002690547399903654,NA,NA,NA
Abdalodon__227-237,0.016697340673899087,-0.00012752131247043065,0.0040004008990145315,NA,NA,NA
Abdalodon__237-242,0.01788767397109117,-7.38413549811579e-05,0.0037438620107936352,NA,NA,NA
Abdalodon__242-246.7,0.043718954500689196,-6.412083058163831e-05,0.006319516236986532,NA,NA,NA
Abdalodon__246.7-252,0.020789904110195632,-0.0001628215356353089,0.004078929753500758,NA,NA,NA
Abdalodon__252-259.5,-0.12083645893458908,-0.006338993644185245,0.009894835357927519,NA,NA,NA
Abdalodon__259.5-264.3,0.07232562916023036,-0.0005971315298619335,0.01859108454224361,NA,NA,NA
Abdalodon__264.3-274.4,0.03228123675651194,-0.000460861844501896,0.006364978839216829,NA,NA,NA
Abdalodon__274.4-283.5,0.016444476312219,-0.00012955241178370195,0.002585699908247424,NA,NA,NA
Abdalodon__283.5-290.1,0.017366992759318394,-5.8941170956131904e-05,0.0030215525380177586,NA,NA,NA
Acratophorus__lat_range_z_trans,0.23313031547651464,0.0002981866255752398,0.0085909620026621,0.38466054464734045,0.09907956328243017,1.033025512471795
Acratophorus__Temperate_N,0.30152263836189536,0.00028407636384388663,0.01235852259826316,NA,NA,NA
Acratophorus__Tropical,0.14616206195372153,0.00015625443748040695,0.005852172451482942,NA,NA,NA
Acratophorus__Temperate_S,-0.4199094835250753,-0.0028505973461116353,-0.00046442581392907716,NA,NA,NA
Acratophorus__Antarctic,0.045186922892194906,-0.0001455112996733054,0.002850806600023352,NA,NA,NA
Acratophorus__mat_z_trans,-0.26991782794794944,-0.005492656169035743,0.01664032626966905,NA,NA,NA
Acratophorus__map_z_trans,-0.16629693119848832,-0.005307515630878028,0.02817234622034066,NA,NA,NA
Acratophorus__wmm_z_trans,-0.23696363991634903,-0.005950214782630229,0.01324639159760047,NA,NA,NA
Acratophorus__cmm_z_trans,-0.0368783039362909,-0.003761760389167243,0.019027696137059107,NA,NA,NA
Acratophorus__wmmcmm_z_trans,-0.0223040571438783,-0.00326545956034447,0.013107778594764042,NA,NA,NA
Acratophorus__wetmon_z_trans,-0.016947775875148757,-0.003808867288220725,0.02422771594215341,NA,NA,NA
Acratophorus__drymon_z_trans,-0.03072156921811307,-0.003076479164761016,0.020280421531181418,NA,NA,NA
Acratophorus__wetdry_z_trans,-0.1442312810687573,-0.0044414092058909,0.0118234047991212,NA,NA,NA
Acratophorus__208-217,0.04177209672902289,-5.768310561791619e-05,0.0029225058160741095,NA,NA,NA
Acratophorus__217-227,0.055428961044065396,-7.879158784201671e-05,0.003110853789112485,NA,NA,NA
Acratophorus__227-237,-0.002878780682705552,-0.0032462394565031137,0.025882621989381127,NA,NA,NA
Acratophorus__237-242,0.0005634953877554236,-0.0015580410672682962,0.005283905338688005,NA,NA,NA
Acratophorus__242-246.7,0.12091724126775422,-3.3790555868986806e-05,0.005995723779726935,NA,NA,NA
Acratophorus__246.7-252,0.04969041034458315,-0.000167764210620564,0.0034695528142460346,NA,NA,NA
Acratophorus__252-259.5,0.12101766825771726,-0.00017166149986962408,0.008878958386601615,NA,NA,NA
Acratophorus__259.5-264.3,0.2207146632580911,5.887373771761333e-07,0.01201971574625618,NA,NA,NA
Acratophorus__264.3-274.4,0.08339197360680423,-0.0003160287580354087,0.006129841745971758,NA,NA,NA
Acratophorus__274.4-283.5,0.04810964198288834,-9.003357297318377e-05,0.0029380192746743046,NA,NA,NA
Acratophorus__283.5-290.1,0.04997339926832095,-9.344574814611373e-05,0.0031373328710533645,NA,NA,NA
Adelobasileus__lat_range_z_trans,0.08174981265721529,0.00041658967665113137,0.00787482557582826,0.900768574133399,0.027705609798431396,3.426684867590666
Adelobasileus__Temperate_N,0.09691387715898403,0.00018375787877518649,0.009397782871373793,NA,NA,NA
Adelobasileus__Tropical,-0.2840358440409776,-0.00604403072819976,-0.0001435531075850333,NA,NA,NA
Adelobasileus__Temperate_S,0.22551136272480826,0.0010105428966589655,0.022176933853717787,NA,NA,NA
Adelobasileus__Antarctic,0.009593026714302356,-0.00017112365158309482,0.002397396058797204,NA,NA,NA
Adelobasileus__mat_z_trans,-0.12058955860445356,-0.005991662979173603,0.021195944008829612,NA,NA,NA
Adelobasileus__map_z_trans,0.026460249520673263,-0.0032714873014516297,0.022279416410739952,NA,NA,NA
Adelobasileus__wmm_z_trans,-0.1450083380573886,-0.006919858489828167,0.011926963248211441,NA,NA,NA
Adelobasileus__cmm_z_trans,-0.02631798271058878,-0.0032550454744651176,0.01814258174691759,NA,NA,NA
Adelobasileus__wmmcmm_z_trans,0.0017059348544623742,-0.0008569164741933396,0.005905684297336756,NA,NA,NA
Adelobasileus__wetmon_z_trans,0.03324422495365625,-0.004208716406644262,0.028936467545418273,NA,NA,NA
Adelobasileus__drymon_z_trans,-0.019940501008706382,-0.005118350389441307,0.020960369698809878,NA,NA,NA
Adelobasileus__wetdry_z_trans,0.041027749117402326,-0.002024374188494678,0.022155566699104706,NA,NA,NA
Adelobasileus__208-217,0.026019406566353615,-0.0017201552733855409,0.011741165635255605,NA,NA,NA
Adelobasileus__217-227,0.0016355052078346325,-0.003550751190831646,0.013870894335801973,NA,NA,NA
Adelobasileus__227-237,0.01235934056063334,-0.00023675244788716162,0.0029497637860091096,NA,NA,NA
Adelobasileus__237-242,0.011943014364475505,-0.00020167146175332915,0.0024692662411539036,NA,NA,NA
Adelobasileus__242-246.7,0.035344587439660916,-5.886500499721304e-05,0.003896561852551144,NA,NA,NA
