feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-22.851330925659255,-40.0,-8.631318091607943,0.4503980992734432,0.23357485234737396,0.6932358741760254,-824.0237529294149,-1208.2173923477092,-523.5431212335652,7.0
Temperate_N,none,0_1,none,0.97,-4.957787751693589,-26.94662856556848,1.8524363355380773,0.47423977419734004,0.17537634074687958,0.8868362903594971,-568.0796752830502,-1110.3739423264349,-173.85739179086363,3.0
Tropical,none,0_1,none,1.0,-5.3493717961026945,-23.493414939978802,-1.2247887760371796,0.21691686630249024,0.07663494348526001,0.3494224548339844,-339.8235137495189,-690.644463672752,-56.39439878322571,12.0
Temperate_S,none,0_1,none,0.96,-5.502419321494697,-28.788372130962227,1.5962124593259164,0.762663497030735,0.3178468346595764,1.2950410842895508,-1077.8584804493105,-2012.9893344225757,-406.0811867393902,1.0
Antarctic,none,0_1,none,0.64,-1.4376391065670824,-12.014942015068977,3.1563117345675114,0.061484210286289455,0.03676280379295349,0.09642196446657181,-30.746322400793773,-100.25141550081867,2.4040969014439497,24.0
mat_z_trans,none,none,none,0.54,-1.3226837115497663,-15.856007856026583,7.575760387641378,0.46373146496713163,0.1064247190952301,0.8409164547920227,-1183.7900127958724,-3121.7759484856097,-262.79461012774163,4.0
map_z_trans,none,none,none,0.7,-3.0044851711153857,-40.0,11.056138491934922,0.40682301193475723,0.08917029201984406,0.8612337708473206,-995.1474783239538,-2221.3142200892044,-206.44252190405507,6.0
wmm_z_trans,none,none,none,0.41,1.3882960880723019,-21.13728546727234,19.21311621650335,0.493428742736578,0.14582408964633942,1.0278887748718262,-970.0497292776734,-2304.685321473872,-200.5221486395069,8.0
cmm_z_trans,none,none,none,0.55,-1.2754258649786685,-14.011132610517912,12.82138381205935,0.5012197181582451,0.07369852811098099,0.9018226265907288,-1062.5618300105189,-2504.513285855958,-116.33261967708813,2.0
wmmcmm_z_trans,none,none,none,0.5,0.042903273419842125,-9.24908691308863,6.8297168263625885,0.47079017281532287,0.11946922540664673,0.9648311138153076,-991.348105311212,-2388.234204449914,-192.86528485240297,5.0
wetmon_z_trans,none,none,none,0.43,1.4092794739377876,-20.179242317395932,14.960270644850752,0.46553518913686276,0.11966688185930252,0.9333332180976868,-1170.6135086918132,-2580.8361078740145,-218.47167353548036,5.0
drymon_z_trans,none,none,none,0.47,1.1002210714293401,-36.11427696055812,25.656103979227932,0.32779089130461214,0.07934235781431198,0.6997853517532349,-845.2547945499255,-2096.398571563651,-87.8771859473668,11.0
wetdry_z_trans,none,none,none,0.48,1.0497451390483454,-11.786962326552397,21.25001785206951,0.38283669866621495,0.10937768965959549,0.8906042575836182,-958.6088046371641,-2407.1993311654537,-98.27686366487478,10.0
208-217,none,0_1,none,0.97,-4.173771756394867,-27.503908611277403,1.1357332927323984,0.0738452921435237,0.04460399970412254,0.1283818930387497,-138.65387645564797,-318.3383165194987,-3.550854240253557,16.0
217-227,none,0_1,none,1.0,-6.538533115106526,-35.65853573179472,-1.0124762333483353,0.07661610066890717,0.03973954916000366,0.13997206091880798,-131.60319672426925,-334.22162628274305,-10.065212017546173,15.0
227-237,none,0_1,none,0.95,-3.8228870726526543,-17.154208935002693,1.431485626663387,0.10768597193062306,0.038267068564891815,0.19759567081928253,-126.06942167359628,-301.58885875102555,-12.858528544419187,17.0
237-242,none,0_1,none,0.9,-2.783025965672068,-11.078719093226551,2.23050712160493,0.08645191505551338,0.03929309546947479,0.15480400621891022,-56.378364230314816,-135.53042650660768,-0.07976036969466804,21.0
242-246.7,none,0_1,none,0.9,-2.939108641314441,-16.285639339293713,2.5705320738397988,0.12068346165120601,0.038493089377880096,0.22698138654232025,-80.94376546243507,-184.49745660835322,-6.3289423104242815,18.0
246.7-252,none,0_1,none,0.51,-1.0272598529362589,-7.555149608204446,3.71512535246592,0.11377361699938775,0.0350198969244957,0.23953701555728912,-76.03929162329403,-181.0677406499558,-3.6947784315990475,20.0
252-259.5,none,0_1,none,0.6,-1.34138626138323,-8.695428521751875,9.826227501654095,0.26582138642668723,0.0763765349984169,0.613483726978302,-182.5664563397286,-423.4712335180443,-13.538971803722802,14.0
259.5-264.3,none,0_1,none,0.91,-3.234361003978992,-18.54058417289508,3.0252351029184923,0.2047960142418742,0.03898445516824722,0.44282832741737366,-195.26318876421098,-609.7198413371291,1.7645488323670406,13.0
264.3-274.4,none,0_1,none,0.86,-2.3227777004223835,-18.825409969364514,3.184762674185204,0.09589104179292918,0.044788800179958344,0.18351592123508453,-107.94203442913245,-226.79958409877713,-9.682532065451824,19.0
274.4-283.5,none,0_1,none,0.66,-1.4666380450695948,-7.398370448457202,5.01367242747505,0.06306969296187162,0.03187902271747589,0.10192402452230453,-74.04783338109516,-204.34732266630692,-2.489859914678732,22.0
283.5-290.1,none,0_1,none,0.7,-1.4777686291379684,-5.447888248327027,3.8769062738980655,0.06296040311455726,0.03831310197710991,0.09870226681232452,-50.98730320350761,-128.30083796418785,1.0322606138433912,23.0
