feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-22.405733042941854,-40.0,-8.634577558527315,0.5013439932465553,0.329183965921402,0.7230391502380371,-848.8346276155429,-1255.480575960282,-543.0527200803053,7.0
Temperate_N,none,0_1,none,0.99,-4.633267471266489,-25.2909027491741,-1.2639959956571476,0.5592135451734066,0.2052810788154602,0.8698035478591919,-619.3513388440002,-1048.9849095228938,-167.30980482364248,3.0
Tropical,none,0_1,none,1.0,-7.220749462335689,-40.0,-1.9371787122693107,0.25898308522999286,0.12633386254310608,0.4569535553455353,-413.1542121899218,-761.1290115539095,-57.055662526527044,12.0
Temperate_S,none,0_1,none,0.94,-4.272257726422904,-24.538450758717417,3.7997331484259886,0.8039550171792507,0.4856983721256256,1.3470765352249146,-1181.1354933792882,-2016.171837014364,-522.7747345039318,1.0
Antarctic,none,0_1,none,0.6,-1.3369525983148283,-8.091021385430732,4.558563026048782,0.06566704370081425,0.037238959223032,0.10340386629104614,-31.937261973924592,-108.1289290766955,3.8547350421085866,24.0
mat_z_trans,none,none,none,0.69,-2.778009855370483,-40.0,7.496827780934192,0.505170489475131,0.09982194751501083,0.9856563210487366,-1039.601271826021,-2425.48465335688,-258.08642659290376,6.0
map_z_trans,none,none,none,0.87,-9.02288847684459,-40.0,2.3676614305276606,0.5824576039612294,0.1102132797241211,1.1624419689178467,-1259.9195835288924,-2675.8915127107657,-204.56891449803197,2.0
wmm_z_trans,none,none,none,0.58,-1.7929250785560864,-40.0,16.05683475072624,0.46700732342898843,0.11174238473176956,0.9690364003181458,-799.7080011387159,-1881.5873872431448,-127.60516217505915,11.0
cmm_z_trans,none,none,none,0.5,0.0200521961101221,-22.227772123550693,11.00695398563812,0.5426237690448761,0.13261176645755768,1.092072606086731,-1199.6662653782078,-3041.169615960107,-154.0716051233626,5.0
wmmcmm_z_trans,none,none,none,0.45,1.1588383104556232,-4.557912240842522,6.0216984346299425,0.49440005019307137,0.09648982435464859,0.9590137600898743,-913.5538615149621,-2211.226349990695,-70.06943946936849,10.0
wetmon_z_trans,none,none,none,0.6,-2.003162539993885,-40.0,6.4751730599286335,0.513783548772335,0.11619237810373306,1.175636649131775,-1477.9749309968174,-3376.5395943052818,-221.62288829678914,4.0
drymon_z_trans,none,none,none,0.6,-1.9308538753995008,-40.0,21.098303857430718,0.3581624960154295,0.09037665277719498,0.8077412843704224,-972.1099101794099,-2196.079433045894,-135.3571589319763,9.0
wetdry_z_trans,none,none,none,0.53,-1.0542271682176918,-18.151860005859223,15.65000565980313,0.42022097036242484,0.0696319043636322,0.8915062546730042,-1126.8768120483207,-2916.379859952233,-145.95904096819243,8.0
208-217,none,0_1,none,0.66,-1.38360030129873,-6.80681569152485,2.373244209372356,0.07130496758967637,0.04154159128665924,0.11126204580068588,-62.11763452311711,-164.5599954785298,-0.695432966859812,20.0
217-227,none,0_1,none,0.82,-2.19332079083975,-10.756074536342924,2.3586629117688496,0.06375195421278476,0.03915209323167801,0.1014099195599556,-45.53544739611293,-110.83925468958398,-2.777481447875857,23.0
227-237,none,0_1,none,0.78,-2.533399096809819,-40.0,2.052105346322972,0.08707099284976721,0.042708445340394974,0.15746669471263885,-86.62388605575408,-226.24111732956908,-5.522296319146221,17.0
237-242,none,0_1,none,0.55,-1.0748500568131396,-11.319703342226402,5.993187270756226,0.06915031660348177,0.0371394082903862,0.11019637435674667,-47.53787636389913,-130.58489366363574,-0.9223462027031246,22.0
242-246.7,none,0_1,none,0.91,-3.2255900724741653,-15.117843457895214,2.8341051965356847,0.13511794075369835,0.04957631975412369,0.2771745026111603,-90.04536094390257,-196.05686461660298,-6.423128167618302,14.0
246.7-252,none,0_1,none,0.5,0.009812547694347362,-6.298593095065022,3.8184566682259566,0.12667697180062532,0.05180133506655693,0.24890972673892975,-74.93147846374386,-171.20327474930718,-3.7080138538291294,18.0
252-259.5,none,0_1,none,0.56,-1.2130845199585867,-4.827419730326235,5.289251614292781,0.24510111272335053,0.0766267403960228,0.47753003239631653,-159.10177637473328,-316.9234069438901,-8.615349402064112,16.0
259.5-264.3,none,0_1,none,0.99,-5.959829992368691,-32.91129567530957,-1.4730811703885511,0.3357369215041399,0.0715729296207428,0.6164954304695129,-403.22670623251696,-903.3950750057606,-20.885624005477098,13.0
264.3-274.4,none,0_1,none,0.86,-2.4179317514482634,-11.919242109711634,3.8538555565498287,0.13166213292628526,0.049581605941057205,0.2299995869398117,-171.6237590745534,-417.416129893046,-26.81273380409948,15.0
274.4-283.5,none,0_1,none,0.71,-1.503826435059119,-10.308888896125364,2.5372992906368945,0.06358427319675684,0.03734773397445679,0.09606464952230453,-53.37545896802724,-141.28167404755425,-2.532389052005101,21.0
283.5-290.1,none,0_1,none,0.71,-1.5148961649970696,-7.9135877617017725,3.310902193773531,0.07369769662618637,0.03767039254307747,0.12562352418899536,-51.806847410222,-136.6683566974691,-2.1791607049701724,19.0
