feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.18352132465690374,0.06252049654722214,0.2708779573440552,NA,NA,NA
Abajudon__lat_range_z_trans,0.04115183830781596,0.00029919241057587976,0.009498021042421373,1.4718868846440456,0.10775662772357464,3.1940245144069195
Abajudon__Temperate_N,0.07089817908468658,0.000534982793249859,0.013271055704344396,NA,NA,NA
Abajudon__Tropical,0.032298782691776926,0.00023345590909488304,0.006026877962593127,NA,NA,NA
Abajudon__Temperate_S,-0.1075240862924554,-0.004808855006733031,0.0002517461496534684,NA,NA,NA
Abajudon__Antarctic,0.008195214870756605,-0.00017497875116514954,0.003099296050909652,NA,NA,NA
Abajudon__mat_z_trans,0.008752206312519197,-0.0023947883023181468,0.00870617786300901,NA,NA,NA
Abajudon__map_z_trans,0.04776515344958385,-0.00597730421274059,0.033451057050104246,NA,NA,NA
Abajudon__wmm_z_trans,0.07653518128499343,-0.004025631795249347,0.035814069216031544,NA,NA,NA
Abajudon__cmm_z_trans,0.009201774362389448,-0.00403417688031216,0.016832705100595213,NA,NA,NA
Abajudon__wmmcmm_z_trans,0.022393675338293718,-0.005543193760861301,0.03378055202146474,NA,NA,NA
Abajudon__wetmon_z_trans,-0.004035272966483904,-0.005245356304654829,0.016993552160538525,NA,NA,NA
Abajudon__drymon_z_trans,0.024195178754787123,-0.009108807082572607,0.030909824979644205,NA,NA,NA
Abajudon__wetdry_z_trans,0.027660162793680936,-0.0031052721907111757,0.01564265350384315,NA,NA,NA
Abajudon__208-217,0.008456541946734638,-0.00024244609152099546,0.0028808223045454426,NA,NA,NA
Abajudon__217-227,0.00932176570353175,-0.00016895145911982278,0.003214337571726349,NA,NA,NA
Abajudon__227-237,0.011407220308803244,-0.00016832759024151006,0.0033361529754241085,NA,NA,NA
Abajudon__237-242,0.008579206090307651,-0.0001991493026955068,0.003290048984252897,NA,NA,NA
Abajudon__242-246.7,0.014434602279538635,-0.00031958355608086475,0.004637130635004132,NA,NA,NA
Abajudon__246.7-252,-0.0008271368529360236,-0.0006986361395002618,0.0025641365524531144,NA,NA,NA
Abajudon__252-259.5,0.011889890623942212,-0.0009279526213300016,0.005586671471390836,NA,NA,NA
Abajudon__259.5-264.3,0.012712595496399786,-0.004617957693140198,0.0092410195834279,NA,NA,NA
Abajudon__264.3-274.4,-0.16719743436596785,-0.01137574655943169,0.005500933048697115,NA,NA,NA
Abajudon__274.4-283.5,0.008261682205477246,-0.00016998819501822237,0.0034096822631655686,NA,NA,NA
Abajudon__283.5-290.1,0.008994403228728028,-0.0002810241647453508,0.0029394331488150414,NA,NA,NA
Abdalodon__lat_range_z_trans,0.09658605595307358,0.0010283485082784893,0.010854357935596881,0.9478236052774628,0.34950050339102745,2.688128567300737
Abdalodon__Temperate_N,0.12102935021902904,0.0009399908208453883,0.015584097398680212,NA,NA,NA
Abdalodon__Tropical,0.05528070988309939,0.0004423120234742088,0.007613853427945477,NA,NA,NA
Abdalodon__Temperate_S,-0.21121050293520166,-0.0077785132398488594,-0.005685887092948564,NA,NA,NA
Abdalodon__Antarctic,0.016133477837444166,-6.992614069482128e-05,0.003714458406169298,NA,NA,NA
Abdalodon__mat_z_trans,0.029918536986617922,-0.002537429100442489,0.015416960280909496,NA,NA,NA
Abdalodon__map_z_trans,-0.03146222064941668,-0.004468224356515963,0.007903506208504376,NA,NA,NA
Abdalodon__wmm_z_trans,-0.09166466147306139,-0.010472814487575427,0.02141043256275341,NA,NA,NA
Abdalodon__cmm_z_trans,0.03467976033648324,-0.00868487150610511,0.03864140233390177,NA,NA,NA
Abdalodon__wmmcmm_z_trans,-0.0414465173162392,-0.012959985728196517,0.04688655158335887,NA,NA,NA
Abdalodon__wetmon_z_trans,0.0026215985190508376,-0.003902534232706219,0.012871016992906511,NA,NA,NA
Abdalodon__drymon_z_trans,-0.011200358023372414,-0.002981123261688121,0.011133997919071338,NA,NA,NA
Abdalodon__wetdry_z_trans,0.0020584798532452147,-0.0021152093832127127,0.009278655735996583,NA,NA,NA
Abdalodon__208-217,0.01643029163836679,-6.312167368032414e-05,0.003506015795851123,NA,NA,NA
Abdalodon__217-227,0.018530986278840415,-2.4741098721585217e-05,0.0032089960644460613,NA,NA,NA
Abdalodon__227-237,0.020734824858285122,-0.00012064497431865121,0.0039401126171805054,NA,NA,NA
Abdalodon__237-242,0.015425872131121164,-0.00011882214911846471,0.0029108771941130417,NA,NA,NA
Abdalodon__242-246.7,0.02362627784134637,-0.0005029512954352907,0.00690604504964283,NA,NA,NA
Abdalodon__246.7-252,0.002271795450928089,-0.0009938892178430862,0.003478155900425763,NA,NA,NA
Abdalodon__252-259.5,-0.017275143266237438,-0.005756334599872126,0.022977295286802035,NA,NA,NA
Abdalodon__259.5-264.3,0.04592017227958906,-0.0012846396768007673,0.011557668375294454,NA,NA,NA
Abdalodon__264.3-274.4,0.05338936872123519,3.844355479432619e-05,0.009887966306195543,NA,NA,NA
Abdalodon__274.4-283.5,0.015832788463663948,-0.00010402223549387545,0.003399461138676525,NA,NA,NA
