feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,0.97,-6.928959879340222,-34.839648590951896,1.7897271620730772,0.3645564404502511,0.045198846608400345,0.6602519154548645,-33.76176286572469,-87.5089039993887,1.2171367287581774,2.0
Temperate_N,none,0_1,none,0.59,-1.2364943984212375,-7.826591697253095,5.536549538719626,0.4821991496346891,0.05878497287631035,0.986524224281311,-15.950691021757189,-39.294112751422034,3.2434569227273187,3.0
Tropical,none,0_1,none,0.92,-4.71372375938615,-31.47294618948364,1.74220018606041,0.027700422792695464,0.006755231413990259,0.05607139691710472,-4.379511365292821,-14.194446759162481,2.0824201797960313,9.0
Temperate_S,none,0_1,none,0.68,-1.8780743872528471,-17.545220851777515,15.688071075851553,0.7555682721734047,0.30261462926864624,1.5127557516098022,-77.11309187960414,-168.63656155422538,-5.689995375931225,1.0
Antarctic,none,0_1,none,0.54,-1.1017487827607098,-5.457560584271987,7.203085923627624,0.05205325833056122,0.006755231413990259,0.15417753159999847,-1.9846370144066885,-11.562145718936968,3.702910662433787,13.0
mat_z_trans,none,none,none,0.6,-1.1858429780555242,-3.0758515715379615,3.139269122948607,0.2176938872411847,0.014604991301894188,0.6531023979187012,-6.312004961390279,-24.737113020386246,2.6170661685263283,7.0
map_z_trans,none,none,none,0.77,-1.1608364616483273,-2.5671645381636026,1.3799431751300495,0.1282541979011148,0.0049734581261873245,0.35141560435295105,-1.5071381673667672,-7.406486387710515,2.2641188576551485,11.0
wmm_z_trans,none,none,none,0.53,-1.0699756977112107,-8.867446309270152,11.457403186554691,0.2921488410793245,0.017293455079197884,0.7638123035430908,-12.106802174880933,-33.64010918413553,2.6529859234562707,6.0
cmm_z_trans,none,none,none,0.56,-1.0068638587352106,-1.1679776556167591,1.1717977716214723,0.036070993775501846,0.004539771471172571,0.08019629865884781,-0.10733547752972834,-0.9630270081057546,0.6035372542125828,14.0
wmmcmm_z_trans,none,none,none,0.44,1.038735514574321,-1.598317774790457,2.330869649522286,0.17747053412254898,0.0062394957058131695,0.49386000633239746,-4.7997513153268505,-15.675344595419816,2.6325811856503876,8.0
wetmon_z_trans,none,none,none,0.61,-1.0526973460886815,-1.872362529323448,2.460475067962048,0.15297617685049772,0.009088810533285141,0.5322725176811218,-2.6544267214105024,-12.754301387755842,2.485558407484831,10.0
drymon_z_trans,none,none,none,0.58,-1.1370206968394099,-6.378088844850533,5.384823035124341,0.29653128031175585,0.0064664254896342754,0.9532148838043213,-10.655156986157785,-36.730361653287886,2.5745343097276887,5.0
wetdry_z_trans,none,none,none,0.55,-1.0136691064882088,-2.079915142730335,1.4477258064683678,0.07893614408094436,0.0055084689520299435,0.24343250691890717,-0.8246854698688776,-4.2651713253791,1.6409767481601882,12.0
237-242,none,0_1,none,0.62,1.523585500965606,-11.638958716987485,21.65155816978722,0.2647133963368833,0.02299555391073227,0.5873784422874451,-12.165738989038903,-42.65894810425834,2.952682643577134,4.0
