feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.18605447279289364,0.04088820144534111,0.3887713551521301,NA,NA,NA
Elephantosaurus__lat_range_z_trans,0.06298120429925949,0.00033515158771054706,0.042518907494110414,1.2972913253019214,0.21479900254053064,2.8436962962150574
Elephantosaurus__Temperate_N,-0.11875006916993346,-0.009085965016015036,0.010285075075439968,NA,NA,NA
Elephantosaurus__Tropical,0.004666436561012337,-9.65862717123358e-05,0.0031647251845885018,NA,NA,NA
Elephantosaurus__Temperate_S,0.18391146403753833,0.001055941014028171,0.09732857304080016,NA,NA,NA
Elephantosaurus__Antarctic,0.002349513153746953,-0.0005875108689500337,0.004132479269816568,NA,NA,NA
Elephantosaurus__mat_z_trans,-0.016974688005484673,-0.004727920262607635,0.013343965729109994,NA,NA,NA
Elephantosaurus__map_z_trans,0.027950280677741718,-0.00038635322048786086,0.025532127074355027,NA,NA,NA
Elephantosaurus__wmm_z_trans,-0.011097074219091679,-0.006083689985499315,0.038724544725964684,NA,NA,NA
Elephantosaurus__cmm_z_trans,0.0039684901428818364,-0.0004573434283154411,0.005970725636963185,NA,NA,NA
Elephantosaurus__wmmcmm_z_trans,0.007772208688240749,-0.003977861465198323,0.01880462440474583,NA,NA,NA
Elephantosaurus__wetmon_z_trans,-0.012250651660039932,-0.00462051991653303,0.016051449014907127,NA,NA,NA
Elephantosaurus__drymon_z_trans,-0.03364871471624641,-0.007239305996822597,0.014863747487831709,NA,NA,NA
Elephantosaurus__wetdry_z_trans,0.005810177566928209,-0.0015118846999010414,0.014167217365713483,NA,NA,NA
Elephantosaurus__237-242,0.03270153168158666,-0.002538489665917117,0.05223595564208354,NA,NA,NA
Paratraversodon__lat_range_z_trans,0.16791172762759116,-0.0002201020282305632,0.028961922992298366,0.48759879834004094,0.06262258812785149,1.3493958581238985
Paratraversodon__Temperate_N,0.3342671262896274,0.0006531676802916465,0.0614759728829126,NA,NA,NA
Paratraversodon__Tropical,0.02357697602819148,2.372708865497525e-05,0.005573274747263954,NA,NA,NA
Paratraversodon__Temperate_S,-0.5408503026054231,-0.010024370345872216,-0.006094766798202741,NA,NA,NA
Paratraversodon__Antarctic,0.009416859916352518,-0.0007598515014425054,0.005704078962277801,NA,NA,NA
Paratraversodon__mat_z_trans,-0.04974963794941706,-0.004252345671048047,0.028928650410336536,NA,NA,NA
Paratraversodon__map_z_trans,0.06116265511112089,-0.0016121206591920274,0.02145069770938587,NA,NA,NA
Paratraversodon__wmm_z_trans,-0.018330818498750998,-0.006691002970660098,0.03509556288984614,NA,NA,NA
Paratraversodon__cmm_z_trans,0.021120845373927073,-0.00037198789483408693,0.00622582307823145,NA,NA,NA
Paratraversodon__wmmcmm_z_trans,-0.015591107673656401,-0.003931863780063027,0.03342371413524354,NA,NA,NA
Paratraversodon__wetmon_z_trans,-0.03051296456569371,-0.003685702409818206,0.019989830710832525,NA,NA,NA
Paratraversodon__drymon_z_trans,-0.10275520409087016,-0.005887961056183995,0.03601644486228918,NA,NA,NA
Paratraversodon__wetdry_z_trans,0.022954764732970808,-0.0009207019138446547,0.015801518423879852,NA,NA,NA
Paratraversodon__237-242,0.06766379556504747,-0.0034443569277002968,0.04048588475952641,NA,NA,NA
Planitorostris__lat_range_z_trans,0.04997019405243283,0.0002969539563113824,0.029478113004627025,1.7215964689301473,0.21479900254053064,4.168715035542846
Planitorostris__Temperate_N,-0.08133387309198893,-0.008658483158990015,0.004208027125425329,NA,NA,NA
Planitorostris__Tropical,0.002191252982069375,-0.00011555275106243271,0.002402631940964171,NA,NA,NA
Planitorostris__Temperate_S,0.14197814510823933,0.0014814633593249632,0.07551189436057859,NA,NA,NA
Planitorostris__Antarctic,0.0010574363177568637,-0.0006436459906138756,0.0031458710639386414,NA,NA,NA
Planitorostris__mat_z_trans,0.014648927730222774,-0.002557550989961133,0.04838011868803729,NA,NA,NA
Planitorostris__map_z_trans,0.0004725848563603049,-0.0037169941141654765,0.012267578387999334,NA,NA,NA
Planitorostris__wmm_z_trans,-0.0009886705906972137,-0.008034883730588846,0.0343724286347959,NA,NA,NA
Planitorostris__cmm_z_trans,0.0032419556233967365,-0.0004728185048658187,0.004561428004912408,NA,NA,NA
Planitorostris__wmmcmm_z_trans,0.008338270570590594,-0.0026586371591309373,0.03026551506667741,NA,NA,NA
Planitorostris__wetmon_z_trans,0.010693726969466548,-0.0018433813854644363,0.038303312620972495,NA,NA,NA
Planitorostris__drymon_z_trans,0.019891350452246874,-0.004681553660091415,0.04730824176069125,NA,NA,NA
Planitorostris__wetdry_z_trans,0.004703325551152465,-0.0014961602079634321,0.010108714167235255,NA,NA,NA
Planitorostris__237-242,-0.01072268237040031,-0.006631430885851328,0.024431167001063334,NA,NA,NA
Riojanodon__lat_range_z_trans,0.22899178826250136,-0.00017177306458076916,0.027570345872462876,0.4030240824683278,0.04136685933917761,0.8843226551543921
Riojanodon__Temperate_N,0.4611939356010407,0.00032807467961826464,0.06575456196183146,NA,NA,NA
Riojanodon__Tropical,0.03402863604016602,2.4704201319168065e-05,0.005358404379676836,NA,NA,NA
Riojanodon__Temperate_S,-0.7850714342296123,-0.01117765372854581,-0.006518948823121874,NA,NA,NA
Riojanodon__Antarctic,0.009700929374957923,-0.0007911431839477552,0.006101069994852028,NA,NA,NA
Riojanodon__mat_z_trans,-0.07574439857387916,-0.004427462849060331,0.02049689874389122,NA,NA,NA
Riojanodon__map_z_trans,0.10131305608316325,-0.0005257468429435373,0.02583343718666817,NA,NA,NA
Riojanodon__wmm_z_trans,-0.08800194716313854,-0.006966547258197998,0.037538134923394924,NA,NA,NA
Riojanodon__cmm_z_trans,0.03060541438870132,-0.00014266101702998426,0.007859041595857095,NA,NA,NA
Riojanodon__wmmcmm_z_trans,-0.0013503917725756764,-0.0036450967852007772,0.035749929265638136,NA,NA,NA
Riojanodon__wetmon_z_trans,-0.05506742183541064,-0.0038374844743372847,0.021381077849478097,NA,NA,NA
Riojanodon__drymon_z_trans,-0.1773880977067165,-0.00613043502329943,0.03824866136977233,NA,NA,NA
Riojanodon__wetdry_z_trans,0.03360967601620359,-0.001479904319889551,0.01262051652180037,NA,NA,NA
Riojanodon__237-242,0.12583486643619834,-0.002192113852879901,0.0371941756030775,NA,NA,NA
