feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.2795622216444463,0.014002780430018902,0.6370067000389099,NA,NA,NA
Elephantosaurus__lat_range_z_trans,0.0785051518066692,5.5130431739775194e-06,0.031950833562552725,1.1262023976946511,0.13161693327128887,2.2429972793906927
Elephantosaurus__Temperate_N,-0.4079451295438641,-0.0050219549704672494,0.008520299884105537,NA,NA,NA
Elephantosaurus__Tropical,0.0324617168197362,-7.942687880379648e-05,0.027915674554367484,NA,NA,NA
Elephantosaurus__Temperate_S,0.5169847451442682,0.000606997621023004,0.20325410910933356,NA,NA,NA
Elephantosaurus__Antarctic,0.007816029561757405,-5.217990277144273e-05,0.004589497309969468,NA,NA,NA
Elephantosaurus__mat_z_trans,-0.03431482874129959,-0.0011590585819643145,0.04257337216127405,NA,NA,NA
Elephantosaurus__map_z_trans,-0.006261585091779726,-0.000815069327726939,0.018152425635707826,NA,NA,NA
Elephantosaurus__wmm_z_trans,-0.05537663353013113,-0.0019416721573695616,0.04241557323100916,NA,NA,NA
Elephantosaurus__cmm_z_trans,0.008522815280007822,-0.0001054356473499922,0.011178790281893208,NA,NA,NA
Elephantosaurus__wmmcmm_z_trans,0.009070180550192418,-0.001115459825396366,0.05602755438313404,NA,NA,NA
Elephantosaurus__wetmon_z_trans,0.01367291489380469,-0.0005369758006262779,0.03557397275264099,NA,NA,NA
Elephantosaurus__drymon_z_trans,-0.0038983679322867337,-0.001339431701290434,0.03930964912509647,NA,NA,NA
Elephantosaurus__wetdry_z_trans,0.0100599440662117,-0.0003517392809408356,0.019354280444945422,NA,NA,NA
Elephantosaurus__237-242,0.03210496585528067,-0.0015750881832275639,0.0502956849538692,NA,NA,NA
Nanogomphodon__lat_range_z_trans,0.0785051518066692,5.5130431739775194e-06,0.031950833562552725,1.1262023976946511,0.13161693327128887,2.2429972793906927
Nanogomphodon__Temperate_N,-0.4079451295438641,-0.0050219549704672494,0.008520299884105537,NA,NA,NA
Nanogomphodon__Tropical,0.0324617168197362,-7.942687880379648e-05,0.027915674554367484,NA,NA,NA
Nanogomphodon__Temperate_S,0.5169847451442682,0.000606997621023004,0.20325410910933356,NA,NA,NA
Nanogomphodon__Antarctic,0.007816029561757405,-5.217990277144273e-05,0.004589497309969468,NA,NA,NA
Nanogomphodon__mat_z_trans,-0.03431482874129959,-0.0011590585819643145,0.04257337216127405,NA,NA,NA
Nanogomphodon__map_z_trans,-0.006261585091779726,-0.000815069327726939,0.018152425635707826,NA,NA,NA
Nanogomphodon__wmm_z_trans,-0.05537663353013113,-0.0019416721573695616,0.04241557323100916,NA,NA,NA
Nanogomphodon__cmm_z_trans,0.008522815280007822,-0.0001054356473499922,0.011178790281893208,NA,NA,NA
Nanogomphodon__wmmcmm_z_trans,0.009070180550192418,-0.001115459825396366,0.05602755438313404,NA,NA,NA
Nanogomphodon__wetmon_z_trans,0.01367291489380469,-0.0005369758006262779,0.03557397275264099,NA,NA,NA
Nanogomphodon__drymon_z_trans,-0.0038983679322867337,-0.001339431701290434,0.03930964912509647,NA,NA,NA
Nanogomphodon__wetdry_z_trans,0.0100599440662117,-0.0003517392809408356,0.019354280444945422,NA,NA,NA
Nanogomphodon__237-242,0.03210496585528067,-0.0015750881832275639,0.0502956849538692,NA,NA,NA
Paratraversodon__lat_range_z_trans,0.14877213975048664,4.3247887185210355e-05,0.0360946554905067,0.6809739257441834,0.05245725251734257,1.9617532948032022
Paratraversodon__Temperate_N,0.2751157557951303,-3.5672113472470827e-05,0.0760859559733335,NA,NA,NA
Paratraversodon__Tropical,0.0581801556657034,-0.0001645678855222788,0.029193172802242803,NA,NA,NA
Paratraversodon__Temperate_S,-0.4789583788917896,-0.0033303875314520805,-0.006078922656793834,NA,NA,NA
Paratraversodon__Antarctic,0.0169284515448549,-1.6774345768991458e-05,0.004707334206329822,NA,NA,NA
Paratraversodon__mat_z_trans,-0.007097509089643141,-0.0012884105425377084,0.06367315815851399,NA,NA,NA
Paratraversodon__map_z_trans,0.036071551580392214,-0.0003055709288037846,0.04696443870101953,NA,NA,NA
Paratraversodon__wmm_z_trans,0.07607748104863403,-0.0017934984194295598,0.0988810269940404,NA,NA,NA
Paratraversodon__cmm_z_trans,0.0225202968740289,-0.00012479886818297402,0.01058853519331307,NA,NA,NA
Paratraversodon__wmmcmm_z_trans,-0.05383977103462365,-0.0017035423754761963,0.0537305408021514,NA,NA,NA
Paratraversodon__wetmon_z_trans,-0.011187092824268888,-0.0010048908123294479,0.029649632989925446,NA,NA,NA
Paratraversodon__drymon_z_trans,-0.030904933065897082,-0.0013527197879715537,0.052100472706747995,NA,NA,NA
Paratraversodon__wetdry_z_trans,0.014242147959994443,-0.0006253674660387675,0.023268235980034812,NA,NA,NA
Paratraversodon__237-242,0.04435741082528368,-0.0021320839038776918,0.07107511690050185,NA,NA,NA
Protheriodon__lat_range_z_trans,0.17607294218208402,2.7232593907601605e-05,0.040712738756588596,0.5996068698971067,0.036318514961749315,2.3262777468189597
Protheriodon__Temperate_N,0.3468984679075258,-6.815993631000969e-05,0.08352737928783519,NA,NA,NA
Protheriodon__Tropical,0.07063111010773049,-0.00019656091751428433,0.03204834829338106,NA,NA,NA
Protheriodon__Temperate_S,-0.6161082663973072,-0.0031595803443134358,-0.002229874001306079,NA,NA,NA
Protheriodon__Antarctic,0.02054403820327279,-1.9974740852050472e-05,0.0044680701664603535,NA,NA,NA
Protheriodon__mat_z_trans,-0.052695857641158826,-0.0013176061455989938,0.06064139318136816,NA,NA,NA
Protheriodon__map_z_trans,-0.005836727922786091,-0.0006856745321969305,0.022327666056539717,NA,NA,NA
Protheriodon__wmm_z_trans,-0.053498025884812034,-0.0025814673874659296,0.07435587652036879,NA,NA,NA
Protheriodon__cmm_z_trans,0.02032213640859891,-0.00011527091632563355,0.009912348870692707,NA,NA,NA
Protheriodon__wmmcmm_z_trans,0.07804952633414758,-0.0012528025364836003,0.075154580175773,NA,NA,NA
Protheriodon__wetmon_z_trans,0.04174171397495895,-0.000490178223339124,0.045370439762427515,NA,NA,NA
Protheriodon__drymon_z_trans,0.0003527710009215105,-0.0011184729045585306,0.0564190625360447,NA,NA,NA
Protheriodon__wetdry_z_trans,0.01829367821424206,-0.000580730592767996,0.02309646266146403,NA,NA,NA
Protheriodon__237-242,0.029354337071217394,-0.002243786647028324,0.06652149995829611,NA,NA,NA
