feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,0.98,-33.35276318526114,-40.0,-2.5811521253439293,0.4811497838795185,0.14286087453365326,0.8233993053436279,-71.43681919716873,-153.93627864622533,-13.92640072220766,2.0
Temperate_N,none,0_1,none,0.88,-5.066605896846898,-40.0,1.762415818594988,0.7573157265409827,0.02891610935330391,1.2254958152770996,-79.05982265253387,-173.20403772067368,-0.9271930806672515,1.0
Tropical,none,0_1,none,0.87,-5.3468807015025686,-40.0,1.5383828365473105,0.04506669552065432,0.01922702230513096,0.0756031721830368,-8.441082036762865,-23.16087144729555,3.8583774701738136,7.0
Temperate_S,none,0_1,none,0.83,-2.7795995455915934,-40.0,2.5749679265826257,0.5939484926313162,0.044080428779125214,1.081579327583313,-63.537981884465864,-156.28688221332692,1.34287214736365,3.0
Antarctic,none,0_1,none,0.71,-2.3002470688496452,-40.0,5.870043577877232,0.06013668367639184,0.011408685706555843,0.1589413285255432,-3.4017406141359983,-15.61766335899317,3.6937829054568283,11.0
mat_z_trans,none,none,none,0.6,-1.2088796959861203,-19.72052852940293,7.27655689886537,0.31389825731515886,0.017374925315380096,0.7843273282051086,-14.532252795704995,-48.4175585481821,3.3583614518165135,5.0
map_z_trans,none,none,none,0.49,1.026334435389526,-6.073422419098282,6.120642558007249,0.20436452707275748,0.028163503855466843,0.5160262584686279,-6.7110605193164545,-23.238490778186673,2.2863134367737175,10.0
wmm_z_trans,none,none,none,0.68,-1.1556598701226324,-2.2889408009543044,2.0775752924283504,0.11832901503890753,0.012374203652143478,0.2851473391056061,-2.570327818845816,-10.7618637270171,2.445357764769568,12.0
cmm_z_trans,none,none,none,0.59,-1.274198760905048,-13.713803076957719,8.444279477398938,0.3569635073840618,0.04707881808280945,0.8283531665802002,-14.346845448936511,-42.37096606215862,2.615288787380152,6.0
wmmcmm_z_trans,none,none,none,0.56,-1.0279872496395805,-1.7970151786551771,4.518504954857852,0.22535989936441184,0.024530991911888123,0.48544591665267944,-6.601955673605065,-22.29504454300313,3.074758825970612,9.0
wetmon_z_trans,none,none,none,0.6,-1.167718308972049,-6.107242170718075,5.476952613114364,0.22144887680187822,0.01703202724456787,0.5975136756896973,-7.527545556409269,-29.126803484847677,2.301016937660954,8.0
drymon_z_trans,none,none,none,0.67,-1.5643797533084682,-13.45060187278122,5.365598058681194,0.3473340694606304,0.03600701317191124,0.8682553172111511,-15.888963016375818,-43.811799707775194,2.7252808320409088,4.0
wetdry_z_trans,none,none,none,0.54,-1.0041717317128618,-1.0680730984482139,1.036363387625408,0.03458453187718988,0.011577594093978405,0.0526127964258194,0.006856252436358622,-0.2996000456243664,0.3238082801306348,13.0
