feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-40.0,-40.0,-4.029386115909401,1.1872711771726607,0.4718388617038727,2.134150266647339,-80.09604770789458,-185.70081801347095,-4.0923339720686585,2.0
Temperate_N,none,0_1,none,0.64,-1.3111984809619472,-40.0,3.8472246559674033,0.4458785030990839,0.08504168689250946,0.9510207772254944,-15.928132228256587,-49.653340545777354,3.6230823407089368,4.0
Tropical,none,0_1,none,0.82,-3.2223923132160683,-40.0,3.452120421049448,0.2830436207354069,0.08075209707021713,0.5812253952026367,-6.1197507764750245,-19.855038365213083,2.8177961070849236,8.0
Temperate_S,none,0_1,none,0.94,-7.520842930605475,-40.0,1.2626098030111883,2.0023737329244615,0.9376563429832458,3.1969451904296875,-124.7519038640677,-250.26379415542257,-25.507795771012006,1.0
Antarctic,none,0_1,none,0.51,1.0164969344306494,-14.90068776152878,9.988244260872117,0.294821770042181,0.09317078441381454,0.6271780729293823,-8.084292508142228,-25.172273611056113,2.137661237815614,7.0
mat_z_trans,none,none,none,0.59,-1.077259803591921,-3.3626424028754713,4.698085164702683,0.32448346965014935,0.06605254113674164,0.7108460068702698,-7.36616791467205,-25.61602410207888,3.2022645779356296,6.0
map_z_trans,none,none,none,0.59,-1.0142282689123396,-1.4051735504107854,1.4499467527124728,0.12077778026461601,0.060808345675468445,0.19292698800563812,-0.3439704361981233,-2.0206150751391405,1.089221908697965,10.0
wmm_z_trans,none,none,none,0.71,-1.3804693583662626,-4.3230272833392425,3.5354002017930184,0.251224475055933,0.078061044216156,0.5316195487976074,-6.082456583992695,-17.16199247810345,2.1710507226647984,9.0
cmm_z_trans,none,none,none,0.43,1.1058063456801657,-4.0457878012507615,12.320567405781297,0.42160220004618165,0.12011410295963287,0.9601091742515564,-14.36408021353733,-39.63340397393135,2.420531148038812,5.0
wmmcmm_z_trans,none,none,none,0.57,-1.1549204447144201,-30.80599436940527,14.976681615836068,0.46730251640081405,0.0669291540980339,0.9691919088363647,-18.76310508497494,-54.60237364132264,2.9604084320543294,3.0
wetmon_z_trans,none,none,none,0.6,-1.004868479861714,-1.0673761543187155,1.042641111644131,0.10998038258403539,0.04699919745326042,0.16774694621562958,-0.020444847441192803,-0.330012026005825,0.2562385325714871,12.0
drymon_z_trans,none,none,none,0.54,-1.0019173334013716,-1.1177750066367238,1.1173126246876186,0.1103154418617487,0.049804192036390305,0.16774702072143555,-0.0168435183110716,-0.4775570214827418,0.46357115053076825,13.0
wetdry_z_trans,none,none,none,0.59,-1.0135894126002176,-1.1620438236089614,1.1704572848567467,0.11224491357803344,0.04806213453412056,0.1677471548318863,-0.09854503772198697,-0.8067453613197504,0.5286695987803895,11.0
