feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.3441953495144844,0.17185290157794952,0.4941818118095398,NA,NA,NA
Abdalodon__lat_range_z_trans,0.30917226994215613,0.004562847752843714,0.0452065024791777,1.028681269727531,0.36836101836524904,2.2976591968908906
Abdalodon__Temperate_N,0.19261333816285894,0.002156690825493074,0.03915109180354421,NA,NA,NA
Abdalodon__Tropical,0.030660658861476037,0.0001804833073743238,0.005917377770832135,NA,NA,NA
Abdalodon__Temperate_S,-0.288783089452779,-0.02065156939449108,-0.003929955603080875,NA,NA,NA
Abdalodon__Antarctic,0.029096741733027783,-5.637829749610543e-05,0.005761013985171803,NA,NA,NA
Abdalodon__mat_z_trans,0.013081452121692675,-0.011685223877305471,0.03049853896686651,NA,NA,NA
Abdalodon__map_z_trans,-0.12288959042449148,-0.016208121577799273,0.028986048972833505,NA,NA,NA
Abdalodon__wmm_z_trans,-0.06997616645666438,-0.034027020690710834,0.06036820389958845,NA,NA,NA
Abdalodon__cmm_z_trans,-0.06331251357447008,-0.031690195948019355,0.04804740436598194,NA,NA,NA
Abdalodon__wmmcmm_z_trans,-0.04025138552154079,-0.030318150582820228,0.07086079033981076,NA,NA,NA
Abdalodon__wetmon_z_trans,-0.011599532100810241,-0.017372660244026606,0.047217446990809105,NA,NA,NA
Abdalodon__drymon_z_trans,0.044301349576505424,-0.004427169905232979,0.017606122994187474,NA,NA,NA
Abdalodon__wetdry_z_trans,0.0020176638314766482,-0.011696268393966985,0.03512007563615015,NA,NA,NA
Annatherapsidus__lat_range_z_trans,-0.48289796003549096,-0.03363197523035576,-0.007259221848152334,0.9816369229051634,0.22613760456442833,1.7568880468606949
Annatherapsidus__Temperate_N,-0.7729119145968775,-0.041253282675280514,0.012907383212918445,NA,NA,NA
Annatherapsidus__Tropical,0.04909591304442662,6.963447237891885e-05,0.008344301574791109,NA,NA,NA
Annatherapsidus__Temperate_S,0.9421600718072951,0.010422719079055277,0.13074012254520959,NA,NA,NA
Annatherapsidus__Antarctic,0.04777873429222865,6.963447237891885e-05,0.008344301574791109,NA,NA,NA
Annatherapsidus__mat_z_trans,0.05587872879194855,-0.0025743645985688056,0.014500234044955823,NA,NA,NA
Annatherapsidus__map_z_trans,-0.09004973750006692,-0.012736525046573915,0.012967270729648228,NA,NA,NA
Annatherapsidus__wmm_z_trans,-0.04562845458656328,-0.028454850213454265,0.057452975346510574,NA,NA,NA
Annatherapsidus__cmm_z_trans,-0.05787420294369888,-0.025625923119482818,0.04814796084116625,NA,NA,NA
Annatherapsidus__wmmcmm_z_trans,0.003838037197019652,-0.026023612024872415,0.06556029102970999,NA,NA,NA
Annatherapsidus__wetmon_z_trans,0.04710817981794647,-0.007771724730422012,0.01606747746535255,NA,NA,NA
Annatherapsidus__drymon_z_trans,0.05960188390961893,-0.00015784718166001512,0.01132985018047948,NA,NA,NA
Annatherapsidus__wetdry_z_trans,0.06252998111012317,-0.004950765104365772,0.023291569252977967,NA,NA,NA
Aulacocephalus__lat_range_z_trans,0.1835593759485737,0.004887775253598903,0.052214665547299054,1.5382525197777432,0.36836101836524904,3.860902041196823
Aulacocephalus__Temperate_N,0.11320923047074939,0.0017308453436062333,0.033929543413998835,NA,NA,NA
Aulacocephalus__Tropical,0.01142370090478889,-0.0004968174062855388,0.004894900158763019,NA,NA,NA
Aulacocephalus__Temperate_S,-0.14878547106552623,-0.01831556156224958,-0.0030888634986229436,NA,NA,NA
Aulacocephalus__Antarctic,0.010403443770258237,-0.0007390235688566109,0.004388728618420292,NA,NA,NA
Aulacocephalus__mat_z_trans,0.029263308943215004,-0.012964576269427885,0.033661824457655073,NA,NA,NA
Aulacocephalus__map_z_trans,-0.047402576205710686,-0.01640454092157189,0.044360695596745076,NA,NA,NA
Aulacocephalus__wmm_z_trans,0.0025252709008837925,-0.029211509385497693,0.06010317756276756,NA,NA,NA
Aulacocephalus__cmm_z_trans,-0.02097633302058771,-0.029207085401620175,0.046404796922312815,NA,NA,NA
Aulacocephalus__wmmcmm_z_trans,0.016054586028392877,-0.027942547743916843,0.05222099535248238,NA,NA,NA
Aulacocephalus__wetmon_z_trans,0.047523792754575626,-0.014094139780564334,0.06514209746033202,NA,NA,NA
Aulacocephalus__drymon_z_trans,0.025219027449756362,-0.00312241121421068,0.026120446344922766,NA,NA,NA
Aulacocephalus__wetdry_z_trans,0.007740115984352354,-0.0178440505734945,0.025552792596373105,NA,NA,NA
Bulbasaurus__lat_range_z_trans,0.16307634506010346,0.0035138687895621087,0.05047044256766648,1.7259424350043993,0.36836101836524904,4.095302158035338
Bulbasaurus__Temperate_N,0.09980868945043105,0.0008826230631191005,0.03432461888984331,NA,NA,NA
Bulbasaurus__Tropical,0.011031402367147843,-0.0005714965288257601,0.004659104452201453,NA,NA,NA
Bulbasaurus__Temperate_S,-0.11610023535678006,-0.015354069865283902,-0.003790756921760177,NA,NA,NA
Bulbasaurus__Antarctic,0.010196978278185794,-0.0005804937295800937,0.004659104452201453,NA,NA,NA
Bulbasaurus__mat_z_trans,-0.015035249341951508,-0.010299971068232836,0.025768759716055828,NA,NA,NA
Bulbasaurus__map_z_trans,0.0484013289753651,-0.012565454230785906,0.06094777229776153,NA,NA,NA
Bulbasaurus__wmm_z_trans,0.017261706937620646,-0.03379325389655452,0.0698445145630948,NA,NA,NA
Bulbasaurus__cmm_z_trans,0.024879624692730053,-0.029470639793632902,0.05531653961366886,NA,NA,NA
Bulbasaurus__wmmcmm_z_trans,0.026147499625161056,-0.026754841833718384,0.06195820872037384,NA,NA,NA
Bulbasaurus__wetmon_z_trans,-0.026044771536230228,-0.021232234999375117,0.03312540088650182,NA,NA,NA
Bulbasaurus__drymon_z_trans,-0.007084757253370738,-0.004384207871837414,0.008929429871669555,NA,NA,NA
