feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.3368474431335926,0.10387534648180008,0.6666001677513123,NA,NA,NA
Aulacocephalus__lat_range_z_trans,0.09977919038345272,0.0009887839133353089,0.03196873248503121,1.299336457993777,0.34950052108615637,2.7851417660713196
Aulacocephalus__Temperate_N,0.10866485923920619,0.0005946215035545886,0.036338385359192406,NA,NA,NA
Aulacocephalus__Tropical,0.013979340001332814,-1.644616362488735e-05,0.0063013300766102944,NA,NA,NA
Aulacocephalus__Temperate_S,-0.14062585465449423,-0.009508400013449438,-0.006561171899488803,NA,NA,NA
Aulacocephalus__Antarctic,0.010911294159220809,-0.0006780108135099935,0.005571700820549998,NA,NA,NA
Aulacocephalus__mat_z_trans,-0.01268592725194038,-0.008632056865427068,0.05657582113756539,NA,NA,NA
Aulacocephalus__map_z_trans,0.020715941684308146,-0.0055113782450509985,0.04228899263515945,NA,NA,NA
Aulacocephalus__wmm_z_trans,0.061288989242053914,-0.01624141033586657,0.10164427768681498,NA,NA,NA
Aulacocephalus__cmm_z_trans,-0.012877082568681506,-0.01889299242995115,0.05524012910513762,NA,NA,NA
Aulacocephalus__wmmcmm_z_trans,0.0031102883478393057,-0.01827682253868289,0.10242271148464704,NA,NA,NA
Aulacocephalus__wetmon_z_trans,0.02233171171829989,-0.013192369223340192,0.07797147178840778,NA,NA,NA
Aulacocephalus__drymon_z_trans,0.014260137028994277,-0.0026296767568295253,0.01446312569103039,NA,NA,NA
Aulacocephalus__wetdry_z_trans,-0.005778184497191354,-0.011698279201283576,0.07306003645752994,NA,NA,NA
Burnetia__lat_range_z_trans,0.11940400609544626,0.000562190999505111,0.02986922966771198,1.1393075850061722,0.3538941591978073,3.2348296707496047
Burnetia__Temperate_N,0.12919311313168969,0.0006595353171926828,0.0374829588515121,NA,NA,NA
Burnetia__Tropical,0.017475109169677677,4.647490952908378e-06,0.00587976389792458,NA,NA,NA
