feature1,feature2,feature1_state,feature2_state,posterior_probability,fold_change,fold_change_lwr_CI,fold_change_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
lat_range_z_trans,none,none,none,1.0,-20.976376539851582,-40.0,-6.14153038245666,0.15321462009102105,0.061439983546733856,0.24910537898540497,-86.55915862849554,-143.3291908149132,-32.66907745004568,5.0
Temperate_N,none,0_1,none,0.89,-4.5366904160642605,-40.0,1.2472636581293606,0.806077337116003,0.19065026938915253,1.1842120885849,-191.04027843597814,-374.91246697981256,-29.947102627517836,2.0
Tropical,none,0_1,none,0.96,-5.115227337565358,-40.0,-1.0447905667250026,0.058010463528335096,0.01277258899062872,0.12440402805805206,-13.138035927026209,-33.818920684490934,1.9512097878561008,12.0
Temperate_S,none,0_1,none,0.99,-6.980126192695333,-40.0,-2.0367357698793938,0.9967880120873451,0.32151666283607483,1.6410986185073853,-258.3071442176676,-458.9014916814029,-40.073733926032446,1.0
Antarctic,none,0_1,none,0.53,1.4118531876539184,-10.976182128118923,10.133178357101968,0.028170374655164778,0.007312209811061621,0.06539733707904816,-5.54228329755856,-27.10339740811594,3.499596801982804,13.0
mat_z_trans,none,none,none,0.72,-1.5485848492169616,-8.911059207780124,3.293228220514898,0.16952015868388115,0.01216431986540556,0.5292177200317383,-27.465573037066928,-92.27614364274865,2.2887878794181944,10.0
map_z_trans,none,none,none,0.85,-4.179758148518413,-40.0,1.7326428736467994,0.3093770850263536,0.012383563444018364,0.7044420838356018,-89.13652050441799,-241.8549118828387,0.7032541455148191,4.0
wmm_z_trans,none,none,none,0.52,-1.0889787474633754,-4.638389032874872,14.968537578024064,0.1751062653772533,0.013506041839718819,0.513099730014801,-33.616311220298506,-109.42185429126818,2.685183144778591,9.0
cmm_z_trans,none,none,none,0.6,-1.4646194100029972,-20.067665639408702,29.647425130782235,0.25965708350762723,0.011794162914156914,0.7251797318458557,-57.40168549718898,-172.54400548495363,3.949818603308046,6.0
wmmcmm_z_trans,none,none,none,0.5,-0.00957097131499296,-12.861089464214286,10.05648172426699,0.2525393331050873,0.018417730927467346,0.6338422894477844,-58.942981201473195,-172.2840222525816,2.0128072527010943,7.0
wetmon_z_trans,none,none,none,0.61,-1.2645784092760355,-11.70336506227411,8.245866608035453,0.1340209641493857,0.013787319883704185,0.4163820445537567,-17.918894732550545,-70.70725837584934,3.9454465448203564,11.0
drymon_z_trans,none,none,none,0.77,-3.8651228733749075,-40.0,5.433517048825838,0.39125791475176813,0.02326240949332714,0.9606504440307617,-109.40116788072098,-299.4293930403241,-0.9683723826920811,3.0
wetdry_z_trans,none,none,none,0.46,1.057684701612871,-6.547408083838579,7.993904064621837,0.22402425030246376,0.023752009496092796,0.5147218108177185,-44.64616681427444,-148.08311598154518,1.132361442856137,8.0
