feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.30626264452934265,0.09975998103618622,0.5866737961769104,NA,NA,NA
Biseridens__lat_range_z_trans,0.09756326445065854,0.0008913384792160783,0.02739207720852898,0.9678988928766921,0.024117209017276764,1.8200586750172079
Biseridens__Temperate_N,-0.30779074228286385,-0.016759289254823676,-0.006224299366171801,NA,NA,NA
Biseridens__Tropical,0.1365737467284664,0.0005318168698941053,0.03585902630191133,NA,NA,NA
Biseridens__Temperate_S,0.1579267066825789,0.0008966235136847387,0.04755574853215243,NA,NA,NA
Biseridens__Antarctic,0.01833954619825675,-5.17485502126431e-05,0.00692029387660092,NA,NA,NA
Biseridens__mat_z_trans,0.026009618943459118,-0.012631376171941832,0.06973675655252114,NA,NA,NA
Biseridens__map_z_trans,-0.12422818995285118,-0.01730276768532769,0.03481870439589156,NA,NA,NA
Biseridens__wmm_z_trans,0.015879107197770633,-0.01091019243747773,0.07254377804258724,NA,NA,NA
Biseridens__cmm_z_trans,-0.017744036160156008,-0.007636698488518991,0.03777838620285501,NA,NA,NA
Biseridens__wmmcmm_z_trans,0.010942148918597296,-0.0031244304396795433,0.028438020070788137,NA,NA,NA
Biseridens__wetmon_z_trans,0.04540839279397993,-0.010817490278116832,0.06057672400171609,NA,NA,NA
Biseridens__drymon_z_trans,0.05730714171742934,-0.018636615352072432,0.08032037661848576,NA,NA,NA
Biseridens__wetdry_z_trans,-0.011659066827849148,-0.003639916829912156,0.014834943002889735,NA,NA,NA
Davletkulia__lat_range_z_trans,0.1337608797615394,1.1809450380583563e-05,0.018318404594604355,0.3871188136492856,0.004594068042933941,1.430576954036951
Davletkulia__Temperate_N,-0.5833807240799069,-0.01229235565969138,0.000626718183066753,NA,NA,NA
Davletkulia__Tropical,0.20779574587068056,-0.00024210820686592776,0.022271249447619962,NA,NA,NA
Davletkulia__Temperate_S,0.26310110617429017,0.0005038114862159772,0.029304530106074783,NA,NA,NA
Davletkulia__Antarctic,0.036164672784507274,-0.00027637108789971,0.005546268327522438,NA,NA,NA
Davletkulia__mat_z_trans,-0.18306948128156364,-0.017472414972513676,0.066715517561803,NA,NA,NA
Davletkulia__map_z_trans,0.19309971845243126,-0.007086681565074821,0.0879076933031206,NA,NA,NA
Davletkulia__wmm_z_trans,-0.009600934460759164,-0.015051055586948008,0.06337613091172643,NA,NA,NA
Davletkulia__cmm_z_trans,0.07791750371456146,-0.004173246503023857,0.045506298050084416,NA,NA,NA
Davletkulia__wmmcmm_z_trans,0.08528649133164436,-0.003947125592714289,0.030155543311155972,NA,NA,NA
Davletkulia__wetmon_z_trans,-0.11504202978278044,-0.01333952770308202,0.08248509664150079,NA,NA,NA
Davletkulia__drymon_z_trans,-0.49346379706403243,-0.021286856820863297,0.051420278569917266,NA,NA,NA
Davletkulia__wetdry_z_trans,0.03431095402513165,-0.0020677781742092557,0.02203111045590173,NA,NA,NA
Microsyodon__lat_range_z_trans,0.12287710459356796,0.000580594349117222,0.026550291884874302,0.7710086713422788,0.013790670782327652,1.5847664633765817
