feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.36013126622885466,0.14485155045986176,0.5361443758010864,NA,NA,NA
Anomocephalus__lat_range_z_trans,0.037954348065374864,-0.007236239865200007,0.031335662422068256,1.2685627165879123,0.4227557620033622,2.1857518093893304
Anomocephalus__Temperate_N,0.3470439463692983,0.004893942714906242,0.14563419618177106,NA,NA,NA
Anomocephalus__Tropical,0.048195725624996084,0.00017720964661587608,0.017294559975950658,NA,NA,NA
Anomocephalus__Temperate_S,-0.35921605369441517,-0.0531012477722911,0.011582581703245142,NA,NA,NA
Anomocephalus__Antarctic,0.010724580818108028,-3.858777011811102e-05,0.0057220900620243475,NA,NA,NA
Anomocephalus__mat_z_trans,0.02528920021176047,-0.013546002408881562,0.045920574703303754,NA,NA,NA
Anomocephalus__map_z_trans,0.03507905753186531,-0.01810094021421032,0.03399021097101023,NA,NA,NA
Anomocephalus__wmm_z_trans,0.05003938994272122,-0.009933864667540598,0.041389758525588086,NA,NA,NA
Anomocephalus__cmm_z_trans,0.01100902257754713,-0.009916436145952534,0.03469732475991092,NA,NA,NA
Anomocephalus__wmmcmm_z_trans,0.00963360857294129,-0.0063909036973463125,0.009553196405771184,NA,NA,NA
Anomocephalus__wetmon_z_trans,-0.012170944450716875,-0.014769748240794042,0.029860935044369784,NA,NA,NA
Anomocephalus__drymon_z_trans,0.019716671885379403,-0.013791327990294663,0.06034631783438429,NA,NA,NA
Anomocephalus__wetdry_z_trans,0.014811597697716512,-0.0023217810130678573,0.012796575063018208,NA,NA,NA
Archaeosyodon__lat_range_z_trans,0.13322423223406077,-0.0037882873085419134,0.03644076034028677,0.7228313103031542,0.2683032713830471,1.6086092554032803
Archaeosyodon__Temperate_N,-0.9021526849037036,-0.0463751545094255,0.0014128529456404115,NA,NA,NA
Archaeosyodon__Tropical,0.11347909674048423,0.0005083251758850436,0.01804346866739114,NA,NA,NA
Archaeosyodon__Temperate_S,0.48074463779339566,-0.006944004883382059,0.10922263882625063,NA,NA,NA
