age,L_mean,L_hpd_m95,L_hpd_M95,M_mean,M_hpd_m95,M_hpd_M95,R_mean,R_hpd_m95,R_hpd_M95
-202,0.249163608,0.12398,0.378564,0.416874343,0.268564,0.575005,-0.167710737,-0.347137,0.015154
-203,0.249163608,0.12398,0.378564,0.416874343,0.268564,0.575005,-0.167710737,-0.347137,0.015154
-204,0.249163608,0.12398,0.378564,0.416874343,0.268564,0.575005,-0.167710737,-0.347137,0.015154
-205,0.249163608,0.12398,0.378564,0.416874343,0.268564,0.575005,-0.167710737,-0.347137,0.015154
-206,0.249163608,0.12398,0.378564,0.416874343,0.268564,0.575005,-0.167710737,-0.347137,0.015154
-207,0.249163608,0.12398,0.378564,0.416874343,0.268564,0.575005,-0.167710737,-0.347137,0.015154
-208,0.249163608,0.12398,0.378564,0.416874343,0.268564,0.575005,-0.167710737,-0.347137,0.015154
-209,0.094558524,0.035238,0.160511,0.083668473,0.017252,0.154699,0.010890052,-0.084862,0.104082
-210,0.094558524,0.035238,0.160511,0.083668473,0.017252,0.154699,0.010890052,-0.084862,0.104082
-211,0.094558524,0.035238,0.160511,0.083668473,0.017252,0.154699,0.010890052,-0.084862,0.104082
-212,0.094558524,0.035238,0.160511,0.083668473,0.017252,0.154699,0.010890052,-0.084862,0.104082
-213,0.094558524,0.035238,0.160511,0.083668473,0.017252,0.154699,0.010890052,-0.084862,0.104082
-214,0.094558524,0.035238,0.160511,0.083668473,0.017252,0.154699,0.010890052,-0.084862,0.104082
-215,0.094558524,0.035238,0.160511,0.083668473,0.017252,0.154699,0.010890052,-0.084862,0.104082
-216,0.094558524,0.035238,0.160511,0.083668473,0.017252,0.154699,0.010890052,-0.084862,0.104082
-217,0.094558524,0.035238,0.160511,0.083668473,0.017252,0.154699,0.010890052,-0.084862,0.104082
-218,0.047753701,0.010926,0.089589,0.065399885,0.015781,0.121655,-0.017646184,-0.086113,0.050342
-219,0.047753701,0.010926,0.089589,0.065399885,0.015781,0.121655,-0.017646184,-0.086113,0.050342
-220,0.047753701,0.010926,0.089589,0.065399885,0.015781,0.121655,-0.017646184,-0.086113,0.050342
-221,0.047753701,0.010926,0.089589,0.065399885,0.015781,0.121655,-0.017646184,-0.086113,0.050342
-222,0.047753701,0.010926,0.089589,0.065399885,0.015781,0.121655,-0.017646184,-0.086113,0.050342
-223,0.047753701,0.010926,0.089589,0.065399885,0.015781,0.121655,-0.017646184,-0.086113,0.050342
-224,0.047753701,0.010926,0.089589,0.065399885,0.015781,0.121655,-0.017646184,-0.086113,0.050342
-225,0.047753701,0.010926,0.089589,0.065399885,0.015781,0.121655,-0.017646184,-0.086113,0.050342
-226,0.047753701,0.010926,0.089589,0.065399885,0.015781,0.121655,-0.017646184,-0.086113,0.050342
-227,0.047753701,0.010926,0.089589,0.065399885,0.015781,0.121655,-0.017646184,-0.086113,0.050342
-228,0.15163123,0.089178,0.220957,0.149695984,0.087771,0.217093,0.001935248,-0.08283,0.088932
-229,0.15163123,0.089178,0.220957,0.149695984,0.087771,0.217093,0.001935248,-0.08283,0.088932
-230,0.15163123,0.089178,0.220957,0.149695984,0.087771,0.217093,0.001935248,-0.08283,0.088932
-231,0.15163123,0.089178,0.220957,0.149695984,0.087771,0.217093,0.001935248,-0.08283,0.088932
-232,0.15163123,0.089178,0.220957,0.149695984,0.087771,0.217093,0.001935248,-0.08283,0.088932
-233,0.15163123,0.089178,0.220957,0.149695984,0.087771,0.217093,0.001935248,-0.08283,0.088932
-234,0.15163123,0.089178,0.220957,0.149695984,0.087771,0.217093,0.001935248,-0.08283,0.088932
-235,0.15163123,0.089178,0.220957,0.149695984,0.087771,0.217093,0.001935248,-0.08283,0.088932
-236,0.15163123,0.089178,0.220957,0.149695984,0.087771,0.217093,0.001935248,-0.08283,0.088932
-237,0.15163123,0.089178,0.220957,0.149695984,0.087771,0.217093,0.001935248,-0.08283,0.088932
