stage,age,L_mean,L_hpd_m95,L_hpd_M95,M_mean,M_hpd_m95,M_hpd_M95,R_mean,R_hpd_m95,R_hpd_M95
Carnian,-235.460364785,0.225733625686871,0.152557590326624,0.278103697654478,0.131448607544791,0.0644809698161397,0.30865259534392,0.0663944866234333,-0.0905780725845859,0.176801029793959
Carnian,-236.445043875,0.232335902424289,0.13278298996463,1.04148289255925,0.227737980757404,0.0667693464211215,0.377354690462353,0.0883518284273575,-0.218496275674475,0.876342986343409
Ladinian,-237.429722965,0.23739409519187,0.182732845169282,1.24844342509768,0.32392129566316,0.121535251701559,1.03764545128294,-0.0034111718755362,-0.253806320776401,0.83698574845629
Ladinian,-238.414402055,0.229014614363567,0.174577095433519,0.283291391275529,0.31892959627911,0.163347035620902,0.89153904840506,-0.132336559042931,-0.722830074368412,0.06783869458125
Ladinian,-239.399081145,0.229014614363567,0.174577095433519,0.281516403848368,0.304552649146687,0.188221427854373,0.400850225849986,-0.0709321431721944,-0.17560152825963,0.034848382994934
Ladinian,-240.383760235,0.229014614363567,0.174949816673641,0.281516403848368,0.304552649146687,0.188221427854373,0.400850225849986,-0.0711662544229755,-0.17560152825963,0.0331435203149981
Ladinian,-241.368439325,0.229014614363567,0.174949816673641,0.281333329686679,0.306013727863065,0.185104791034146,0.395317055388663,-0.0727902179868192,-0.17560152825963,0.0269038074300896
Anisian,-242.353118415,0.229014614363567,0.174949816673641,0.281333329686679,0.30762497010113,0.194810314028914,0.4029532616707,-0.0778570539324577,-0.175453121541812,0.0263098211823698
Anisian,-243.337797505,0.229009752195338,0.174949816673641,0.281333329686679,0.307493535025049,0.193559736443654,0.4029532616707,-0.0760578506995534,-0.17560152825963,0.0286504763254744
Anisian,-244.322476595,0.228811941950211,0.174577095433519,0.282442930784817,0.306758679615115,0.188221427854373,0.398292012523174,-0.0745954871464271,-0.17560152825963,0.0303431948449175
Anisian,-245.307155685,0.228971915309508,0.169307312313891,0.279042567231862,0.307013344471831,0.184178127221146,0.395317055388663,-0.0739417315337067,-0.180860449606306,0.0303431948449175
Anisian,-246.291834775,0.242997646424452,0.163235242479329,0.75412909794126,0.307493535025049,0.189091173072026,0.408781886955151,0.067049384683966,-0.17560152825963,0.505185228088713
Olenekian,-247.276513865,0.751889153073561,0.470213793492748,1.66475510654621,0.359380971880098,0.241652275914092,0.602605459265985,0.524455984619774,-0.0111817808030283,1.28260674502048
Olenekian,-248.261192955,0.561404808429261,0.193868508944148,0.817397620634068,0.367570842377694,0.258912340107676,0.612089394947445,0.125031980602146,-0.25895607201066,0.505185228088713
Olenekian,-249.245872045,0.550291439734644,0.180132959475949,0.792683249579383,0.37415863908599,0.257581063221424,0.608270921350029,0.112201650358217,-0.268143135977288,0.480095024020958
Induan,-250.230551135,0.552988974770362,0.191775136643839,0.813166405503644,0.384962934425714,0.258912340107676,0.628288997194267,0.103653685640645,-0.2846375927869,0.496959501951573
Induan,-251.215230225,0.619957748657769,0.184367138025755,1.31834157528317,0.468262780611191,0.24564108590444,0.836474659084668,0.162148800765548,-0.461988603227011,0.979263732890158
Changhsingian,-252.199909315,1.17704038741458,0.50327379820803,2.05397039120113,0.514153630263691,0.292305143645067,1.25790518720565,0.610972028958384,-0.423192328572571,1.75135092418959
Changhsingian,-253.184588405,0.197676111852336,0.140083530357763,0.740211352340966,0.485058494291542,0.132133592674966,0.916149743926881,-0.224297887890067,-0.854310328238254,0.443822296800463
Wuchiapingian,-254.169267495,0.194042683586037,0.14150977677701,0.246359932273935,0.437206196774975,0.131719560241002,0.728109757246928,-0.232233936112468,-0.580654283305595,0.101054079461247
Wuchiapingian,-255.153946585,0.193852904187619,0.14894682772382,0.242538276215294,0.335950163404183,0.108964218539984,0.590753406685081,-0.126132099281456,-0.415634776746916,0.106046399004057
Wuchiapingian,-256.138625675,0.193852904187619,0.14894682772382,0.242538276215294,0.166733655961235,0.103923687097624,0.521593878185237,-0.0450619546749552,-0.334998266282221,0.112015579891481
Wuchiapingian,-257.123304765,0.193852904187619,0.14894682772382,0.242538276215294,0.15355366943331,0.105055209853096,0.359386914573481,0.0196337313317971,-0.169566630634639,0.110125220332711
Wuchiapingian,-258.107983855,0.193861365447444,0.14894682772382,0.242538276215294,0.150570520891188,0.103923687097624,0.321616089705166,0.0333213193963704,-0.125004777193683,0.117013126891427
Wuchiapingian,-259.092662945,0.193879547627108,0.152525527602105,0.245246615797888,0.150271776205532,0.104924272776117,0.319681206400918,0.034498785749279,-0.0985427155867202,0.133138771617653
Capitanian,-260.077342035,0.193889635682726,0.152525527602105,0.245246615797888,0.150199475904458,0.104924272776117,0.319681206400918,0.0348835273061993,-0.0967220079522911,0.133138771617653
Capitanian,-261.062021125,0.193900202551879,0.152525527602105,0.245246615797888,0.148078333554282,0.104924272776117,0.198490677092261,0.0439805608936519,-0.012078639127913,0.120790762663326
Capitanian,-262.046700215,0.193900202551879,0.152525527602105,0.245246615797888,0.147607436759401,0.104924272776117,0.191799362136765,0.0469522910046888,-0.0090713548948445,0.112086771196625
Capitanian,-263.031379305,0.193900202551879,0.152525527602105,0.245246615797888,0.147526232994225,0.104924272776117,0.191799362136765,0.047032871381031,-0.0090713548948445,0.112086771196625
Capitanian,-264.016058395,0.193900202551879,0.152525527602105,0.245246615797888,0.147504542020955,0.105055209853096,0.191799362136765,0.0472219898692772,-0.007598961563277,0.112824423479898
Wordian,-265.000737485,0.193900202551879,0.152525527602105,0.245246615797888,0.147504542020955,0.105055209853096,0.191799362136765,0.0472077894644941,-0.007598961563277,0.112824423479898
Wordian,-265.985416575,0.193889635682726,0.152525527602105,0.245246615797888,0.147489488475726,0.105105701878424,0.191799362136765,0.0472458302824257,-0.007598961563277,0.112824423479898
Roadian,-266.970095665,0.193889635682726,0.152525527602105,0.245246615797888,0.147465404441648,0.104924272776117,0.191008600417878,0.0474205989535701,-0.0067831487249999,0.112824423479898
