stage,age,L_mean,L_hpd_m95,L_hpd_M95,M_mean,M_hpd_m95,M_hpd_M95,R_mean,R_hpd_m95,R_hpd_M95
Carnian,-235.065081325,0.141545648686224,0.0487805874016839,0.237204805928409,0.127129563286061,0.0693306063149195,0.277214698775967,8.97662610959016e-05,-0.154447087657343,0.138923884605068
Carnian,-236.032272175,0.151326247939964,0.059537784152943,0.24448125237453,0.138760993390278,0.0711434608049779,0.289218817519737,-0.0036694917071323,-0.172018073331403,0.132819140694936
Carnian,-236.999463025,0.160067746829545,0.0861452635112509,0.249631755604307,0.182407137330105,0.0818687884460356,0.305094479958524,-0.0199374952839103,-0.17689423034953,0.132819140694936
Ladinian,-237.966653875,0.160145874257257,0.0861452635112509,0.247052379839353,0.206167787705822,0.0943149063825765,0.315635797427058,-0.0318349139625696,-0.17689423034953,0.132819140694936
Ladinian,-238.933844725,0.160119345767094,0.0870910079725322,0.247577472938925,0.215444155371742,0.0976120196982571,0.320700882986448,-0.0403462528205954,-0.185778186560282,0.127038542573349
Ladinian,-239.901035575,0.160183139745953,0.0870910079725322,0.247577472938925,0.224120720080002,0.0980645348893635,0.321468606087667,-0.0497606873141881,-0.198520888911834,0.112873184022778
Ladinian,-240.868226425,0.160933634602249,0.0870910079725322,0.247577472938925,0.231377358896668,0.10765051184273,0.334480472697888,-0.0593922259828536,-0.198520888911834,0.101731058275274
Anisian,-241.835417275,0.16305918979314,0.0861452635112509,0.250983267883627,0.24666342390865,0.10765051184273,0.344357453874112,-0.0737595868699618,-0.211610288759182,0.101641025122197
Anisian,-242.802608125,0.16611889609788,0.091999548846306,0.263284012232302,0.260994502453322,0.132853015168376,0.370386643565807,-0.0965195851569269,-0.245787609495399,0.0840045590508958
Anisian,-243.769798975,0.167262807623771,0.091999548846306,0.26554274816536,0.257999482773841,0.153653678755949,0.36462249683666,-0.081929603223981,-0.230639664746522,0.0578637907463939
Anisian,-244.736989825,0.172331629883851,0.0870910079725322,0.319847524324059,0.255970771617344,0.151821683358837,0.363367671065203,-0.0653768788630075,-0.236128325466485,0.102942120735497
Anisian,-245.704180675,0.186292688888647,0.0927948942227395,0.606843795348024,0.257355881545942,0.151821683358837,0.36462249683666,-0.0286958350292431,-0.245787609495399,0.333123067988163
Anisian,-246.671371525,0.574892831945731,0.132220066229816,1.33804393744249,0.264046258559484,0.14795270435115,0.399116748801835,0.341022410612546,-0.172645430417318,1.09690372336697
