stage,age,L_mean,L_hpd_m95,L_hpd_M95,M_mean,M_hpd_m95,M_hpd_M95,R_mean,R_hpd_m95,R_hpd_M95
Carnian,-237.0,0.0294703870771068,0.0001693983249417,0.0874691450658841,0.109788059157396,0.0312192816792749,0.177804727753807,-0.0803176720802892,-0.172813621409274,0.0052361771820772
Ladinian,-237.00001,0.087386270167903,0.0151944863415743,0.169714371264754,0.148410676482798,0.0464914552814766,0.242568481013712,-0.0610244063148954,-0.178115911587737,0.0688402900916703
Anisian,-242.0,0.087386270167903,0.0151944863415743,0.169714371264754,0.148410676482798,0.0464914552814766,0.242568481013712,-0.0610244063148954,-0.178115911587737,0.0688402900916703
Anisian,-242.00001,0.093717071812578,0.0017236840970153,0.18303167152272,0.184717362360636,0.0694858032271547,0.278946480740654,-0.0910002905480577,-0.216929682723979,0.0527574107862452
Anisian,-246.7,0.093717071812578,0.0017236840970153,0.18303167152272,0.184717362360636,0.0694858032271547,0.278946480740654,-0.0910002905480577,-0.216929682723979,0.0527574107862452
Olenekian,-246.70001,0.122367866129446,0.020339959379671,0.210102460855849,0.251374412190422,0.126400917301579,0.404893039337035,-0.129006546060976,-0.290013743764721,0.027033875855984
Changhsingian,-252.0,0.122367866129446,0.020339959379671,0.210102460855849,0.251374412190422,0.126400917301579,0.404893039337035,-0.129006546060976,-0.290013743764721,0.027033875855984
Changhsingian,-252.00001,0.0366173050614476,0.0013923841076487,0.0773791382662396,0.162948460783554,0.080720599104355,0.244891257828917,-0.126331155722107,-0.217506557685502,-0.0373521622702859
Wuchiapingian,-259.5,0.0366173050614476,0.0013923841076487,0.0773791382662396,0.162948460783554,0.080720599104355,0.244891257828917,-0.126331155722107,-0.217506557685502,-0.0373521622702859
Wuchiapingian,-259.50001,0.168822578524754,0.0163606604952622,0.295255502096486,0.0488192430196055,0.0030977166629136,0.099888201910246,0.120003335505148,-0.0331491359211882,0.262562765357427
Wordian,-264.3,0.168822578524754,0.0163606604952622,0.295255502096486,0.0488192430196055,0.0030977166629136,0.099888201910246,0.120003335505148,-0.0331491359211882,0.262562765357427
Wordian,-264.30001,0.185886586724027,0.0223361231049754,0.373886600230092,0.0789675618085542,0.0177573729839518,0.144321359244882,0.106919024915473,-0.0683358276108867,0.29845103720174
Roadian,-274.4,0.185886586724027,0.0223361231049754,0.373886600230092,0.0789675618085542,0.0177573729839518,0.144321359244882,0.106919024915473,-0.0683358276108867,0.29845103720174
Kungurian,-274.40001,0.0477852378135678,0.0018228794062468,0.116717459477155,0.0747375192494647,0.0197278495354122,0.140474173481269,-0.0269522814358968,-0.111452546339675,0.0673389735690877
