age,L_mean,L_hpd_m95,L_hpd_M95,M_mean,M_hpd_m95,M_hpd_M95,R_mean,R_hpd_m95,R_hpd_M95
-199.0520141,0.042306049,0.000153057,0.128308971,0.576931305,0.194828129,1.002397729,-0.534625256,-0.952119999,-0.156885633
-199.1759835,0.042306049,0.000153057,0.128308971,0.576931305,0.194828129,1.002397729,-0.534625256,-0.952119999,-0.156885633
-199.1759935,0.042306049,0.000153057,0.128308971,0.576931305,0.194828129,1.002397729,-0.534625256,-0.952119999,-0.156885633
-199.2999629,0.042306049,0.000153057,0.128308971,0.576931305,0.194828129,1.002397729,-0.534625256,-0.952119999,-0.156885633
-199.2999729,0.042306049,0.000153057,0.128308971,0.576931305,0.194828129,1.002397729,-0.534625256,-0.952119999,-0.156885633
-199.4239423,0.042306049,0.000153057,0.128308971,0.576931305,0.194828129,1.002397729,-0.534625256,-0.952119999,-0.156885633
-199.4239523,0.042306049,0.000153057,0.128308971,0.576931305,0.194828129,1.002397729,-0.534625256,-0.952119999,-0.156885633
-199.5479217,0.042306049,0.000153057,0.128308971,0.576931305,0.194828129,1.002397729,-0.534625256,-0.952119999,-0.156885633
-199.5479317,0.042306049,0.000153057,0.128308971,0.576931305,0.194828129,1.002397729,-0.534625256,-0.952119999,-0.156885633
-199.6719011,0.042306049,0.000153057,0.128308971,0.576931305,0.194828129,1.002397729,-0.534625256,-0.952119999,-0.156885633
-199.6719111,0.042306049,0.000153057,0.128308971,0.576931305,0.194828129,1.002397729,-0.534625256,-0.952119999,-0.156885633
-199.7958805,0.042306049,0.000153057,0.128308971,0.576931305,0.194828129,1.002397729,-0.534625256,-0.952119999,-0.156885633
-199.7958905,0.042306049,0.000153057,0.128308971,0.576931305,0.194828129,1.002397729,-0.534625256,-0.952119999,-0.156885633
-199.9198599,0.042306049,0.000153057,0.128308971,0.576931305,0.194828129,1.002397729,-0.534625256,-0.952119999,-0.156885633
-199.9198699,0.037322146,0.000440888,0.108723233,0.585667673,0.221658351,0.913872954,-0.548345527,-0.907112553,-0.206095709
-200.0438393,0.037322146,0.000440888,0.108723233,0.585667673,0.221658351,0.913872954,-0.548345527,-0.907112553,-0.206095709
-200.0438493,0.037322146,0.000440888,0.108723233,0.585667673,0.221658351,0.913872954,-0.548345527,-0.907112553,-0.206095709
-200.1678187,0.037322146,0.000440888,0.108723233,0.585667673,0.221658351,0.913872954,-0.548345527,-0.907112553,-0.206095709
-200.1678287,0.037322146,0.000440888,0.108723233,0.585667673,0.221658351,0.913872954,-0.548345527,-0.907112553,-0.206095709
-200.2917981,0.037322146,0.000440888,0.108723233,0.585667673,0.221658351,0.913872954,-0.548345527,-0.907112553,-0.206095709
-200.2918081,0.037322146,0.000440888,0.108723233,0.585667673,0.221658351,0.913872954,-0.548345527,-0.907112553,-0.206095709
-200.4157775,0.037322146,0.000440888,0.108723233,0.585667673,0.221658351,0.913872954,-0.548345527,-0.907112553,-0.206095709
-200.4157875,0.037322146,0.000440888,0.108723233,0.585667673,0.221658351,0.913872954,-0.548345527,-0.907112553,-0.206095709
-200.5397569,0.037322146,0.000440888,0.108723233,0.585667673,0.221658351,0.913872954,-0.548345527,-0.907112553,-0.206095709
-200.5397669,0.037322146,0.000440888,0.108723233,0.585667673,0.221658351,0.913872954,-0.548345527,-0.907112553,-0.206095709
-200.6637363,0.037322146,0.000440888,0.108723233,0.585667673,0.221658351,0.913872954,-0.548345527,-0.907112553,-0.206095709
-200.6637463,0.037322146,0.000440888,0.108723233,0.585667673,0.221658351,0.913872954,-0.548345527,-0.907112553,-0.206095709
-200.7877157,0.037322146,0.000440888,0.108723233,0.585667673,0.221658351,0.913872954,-0.548345527,-0.907112553,-0.206095709
-200.7877257,0.037322146,0.000440888,0.108723233,0.585667673,0.221658351,0.913872954,-0.548345527,-0.907112553,-0.206095709
-200.9116951,0.037322146,0.000440888,0.108723233,0.585667673,0.221658351,0.913872954,-0.548345527,-0.907112553,-0.206095709
-200.9117051,0.024577667,0.000365513,0.069353154,0.489555735,0.239840072,0.765807092,-0.464978069,-0.731015723,-0.197258046
-201.0356745,0.024577667,0.000365513,0.069353154,0.489555735,0.239840072,0.765807092,-0.464978069,-0.731015723,-0.197258046
-201.0356845,0.024577667,0.000365513,0.069353154,0.489555735,0.239840072,0.765807092,-0.464978069,-0.731015723,-0.197258046
-201.1596539,0.024577667,0.000365513,0.069353154,0.489555735,0.239840072,0.765807092,-0.464978069,-0.731015723,-0.197258046
-201.1596639,0.024577667,0.000365513,0.069353154,0.489555735,0.239840072,0.765807092,-0.464978069,-0.731015723,-0.197258046
-201.2836333,0.024577667,0.000365513,0.069353154,0.489555735,0.239840072,0.765807092,-0.464978069,-0.731015723,-0.197258046
-201.2836433,0.024577667,0.000365513,0.069353154,0.489555735,0.239840072,0.765807092,-0.464978069,-0.731015723,-0.197258046
