stage,age,L_mean,L_hpd_m95,L_hpd_M95,M_mean,M_hpd_m95,M_hpd_M95,R_mean,R_hpd_m95,R_hpd_M95
Carnian,-235.0060307,0.053401718,0.000203812,0.142636601,0.012909404,0.00011091,0.037128388,0.040492314,-0.039663213,0.132992098
Carnian,-235.0060407,0.053401718,0.000203812,0.142636601,0.012909404,0.00011091,0.037128388,0.040492314,-0.039663213,0.132992098
Carnian,-235.1300102,0.053401718,0.000203812,0.142636601,0.012909404,0.00011091,0.037128388,0.040492314,-0.039663213,0.132992098
Carnian,-235.1300202,0.053401718,0.000203812,0.142636601,0.012909404,0.00011091,0.037128388,0.040492314,-0.039663213,0.132992098
Carnian,-235.2539896,0.053401718,0.000203812,0.142636601,0.012909404,0.00011091,0.037128388,0.040492314,-0.039663213,0.132992098
Carnian,-235.2539996,0.053401718,0.000203812,0.142636601,0.012909404,0.00011091,0.037128388,0.040492314,-0.039663213,0.132992098
Carnian,-235.377969,0.053401718,0.000203812,0.142636601,0.012909404,0.00011091,0.037128388,0.040492314,-0.039663213,0.132992098
Carnian,-235.377979,0.053401718,0.000203812,0.142636601,0.012909404,0.00011091,0.037128388,0.040492314,-0.039663213,0.132992098
Carnian,-235.5019484,0.053401718,0.000203812,0.142636601,0.012909404,0.00011091,0.037128388,0.040492314,-0.039663213,0.132992098
Carnian,-235.5019584,0.053401718,0.000203812,0.142636601,0.012909404,0.00011091,0.037128388,0.040492314,-0.039663213,0.132992098
Carnian,-235.6259278,0.053401718,0.000203812,0.142636601,0.012909404,0.00011091,0.037128388,0.040492314,-0.039663213,0.132992098
Carnian,-235.6259378,0.053401718,0.000203812,0.142636601,0.012909404,0.00011091,0.037128388,0.040492314,-0.039663213,0.132992098
Carnian,-235.7499072,0.053401718,0.000203812,0.142636601,0.012909404,0.00011091,0.037128388,0.040492314,-0.039663213,0.132992098
Carnian,-235.7499172,0.053401718,0.000203812,0.142636601,0.012909404,0.00011091,0.037128388,0.040492314,-0.039663213,0.132992098
Carnian,-235.8738866,0.053401718,0.000203812,0.142636601,0.012909404,0.00011091,0.037128388,0.040492314,-0.039663213,0.132992098
Carnian,-235.8738966,0.053401718,0.000203812,0.142636601,0.012909404,0.00011091,0.037128388,0.040492314,-0.039663213,0.132992098
