stage,age,L_mean,L_hpd_m95,L_hpd_M95,M_mean,M_hpd_m95,M_hpd_M95,R_mean,R_hpd_m95,R_hpd_M95
Carnian,-235.5,0.053401718,0.000203812,0.142636601,0.012909404,0.00011091,0.037128388,0.040492314,-0.039663213,0.132992098
Carnian,-236.5,0.04621794,0.000270403,0.155279559,0.072098271,0.002242552,0.181390996,-0.025880332,-0.192128798,0.136754387
Ladinian,-237.5,0.051211134,0.000186485,0.153761059,0.123409977,0.002142363,0.313782194,-0.072198843,-0.336609728,0.104561467
Ladinian,-238.5,0.024236883,0.000141966,0.071988051,0.0304733,0.000226988,0.089975538,-0.006236417,-0.081316631,0.079292097
Ladinian,-239.5,0.02318983,0.000321422,0.065373604,0.014569105,8.19e-05,0.042438024,0.008620725,-0.035353862,0.065124256
Ladinian,-240.5,0.021397698,0.000176338,0.060936115,0.013338346,6.94e-05,0.041206855,0.008059352,-0.035650544,0.064897256
Anisian,-241.5,0.06052101,0.000668723,0.154742552,0.037562387,0.000167415,0.11715679,0.022958622,-0.087785146,0.1509677
Anisian,-242.5,0.017794202,0.000254155,0.050038721,0.029743764,0.00013313,0.075231356,-0.011949562,-0.070456743,0.045910241
Anisian,-243.5,0.019526668,0.000281763,0.054567661,0.02577795,2.78e-05,0.070229287,-0.006251282,-0.061440694,0.052059714
Anisian,-244.5,0.019901793,0.0003076,0.056788142,0.036210008,0.000204524,0.095560221,-0.016308215,-0.094880957,0.048432476
Anisian,-245.5,0.032376008,0.00024371,0.102345839,0.033449252,0.001003657,0.088225037,-0.001073244,-0.086201735,0.086563355
Anisian,-246.35,0.023831703,0.00021841,0.071972491,0.026368126,0.000200981,0.06771958,-0.002536424,-0.06666561,0.063223539
Olenekian,-246.85,0.714939121,0.002782131,2.098519841,0.124683602,0.001352434,0.375860063,0.590255519,-0.398425694,2.063745824
Olenekian,-247.5,0.048239123,0.001098399,0.126707505,0.039179409,0.00140816,0.109902464,0.009059715,-0.093338206,0.128525825
Olenekian,-248.5,0.033035582,0.000298525,0.092578555,0.033018603,0.001282718,0.087112533,1.7e-05,-0.075329093,0.080670193
Olenekian,-249.5,0.028820923,0.000268668,0.080846541,0.028572283,0.000669242,0.074527045,0.00024864,-0.062070361,0.075697855
Induan,-250.5,0.045826471,0.000601783,0.130971242,0.026099202,0.000418924,0.074604557,0.019727269,-0.078513873,0.122173903
Induan,-251.5,1.081056148,0.127076316,1.901899653,0.089562565,0.000236288,0.296420679,0.991493583,0.055615748,1.86415538
Changhsingian,-252.5,0.067617882,5.18e-05,0.227254842,0.183764863,0.000192553,0.642858462,-0.116146981,-0.614738805,0.229979234
Changhsingian,-253.5,0.026989785,0.000215906,0.083812466,0.160161583,0.003905232,0.38241479,-0.133171798,-0.381745277,0.036447353
Wuchiapingian,-254.5,0.018193811,3.77e-05,0.055292002,0.120125874,0.002259108,0.283908093,-0.101932063,-0.27724927,0.030499515
Wuchiapingian,-255.5,0.020948385,0.000190328,0.064171399,0.112789246,0.001337586,0.284090006,-0.091840861,-0.281995279,0.034381905
Wuchiapingian,-256.5,0.014302696,1.53e-05,0.043648858,0.042158798,0.000610367,0.132150339,-0.027856102,-0.128506631,0.029877426
Wuchiapingian,-257.5,0.021737614,3.08e-05,0.070989983,0.04345923,0.000139452,0.135764162,-0.021721616,-0.124727193,0.060897842
Wuchiapingian,-258.5,0.017855605,2.29e-05,0.061353752,0.032109816,0.000139034,0.100659476,-0.014254211,-0.092903207,0.068111234
Wuchiapingian,-259.25,0.048929311,0.000102834,0.205161497,0.068484717,0.000290895,0.223123731,-0.019555407,-0.26542723,0.192709847
Capitanian,-259.75,0.139861597,0.000391623,0.395592622,0.055796368,2.44e-05,0.195910357,0.084065229,-0.148903525,0.404099609
Capitanian,-260.5,0.085739647,0.00044531,0.226477991,0.037395969,0.000113822,0.120527362,0.048343678,-0.084329246,0.228362997
Capitanian,-261.5,0.061662948,0.00024106,0.170710636,0.039822861,0.000114493,0.13055714,0.021840087,-0.095496662,0.163953622
Capitanian,-262.5,0.101474812,0.000159697,0.237278248,0.053575214,0.000152524,0.169185945,0.047899599,-0.11211378,0.242615265
Capitanian,-263.5,0.12517224,5.39e-05,0.386331204,0.055174483,0.000133387,0.204767705,0.069997757,-0.187765435,0.361482005
Capitanian,-264.15,0.138239939,0.000133455,0.52580386,0.109086521,0.000171532,0.407397626,0.029153418,-0.456502273,0.561039165
Wordian,-264.65,0.126643551,0.000341645,0.333224226,0.046582663,9.67e-05,0.156529872,0.080060888,-0.13122945,0.344829885
Wordian,-265.5,0.107599469,0.000646599,0.251469211,0.054780751,9.08e-05,0.185426138,0.052818718,-0.133719762,0.263442039
Wordian,-266.5,0.085135411,0.000597978,0.196161335,0.036594626,7.91e-05,0.122797793,0.048540786,-0.091003436,0.205275201
Roadian,-267.5,0.063635899,0.000440343,0.154751025,0.02111007,4.81e-05,0.075404221,0.04252583,-0.055589853,0.170758556
Roadian,-268.5,0.071657644,0.000117593,0.223358162,0.020404973,2.02e-05,0.083300815,0.051252671,-0.091765254,0.231976121
Roadian,-269.5,0.050790203,0.000144553,0.159084456,0.015750432,3.93e-05,0.057814103,0.035039771,-0.057726812,0.162952149
Roadian,-270.5,0.073031649,0.000138975,0.192949065,0.040342733,0.00010069,0.131948036,0.032688917,-0.112894258,0.203447552
Roadian,-271.5,0.064210627,9.77e-05,0.179655617,0.037261082,7.33e-05,0.114230884,0.026949545,-0.120612252,0.177286519
Roadian,-272.5,0.058399336,1.69e-05,0.205136432,0.044898726,4.24e-05,0.144236075,0.013500611,-0.182649412,0.216841739
Roadian,-273.5,0.049534254,1.51e-05,0.179553098,0.047410531,3.73e-05,0.151718487,0.002123723,-0.170088448,0.180506878
Roadian,-274.2,0.042341114,0.000263941,0.140083941,0.036640637,3.6e-05,0.117968886,0.005700477,-0.121614037,0.138141051
Kungurian,-274.7,0.040940784,4.67e-05,0.144662459,0.04806886,0.000247884,0.176588399,-0.007128076,-0.194720805,0.169238476
Kungurian,-275.5,0.034909768,5.5e-05,0.111488383,0.057938926,0.000745624,0.201058833,-0.023029158,-0.187795111,0.150671965
Kungurian,-276.5,0.047914398,0.000120507,0.148445095,0.085499335,0.000612769,0.308127074,-0.037584937,-0.28902517,0.212256827
Kungurian,-277.5,0.038581232,0.000126228,0.122842605,0.060136938,0.000649447,0.215505045,-0.021555706,-0.219687093,0.127999891
Kungurian,-278.5,0.020058244,2.35e-05,0.068682882,0.036826724,6.56e-05,0.138584172,-0.016768479,-0.140061853,0.08970731
Kungurian,-279.5,0.016303156,3.39e-05,0.065018574,0.042524611,0.000131965,0.149963813,-0.026221455,-0.159712002,0.071707153
