age,L_mean,L_hpd_m95,L_hpd_M95,M_mean,M_hpd_m95,M_hpd_M95,R_mean,R_hpd_m95,R_hpd_M95
-199.0675396,0.046401325,0.000251924,0.180338865,0.979135568,0.161609561,1.698779673,-0.932734243,-1.630760505,-0.085060612
-199.191589,0.046401325,0.000251924,0.180338865,0.979135568,0.161609561,1.698779673,-0.932734243,-1.630760505,-0.085060612
-199.191599,0.046401325,0.000251924,0.180338865,0.979135568,0.161609561,1.698779673,-0.932734243,-1.630760505,-0.085060612
-199.3156484,0.046401325,0.000251924,0.180338865,0.979135568,0.161609561,1.698779673,-0.932734243,-1.630760505,-0.085060612
-199.3156584,0.046401325,0.000251924,0.180338865,0.979135568,0.161609561,1.698779673,-0.932734243,-1.630760505,-0.085060612
-199.4397079,0.046401325,0.000251924,0.180338865,0.979135568,0.161609561,1.698779673,-0.932734243,-1.630760505,-0.085060612
-199.4397179,0.046401325,0.000251924,0.180338865,0.979135568,0.161609561,1.698779673,-0.932734243,-1.630760505,-0.085060612
-199.5637673,0.046401325,0.000251924,0.180338865,0.979135568,0.161609561,1.698779673,-0.932734243,-1.630760505,-0.085060612
-199.5637773,0.046401325,0.000251924,0.180338865,0.979135568,0.161609561,1.698779673,-0.932734243,-1.630760505,-0.085060612
-199.6878267,0.046401325,0.000251924,0.180338865,0.979135568,0.161609561,1.698779673,-0.932734243,-1.630760505,-0.085060612
-199.6878367,0.046401325,0.000251924,0.180338865,0.979135568,0.161609561,1.698779673,-0.932734243,-1.630760505,-0.085060612
-199.8118862,0.046401325,0.000251924,0.180338865,0.979135568,0.161609561,1.698779673,-0.932734243,-1.630760505,-0.085060612
-199.8118962,0.046401325,0.000251924,0.180338865,0.979135568,0.161609561,1.698779673,-0.932734243,-1.630760505,-0.085060612
-199.9359456,0.046401325,0.000251924,0.180338865,0.979135568,0.161609561,1.698779673,-0.932734243,-1.630760505,-0.085060612
-199.9359556,0.024671641,0.000178729,0.083738325,1.059287616,0.376519794,1.809347662,-1.034615975,-1.770321821,-0.371316513
-200.060005,0.024671641,0.000178729,0.083738325,1.059287616,0.376519794,1.809347662,-1.034615975,-1.770321821,-0.371316513
-200.060015,0.024671641,0.000178729,0.083738325,1.059287616,0.376519794,1.809347662,-1.034615975,-1.770321821,-0.371316513
-200.1840645,0.024671641,0.000178729,0.083738325,1.059287616,0.376519794,1.809347662,-1.034615975,-1.770321821,-0.371316513
-200.1840745,0.024671641,0.000178729,0.083738325,1.059287616,0.376519794,1.809347662,-1.034615975,-1.770321821,-0.371316513
-200.3081239,0.024671641,0.000178729,0.083738325,1.059287616,0.376519794,1.809347662,-1.034615975,-1.770321821,-0.371316513
-200.3081339,0.024671641,0.000178729,0.083738325,1.059287616,0.376519794,1.809347662,-1.034615975,-1.770321821,-0.371316513
-200.4321833,0.024671641,0.000178729,0.083738325,1.059287616,0.376519794,1.809347662,-1.034615975,-1.770321821,-0.371316513
-200.4321933,0.024671641,0.000178729,0.083738325,1.059287616,0.376519794,1.809347662,-1.034615975,-1.770321821,-0.371316513
-200.5562428,0.024671641,0.000178729,0.083738325,1.059287616,0.376519794,1.809347662,-1.034615975,-1.770321821,-0.371316513
-200.5562528,0.024671641,0.000178729,0.083738325,1.059287616,0.376519794,1.809347662,-1.034615975,-1.770321821,-0.371316513
-200.6803022,0.024671641,0.000178729,0.083738325,1.059287616,0.376519794,1.809347662,-1.034615975,-1.770321821,-0.371316513
-200.6803122,0.024671641,0.000178729,0.083738325,1.059287616,0.376519794,1.809347662,-1.034615975,-1.770321821,-0.371316513
-200.8043616,0.024671641,0.000178729,0.083738325,1.059287616,0.376519794,1.809347662,-1.034615975,-1.770321821,-0.371316513
-200.8043716,0.024671641,0.000178729,0.083738325,1.059287616,0.376519794,1.809347662,-1.034615975,-1.770321821,-0.371316513
-200.928421,0.024671641,0.000178729,0.083738325,1.059287616,0.376519794,1.809347662,-1.034615975,-1.770321821,-0.371316513
-200.928431,0.005238348,9.12E-05,0.016868836,0.128130179,0.000875937,0.476583699,-0.12289183,-0.480243185,0.01942263
-201.0524805,0.005238348,9.12E-05,0.016868836,0.128130179,0.000875937,0.476583699,-0.12289183,-0.480243185,0.01942263
-201.0524905,0.005238348,9.12E-05,0.016868836,0.128130179,0.000875937,0.476583699,-0.12289183,-0.480243185,0.01942263
-201.1765399,0.005238348,9.12E-05,0.016868836,0.128130179,0.000875937,0.476583699,-0.12289183,-0.480243185,0.01942263
-201.1765499,0.005238348,9.12E-05,0.016868836,0.128130179,0.000875937,0.476583699,-0.12289183,-0.480243185,0.01942263
-201.3005993,0.005238348,9.12E-05,0.016868836,0.128130179,0.000875937,0.476583699,-0.12289183,-0.480243185,0.01942263
-201.3006093,0.005238348,9.12E-05,0.016868836,0.128130179,0.000875937,0.476583699,-0.12289183,-0.480243185,0.01942263
-201.4246588,0.005238348,9.12E-05,0.016868836,0.128130179,0.000875937,0.476583699,-0.12289183,-0.480243185,0.01942263
-201.4246688,0.005238348,9.12E-05,0.016868836,0.128130179,0.000875937,0.476583699,-0.12289183,-0.480243185,0.01942263
-201.5487182,0.005238348,9.12E-05,0.016868836,0.128130179,0.000875937,0.476583699,-0.12289183,-0.480243185,0.01942263
-201.5487282,0.005238348,9.12E-05,0.016868836,0.128130179,0.000875937,0.476583699,-0.12289183,-0.480243185,0.01942263
-201.6727776,0.005238348,9.12E-05,0.016868836,0.128130179,0.000875937,0.476583699,-0.12289183,-0.480243185,0.01942263
-201.6727876,0.005238348,9.12E-05,0.016868836,0.128130179,0.000875937,0.476583699,-0.12289183,-0.480243185,0.01942263
-201.7968371,0.005238348,9.12E-05,0.016868836,0.128130179,0.000875937,0.476583699,-0.12289183,-0.480243185,0.01942263
-201.7968471,0.005238348,9.12E-05,0.016868836,0.128130179,0.000875937,0.476583699,-0.12289183,-0.480243185,0.01942263
-201.9208965,0.005238348,9.12E-05,0.016868836,0.128130179,0.000875937,0.476583699,-0.12289183,-0.480243185,0.01942263
-201.9209065,0.002734593,5.02E-05,0.008770917,0.007629559,0.000110952,0.026757822,-0.004894966,-0.024320888,0.010508799
-202.0449559,0.002734593,5.02E-05,0.008770917,0.007629559,0.000110952,0.026757822,-0.004894966,-0.024320888,0.010508799
-202.0449659,0.002734593,5.02E-05,0.008770917,0.007629559,0.000110952,0.026757822,-0.004894966,-0.024320888,0.010508799
-202.1690154,0.002734593,5.02E-05,0.008770917,0.007629559,0.000110952,0.026757822,-0.004894966,-0.024320888,0.010508799
-202.1690254,0.002734593,5.02E-05,0.008770917,0.007629559,0.000110952,0.026757822,-0.004894966,-0.024320888,0.010508799
