stage,age,L_mean,L_hpd_m95,L_hpd_M95,M_mean,M_hpd_m95,M_hpd_M95,R_mean,R_hpd_m95,R_hpd_M95
Carnian,-235.5,0.039128262,0.000366525,0.10249062,0.00547512,0.000131148,0.014126834,0.033653142,-0.007973525,0.098706944
Carnian,-236.5,0.041101002,0.000400642,0.108635936,0.006141347,0.000128397,0.015472027,0.034959655,-0.008828896,0.105922602
Ladinian,-237.5,0.116193517,0.002590585,0.235291135,0.030725082,0.000310664,0.094206729,0.085468435,-0.03909881,0.246633885
Ladinian,-238.5,0.103016486,0.002006763,0.210735984,0.035600548,0.00068928,0.104613672,0.067415938,-0.070022583,0.203934794
Ladinian,-239.5,0.095863513,0.00165228,0.20484561,0.037754148,0.000652127,0.112308939,0.058109365,-0.088766581,0.18844035
Ladinian,-240.5,0.087409466,0.001696641,0.181676471,0.038123091,0.000847146,0.116025764,0.049286374,-0.074568903,0.188704947
Anisian,-241.5,0.169148081,0.00102489,0.402241572,0.075881934,0.002207221,0.209424749,0.093266148,-0.133158488,0.417495485
Anisian,-242.5,0.060794327,0.000486328,0.150442637,0.106800997,0.009102437,0.201836434,-0.04600667,-0.182979853,0.081473536
Anisian,-243.5,0.059608889,0.000481833,0.150827564,0.109739192,0.009662411,0.204440412,-0.050130303,-0.185298053,0.074724502
Anisian,-244.5,0.058754017,0.000502143,0.144822498,0.113339544,0.010506357,0.210525809,-0.054585527,-0.183392534,0.076126473
Anisian,-245.5,0.056427415,0.000536923,0.141135936,0.115017392,0.012047404,0.213131485,-0.058589977,-0.18496121,0.076886456
Anisian,-246.35,0.046747083,0.000489065,0.11867523,0.111796317,0.011799671,0.205283177,-0.065049235,-0.185120233,0.061605948
Olenekian,-246.85,0.07809191,5.71e-05,0.23934564,0.080352101,0.0006086,0.250286087,-0.002260191,-0.243593389,0.222176622
Olenekian,-247.5,0.05063322,4.17e-05,0.159241661,0.06782296,0.000335475,0.210815976,-0.01718974,-0.212105926,0.138283111
Olenekian,-248.5,0.046513364,3.07e-05,0.148942831,0.076521242,0.000300567,0.238833384,-0.030007878,-0.238117874,0.125522542
Olenekian,-249.5,0.064019819,0.000553082,0.199471178,0.041465063,0.000119571,0.121129984,0.022554757,-0.131993705,0.202136157
