age,syn_L_mean,syn_L_hpd_m95,syn_L_hpd_M95,syn_M_mean,syn_M_hpd_m95,syn_M_hpd_M95,syn_R_mean,syn_R_hpd_m95,syn_R_hpd_M95,rep_terr_L_mean,rep_terr_L_hpd_m95,rep_terr_L_hpd_M95,rep_terr_M_mean,rep_terr_M_hpd_m95,rep_terr_M_hpd_M95,rep_terr_R_mean,rep_terr_R_hpd_m95,rep_terr_R_hpd_M95
-200,,,,,,,,,,0.13063789,0.086023,0.177356,0.351122994,0.269137,0.437642,-0.220485103,-0.308983,-0.1278
-201,,,,,,,,,,0.13063789,0.086023,0.177356,0.351122994,0.269137,0.437642,-0.220485103,-0.308983,-0.1278
-202,0.249163608,0.12398,0.378564,0.416874343,0.268564,0.575005,-0.167710737,-0.347137,0.015154,0.13063789,0.086023,0.177356,0.351122994,0.269137,0.437642,-0.220485103,-0.308983,-0.1278
-203,0.249163608,0.12398,0.378564,0.416874343,0.268564,0.575005,-0.167710737,-0.347137,0.015154,0.13063789,0.086023,0.177356,0.351122994,0.269137,0.437642,-0.220485103,-0.308983,-0.1278
-204,0.249163608,0.12398,0.378564,0.416874343,0.268564,0.575005,-0.167710737,-0.347137,0.015154,0.13063789,0.086023,0.177356,0.351122994,0.269137,0.437642,-0.220485103,-0.308983,-0.1278
-205,0.249163608,0.12398,0.378564,0.416874343,0.268564,0.575005,-0.167710737,-0.347137,0.015154,0.13063789,0.086023,0.177356,0.351122994,0.269137,0.437642,-0.220485103,-0.308983,-0.1278
-206,0.249163608,0.12398,0.378564,0.416874343,0.268564,0.575005,-0.167710737,-0.347137,0.015154,0.13063789,0.086023,0.177356,0.351122994,0.269137,0.437642,-0.220485103,-0.308983,-0.1278
-207,0.249163608,0.12398,0.378564,0.416874343,0.268564,0.575005,-0.167710737,-0.347137,0.015154,0.13063789,0.086023,0.177356,0.351122994,0.269137,0.437642,-0.220485103,-0.308983,-0.1278
-208,0.249163608,0.12398,0.378564,0.416874343,0.268564,0.575005,-0.167710737,-0.347137,0.015154,0.13063789,0.086023,0.177356,0.351122994,0.269137,0.437642,-0.220485103,-0.308983,-0.1278
-209,0.094558524,0.035238,0.160511,0.083668473,0.017252,0.154699,0.010890052,-0.084862,0.104082,0.051272145,0.031698,0.07202,0.094572237,0.063907,0.125424,-0.043300092,-0.075111,-0.010111
-210,0.094558524,0.035238,0.160511,0.083668473,0.017252,0.154699,0.010890052,-0.084862,0.104082,0.051272145,0.031698,0.07202,0.094572237,0.063907,0.125424,-0.043300092,-0.075111,-0.010111
-211,0.094558524,0.035238,0.160511,0.083668473,0.017252,0.154699,0.010890052,-0.084862,0.104082,0.051272145,0.031698,0.07202,0.094572237,0.063907,0.125424,-0.043300092,-0.075111,-0.010111
-212,0.094558524,0.035238,0.160511,0.083668473,0.017252,0.154699,0.010890052,-0.084862,0.104082,0.051272145,0.031698,0.07202,0.094572237,0.063907,0.125424,-0.043300092,-0.075111,-0.010111
-213,0.094558524,0.035238,0.160511,0.083668473,0.017252,0.154699,0.010890052,-0.084862,0.104082,0.051272145,0.031698,0.07202,0.094572237,0.063907,0.125424,-0.043300092,-0.075111,-0.010111
