age,L_mean,L_hpd_m95,L_hpd_M95,M_mean,M_hpd_m95,M_hpd_M95,R_mean,R_hpd_m95,R_hpd_M95
-200,0.13063789,0.086023,0.177356,0.351122994,0.269137,0.437642,-0.220485103,-0.308983,-0.1278
-201,0.13063789,0.086023,0.177356,0.351122994,0.269137,0.437642,-0.220485103,-0.308983,-0.1278
-202,0.13063789,0.086023,0.177356,0.351122994,0.269137,0.437642,-0.220485103,-0.308983,-0.1278
-203,0.13063789,0.086023,0.177356,0.351122994,0.269137,0.437642,-0.220485103,-0.308983,-0.1278
-204,0.13063789,0.086023,0.177356,0.351122994,0.269137,0.437642,-0.220485103,-0.308983,-0.1278
-205,0.13063789,0.086023,0.177356,0.351122994,0.269137,0.437642,-0.220485103,-0.308983,-0.1278
-206,0.13063789,0.086023,0.177356,0.351122994,0.269137,0.437642,-0.220485103,-0.308983,-0.1278
-207,0.13063789,0.086023,0.177356,0.351122994,0.269137,0.437642,-0.220485103,-0.308983,-0.1278
-208,0.13063789,0.086023,0.177356,0.351122994,0.269137,0.437642,-0.220485103,-0.308983,-0.1278
-209,0.051272145,0.031698,0.07202,0.094572237,0.063907,0.125424,-0.043300092,-0.075111,-0.010111
-210,0.051272145,0.031698,0.07202,0.094572237,0.063907,0.125424,-0.043300092,-0.075111,-0.010111
-211,0.051272145,0.031698,0.07202,0.094572237,0.063907,0.125424,-0.043300092,-0.075111,-0.010111
-212,0.051272145,0.031698,0.07202,0.094572237,0.063907,0.125424,-0.043300092,-0.075111,-0.010111
-213,0.051272145,0.031698,0.07202,0.094572237,0.063907,0.125424,-0.043300092,-0.075111,-0.010111
-214,0.051272145,0.031698,0.07202,0.094572237,0.063907,0.125424,-0.043300092,-0.075111,-0.010111
-215,0.051272145,0.031698,0.07202,0.094572237,0.063907,0.125424,-0.043300092,-0.075111,-0.010111
-216,0.051272145,0.031698,0.07202,0.094572237,0.063907,0.125424,-0.043300092,-0.075111,-0.010111
-217,0.051272145,0.031698,0.07202,0.094572237,0.063907,0.125424,-0.043300092,-0.075111,-0.010111
-218,0.061151622,0.041806,0.081715,0.043316109,0.027898,0.060165,0.017835515,-0.007327,0.043354
-219,0.061151622,0.041806,0.081715,0.043316109,0.027898,0.060165,0.017835515,-0.007327,0.043354
-220,0.061151622,0.041806,0.081715,0.043316109,0.027898,0.060165,0.017835515,-0.007327,0.043354
-221,0.061151622,0.041806,0.081715,0.043316109,0.027898,0.060165,0.017835515,-0.007327,0.043354
-222,0.061151622,0.041806,0.081715,0.043316109,0.027898,0.060165,0.017835515,-0.007327,0.043354
-223,0.061151622,0.041806,0.081715,0.043316109,0.027898,0.060165,0.017835515,-0.007327,0.043354
-224,0.061151622,0.041806,0.081715,0.043316109,0.027898,0.060165,0.017835515,-0.007327,0.043354
-225,0.061151622,0.041806,0.081715,0.043316109,0.027898,0.060165,0.017835515,-0.007327,0.043354
-226,0.061151622,0.041806,0.081715,0.043316109,0.027898,0.060165,0.017835515,-0.007327,0.043354
-227,0.061151622,0.041806,0.081715,0.043316109,0.027898,0.060165,0.017835515,-0.007327,0.043354
-228,0.22807012,0.177779,0.277803,0.137933051,0.103791,0.174827,0.090137071,0.034581,0.1467
-229,0.22807012,0.177779,0.277803,0.137933051,0.103791,0.174827,0.090137071,0.034581,0.1467
